ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
1455,1.0426163635425134,,LayerNormDeviceOperation,1,34.136,,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1252353.0
1456,4.4302643406328075,DRAM,MatmulDeviceOperation 32 x 2816 x 10240,1,144.521,0.529,107,404.8357262958324,79.06947779215476,12.769727306066244,4.316523649127835,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,3,1253377.0
1457,0.9404499780243007,,NLPCreateQKVHeadsDecodeDeviceOperation,1,30.178,0.613,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1254401.0
1458,0.07363920941237988,,ShardedToInterleavedDeviceOperation,1,0.924,1.487,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,1255425.0
1459,0.07388355353320072,,ShardedToInterleavedDeviceOperation,1,0.949,1.47,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,1256449.0
1460,0.07195934358173661,,ShardedToInterleavedDeviceOperation,1,0.927,1.429,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,1257473.0
1461,0.29067787473148876,,LayerNormDeviceOperation,1,8.047,1.47,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1258497.0
1462,0.2919606813657981,,LayerNormDeviceOperation,1,8.072,1.487,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,1259521.0
1463,0.24370271750368275,,LayerNormDeviceOperation,1,6.501,1.478,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,1260545.0
1464,0.11927047397567127,,TransposeDeviceOperation,1,3.381,0.524,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1261569.0
1465,0.08622293163465301,,TransposeDeviceOperation,1,2.23,0.593,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1262593.0
1466,0.9486355060717988,,RotaryEmbeddingHfDeviceOperation,1,30.526,0.533,16,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1263617.0
1467,0.8577394931264473,,RotaryEmbeddingHfDeviceOperation,1,27.127,0.956,2,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1264641.0
