ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
573,0.017147163799117966,,LayerNormDeviceOperation,1,47.906,,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,584705.0
574,0.16767467908037428,SLOW,MatmulDeviceOperation 1024 x 2816 x 10240,1,371.899,96.553,107,226.9712153030796,44.33031548888273,158.79526516608004,53.677224347092434,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,8,1,585729.0
575,0.05131263532572024,,NlpCreateHeadsDeviceOperation,1,142.76,0.598,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,586753.0
576,0.033746331360260534,,LayerNormDeviceOperation,1,93.825,0.456,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,587777.0
577,0.006715548933307963,,LayerNormDeviceOperation,1,18.201,0.561,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,588801.0
578,0.005573383031688429,,LayerNormDeviceOperation,1,14.997,0.574,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,589825.0
579,0.07957936223975906,,RotaryEmbeddingHfDeviceOperation,1,221.756,0.574,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,590849.0
580,0.01896725581094352,,RotaryEmbeddingHfDeviceOperation,1,52.444,0.547,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,591873.0
581,0.004506741105387515,,PagedFillCacheDeviceOperation,1,12.039,0.552,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,592897.0
582,0.004633449575827289,,PagedFillCacheDeviceOperation,1,12.387,0.558,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,593921.0
583,0.5163846222018725,,SDPAOperation,1,1442.136,0.547,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,594945.0
584,0.04380211601713901,,NLPConcatHeadsDeviceOperation,1,121.834,0.541,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,595969.0
585,0.12715767702282915,SLOW,MatmulDeviceOperation 1024 x 8192 x 2816,1,354.796,0.459,88,193.5808971916256,37.80876898273938,133.16001379947915,54.7302508316725,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,4,2,596993.0
586,0.01715790180508744,,LayerNormDeviceOperation,1,47.385,0.551,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,598017.0
587,0.01466918995489608,,BinaryNgDeviceOperation,1,40.436,0.547,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,599041.0
588,0.013852385634151556,,LayerNormDeviceOperation,1,38.205,0.496,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,600065.0
589,0.052138030051240326,FLOP,MatmulDeviceOperation 1024 x 2816 x 4224,1,145.129,0.535,88,263.2657015482777,51.41908233364799,167.8542374852717,68.98996371810213,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,8,4,2,601089.0
590,0.008492688921255626,,SliceDeviceOperation,1,23.191,0.536,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,602113.0
591,0.008546021017570671,,SliceDeviceOperation,1,23.303,0.573,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,603137.0
