Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_PREFILL_layer0_sliding_attention_seq1024_batch1'.
Using operations until 'PERF_PREFILL_layer0_sliding_attention_seq1024_batch1_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs         FLOPs %  Math Fidelity
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  747    0.1 %         LayerNormDeviceOperation                                          1        49 μs                   32                                                  BF16, BF16 => BF16
  748    0.4 %   FLOP  MatmulDeviceOperation 1024 x 2816 x 8192                          1       288 μs        103 μs     88  238 GB/s  46.5 %  163.9 TFLOPs   67.4 %  HiFi2 BF16 x BF16 => BF16
  749    0.1 %         NlpCreateHeadsDeviceOperation                                     1       117 μs          1 μs     32                                                        BF16 => BF16
  750    0.1 %         LayerNormDeviceOperation                                          1        49 μs          0 μs    110                                                  BF16, BF16 => BF16
  751    0.0 %         LayerNormDeviceOperation                                          1        28 μs          1 μs    110                                                  BF16, BF16 => BF16
  752    0.0 %         LayerNormDeviceOperation                                          1        24 μs          1 μs    110                                                        BF16 => BF16
  753    0.1 %         RotaryEmbeddingHfDeviceOperation                                  1       119 μs          1 μs    110                                                  BF16, BF16 => BF16
  754    0.1 %         RotaryEmbeddingHfDeviceOperation                                  1        78 μs          1 μs    110                                                  BF16, BF16 => BF16
  755    0.0 %         PagedFillCacheDeviceOperation                                     1        21 μs          1 μs    110                                                  BF16, BF16 => BF16
  756    0.0 %         PagedFillCacheDeviceOperation                                     1        21 μs          1 μs    110                                                  BF16, BF16 => BF16
  757    0.7 %         SDPAOperation                                                     1       722 μs          1 μs    110                                                  BF16, BF16 => BF16
  758    0.1 %         NLPConcatHeadsDeviceOperation                                     1        60 μs          1 μs     32                                                        BF16 => BF16
  759    0.2 %   SLOW  MatmulDeviceOperation 1024 x 4096 x 2816                          1       189 μs          0 μs     88  197 GB/s  38.4 %  124.9 TFLOPs   51.3 %  HiFi2 BF16 x BF16 => BF16
  760    0.1 %         LayerNormDeviceOperation                                          1        48 μs          1 μs     32                                                  BF16, BF16 => BF16
  761    0.0 %         BinaryNgDeviceOperation                                           1        40 μs          1 μs    110                                                  BF16, BF16 => BF16
