Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
24.61,MatmulDeviceOperation (in0:width_sharded),203.73,4,Compute,36.65,56.38,43.42,9.30,40.31
16.44,SparseMatmulDeviceOperation (in0:l1_interleaved),136.13,2,Compute,4.04,9.88,6.96,4.13,7.66
8.31,TransposeDeviceOperation (in0:l1_interleaved),68.82,3,TM,,,,,
6.98,RotaryEmbeddingHfDeviceOperation (in0:dram_interleaved),57.76,2,Other,,,,,
6.73,UnaryDeviceOperation (in0:l1_interleaved),55.72,2,Compute,,,,,
6.26,SdpaDecodeDeviceOperation (in0:height_sharded),51.85,1,Compute,,,,,
4.59,LayerNormDeviceOperation (in0:width_sharded),37.97,6,Compute,,,,,
4.55,MatmulDeviceOperation (in0:dram_interleaved),37.68,1,Compute,11.07,11.07,11.07,,11.07
2.73,LayerNormDeviceOperation (in0:l1_interleaved),22.61,3,Compute,,,,,
2.69,TopKDeviceOperation (in0:dram_interleaved),22.30,1,Other,,,,,
1.69,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),14.01,1,TM,,,,,
1.31,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),10.82,2,DM,,,,,
1.30,TransposeDeviceOperation (in0:dram_interleaved),10.79,4,TM,,,,,
1.24,SliceDeviceOperation (in0:width_sharded),10.28,3,TM,,,,,
1.20,BinaryNgDeviceOperation (in0:l1_interleaved),9.90,2,Compute,,,,,
1.06,BinaryNgDeviceOperation (in0:width_sharded),8.81,4,Compute,,,,,
0.97,ShardedToInterleavedDeviceOperation (in0:width_sharded),7.99,5,DM,,,,,
0.91,PadDeviceOperation (in0:l1_interleaved),7.58,1,TM,,,,,
0.69,SliceDeviceOperation (in0:l1_interleaved),5.68,3,TM,,,,,
0.68,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),5.59,1,TM,,,,,
0.66,SoftmaxDeviceOperation (in0:dram_interleaved),5.49,1,Compute,,,,,
0.58,InterleavedToShardedDeviceOperation (in0:dram_interleaved),4.82,5,DM,,,,,
0.57,FillPadDeviceOperation (in0:dram_interleaved),4.69,1,TM,,,,,
0.52,ReshapeViewDeviceOperation (in0:dram_interleaved),4.31,1,TM,,,,,
0.51,TypecastDeviceOperation (in0:dram_interleaved),4.24,2,TM,,,,,
0.41,InterleavedToShardedDeviceOperation (in0:l1_interleaved),3.36,2,DM,,,,,
0.37,ScatterDeviceOperation (in0:dram_interleaved),3.03,1,Other,,,,,
0.35,ReduceDeviceOperation (in0:l1_interleaved),2.88,1,Compute,,,,,
0.34,ShardedToInterleavedDeviceOperation (in0:height_sharded),2.79,3,DM,,,,,
0.28,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),2.33,2,TM,,,,,
0.28,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),2.30,1,TM,,,,,
0.19,SliceDeviceOperation (in0:dram_interleaved),1.60,2,TM,,,,,
