Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
78.65,SparseMatmulDeviceOperation (in0:dram_interleaved),75368.04,96,Compute,,,,,
7.99,UnaryDeviceOperation (in0:dram_interleaved),7660.22,161,Compute,,,,,
5.85,BinaryNgDeviceOperation (in0:dram_interleaved),5604.77,68,Compute,,,,,
2.62,PermuteDeviceOperation (in0:dram_interleaved),2508.67,96,TM,,,,,
2.09,FastReduceNCDeviceOperation (in0:dram_interleaved),2007.36,32,Compute,,,,,
0.78,SDPAOperation (in0:dram_interleaved),749.87,1,Compute,,,,,
0.75,MatmulDeviceOperation (in0:dram_interleaved),721.93,6,Compute,26.43,67.44,44.92,13.69,53.06
0.39,LayerNormDeviceOperation (in0:dram_interleaved),376.86,9,Compute,,,,,
0.21,RotaryEmbeddingHfDeviceOperation (in0:dram_interleaved),198.65,2,Other,,,,,
0.12,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),117.51,1,TM,,,,,
0.10,SliceDeviceOperation (in0:dram_interleaved),97.44,66,TM,,,,,
0.10,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),96.63,34,TM,,,,,
0.07,ReduceDeviceOperation (in0:dram_interleaved),65.61,32,Compute,,,,,
0.06,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),59.87,1,TM,,,,,
0.05,TypecastDeviceOperation (in0:dram_interleaved),50.44,2,TM,,,,,
0.05,PagedFillCacheDeviceOperation (in0:dram_interleaved),43.52,2,Other,,,,,
0.03,ConcatDeviceOperation (in0:dram_interleaved),30.96,1,TM,,,,,
0.03,ScatterDeviceOperation (in0:dram_interleaved),27.28,1,Other,,,,,
0.02,TopKDeviceOperation (in0:dram_interleaved),23.36,1,Other,,,,,
0.01,SoftmaxDeviceOperation (in0:dram_interleaved),6.44,1,Compute,,,,,
0.00,TilizeDeviceOperation (in0:dram_interleaved),3.53,1,TM,,,,,
0.00,UntilizeCodegenDeviceOperation (in0:dram_interleaved),3.37,1,Other,,,,,
