Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_PREFILL_layer5_full_attention_seq1024_batch1'.
Using operations until 'PERF_PREFILL_layer5_full_attention_seq1024_batch1_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs         FLOPs %  Math Fidelity
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  750    0.0 %         LayerNormDeviceOperation                                          1        48 μs                   32                                                  BF16, BF16 => BF16
  751    0.4 %   SLOW  MatmulDeviceOperation 1024 x 2816 x 10240                         1       369 μs        114 μs    107  151 GB/s  29.4 %  160.2 TFLOPs   54.1 %  HiFi2 BF16 x BFP8 => BF16
  752    0.1 %         NlpCreateHeadsDeviceOperation                                     1       144 μs          1 μs     32                                                        BF16 => BF16
  753    0.1 %         LayerNormDeviceOperation                                          1        95 μs          0 μs    110                                                  BF16, BF16 => BF16
  754    0.0 %         LayerNormDeviceOperation                                          1        18 μs          1 μs     64                                                  BF16, BF16 => BF16
  755    0.0 %         LayerNormDeviceOperation                                          1        15 μs          1 μs     64                                                        BF16 => BF16
  756    0.2 %         RotaryEmbeddingHfDeviceOperation                                  1       223 μs          1 μs    110                                                  BF16, BF16 => BF16
  757    0.1 %         RotaryEmbeddingHfDeviceOperation                                  1        54 μs          1 μs     64                                                  BF16, BF16 => BF16
  758    0.0 %         PagedFillCacheDeviceOperation                                     1        12 μs          1 μs     64                                                  BF16, BF16 => BF16
  759    0.0 %         PagedFillCacheDeviceOperation                                     1        12 μs          1 μs     64                                                  BF16, BF16 => BF16
  760    1.3 %         SDPAOperation                                                     1     1,439 μs          1 μs    110                                                  BF16, BF16 => BF16
  761    0.1 %         NLPConcatHeadsDeviceOperation                                     1       121 μs          1 μs     32                                                        BF16 => BF16
  762    0.3 %   SLOW  MatmulDeviceOperation 1024 x 8192 x 2816                          1       335 μs          0 μs     88  136 GB/s  26.6 %  140.9 TFLOPs   57.9 %  HiFi2 BF16 x BFP8 => BF16
  763    0.0 %         LayerNormDeviceOperation                                          1        48 μs          1 μs     32                                                  BF16, BF16 => BF16
  764    0.0 %         BinaryNgDeviceOperation                                           1        40 μs          1 μs    110                                                  BF16, BF16 => BF16
  765    0.0 %         LayerNormDeviceOperation                                          1        48 μs          1 μs     32                                                  BF16, BF16 => BF16
  766    0.1 %   SLOW  MatmulDeviceOperation 1024 x 2816 x 2112                          1        58 μs          1 μs     88  277 GB/s  54.1 %  210.4 TFLOPs   43.2 %   LoFi BF16 x BFP8 => BF16
