ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
3200,0.08117221601327719,,BinaryNgDeviceOperation,1,2.584,,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,396289.0,
3206,0.3772120626499352,,TilizeWithValPaddingDeviceOperation,1,10.538,1.47,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,402433.0,
3215,0.06775869579746087,,ShardedToInterleavedDeviceOperation,1,1.606,0.551,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,411649.0,
3216,0.2961969136181078,,NLPCreateQKVHeadsDecodeDeviceOperation,1,7.89,1.539,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,412673.0,
3217,0.06920371202679941,,ShardedToInterleavedDeviceOperation,1,0.71,1.493,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,413697.0,
3218,0.06757021541972107,,ShardedToInterleavedDeviceOperation,1,0.684,1.467,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,414721.0,
3227,0.0674445618345612,,InterleavedToShardedDeviceOperation,1,0.696,1.451,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,423937.0,
3233,0.06926653881937933,,InterleavedToShardedDeviceOperation,1,0.704,1.501,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,430081.0,
3234,0.05933990559174946,,NLPConcatHeadsDecodeDeviceOperation,1,1.29,0.599,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,431105.0,
3238,0.0708686220301677,,ShardedToInterleavedDeviceOperation,1,1.7,0.556,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,435201.0,
3239,0.06329799352428543,,InterleavedToShardedDeviceOperation,1,1.488,0.527,88,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,436225.0,
3243,0.21138074363519435,,LayerNormDeviceOperation,1,6.256,0.473,22,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,440321.0,
3250,0.07281625260014571,,SliceDeviceOperation,1,1.713,0.605,17,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,447489.0,
3251,0.06888957806389971,,SliceDeviceOperation,1,1.599,0.594,17,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,448513.0,
3252,0.11968503986477791,,BinaryNgDeviceOperation,1,3.293,0.517,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,449537.0,
3255,0.12973732667756763,,ShardedToInterleavedDeviceOperation,1,3.068,1.062,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,452609.0,
3258,0.07602041902172244,,CopyDeviceOperation,1,1.861,0.559,88,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,455681.0,
3262,1.2073738864049182,SLOW,MatmulDeviceOperation 32 x 2816 x 128,1,37.787,0.648,4,48.12829809193638,9.400058221081323,0.6104922857067245,11.04044208815691,HiFi4 FP32 x FP32 => FP32,FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,2,1,1,459777.0,"If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible • HiFi2 is sufficient for BFP8 multiplication and has 2x the throughput of HiFi4"
3265,0.7490210211379958,,TopKDeviceOperation,1,22.282,1.562,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,462849.0,
3266,0.07375865448884475,,SliceDeviceOperation,1,0.887,1.461,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,463873.0,
3268,0.21882571855591673,,SoftmaxDeviceOperation,1,5.491,1.475,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,465921.0,
3275,3.3658511722811966,SLOW,SparseMatmulDeviceOperation active=8/128 x 32 x 2816 x 384,1,106.47,0.677,6,81.25060580445195,15.869258946182022,5.200038771484925,15.673342169068663,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_L1_INTERLEAVED,44,1,2,473089.0,in0_block_w=44 and output subblock 1x2 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
3285,0.06829272353439032,,SliceDeviceOperation,1,1.691,0.483,88,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,483329.0,
3289,0.2229722868661925,,LayerNormDeviceOperation,1,6.531,0.567,22,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,487425.0,
3290,0.06354930069460515,,BinaryNgDeviceOperation,1,1.503,0.52,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,488449.0,
3292,0.0797900265765186,,BinaryNgDeviceOperation,1,2.046,0.494,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,490497.0,
3295,0.684215184591792,,TilizeWithValPaddingDeviceOperation,1,20.308,1.473,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,493569.0,
3296,0.08465910300146363,,EmbeddingsDeviceOperation,1,1.187,1.508,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,494593.0,
3301,0.32230144593507115,,NLPCreateQKVHeadsDecodeDeviceOperation,1,9.193,1.067,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,499713.0,
3302,0.0755806314736629,,ShardedToInterleavedDeviceOperation,1,0.939,1.467,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,500737.0,
3308,0.09219831811105594,,TransposeDeviceOperation,1,2.399,0.536,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,506881.0,
3309,0.0864496665899918,,TransposeDeviceOperation,1,2.142,0.61,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,507905.0,
3312,0.08688945413805135,,TransposeDeviceOperation,1,2.228,0.538,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,510977.0,
3317,0.17899353206023738,,PagedUpdateCacheDeviceOperation,1,4.213,1.485,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,516097.0,
3320,0.07620889939946225,,InterleavedToShardedDeviceOperation,1,0.936,1.49,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,519169.0,
