Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
26.93,MatmulDeviceOperation (in0:dram_interleaved),694.63,4,Compute,1.62,11.04,7.67,4.42,7.05
11.33,LayerNormDeviceOperation (in0:dram_interleaved),292.29,9,Compute,,,,,
10.83,TopkLargeIndicesDeviceOperation (in0:dram_interleaved),279.38,1,Other,,,,,
9.61,SparseMatmulDeviceOperation (in0:l1_interleaved),247.85,4,Compute,6.38,15.67,11.10,5.27,14.38
5.28,MatmulDeviceOperation (in0:width_sharded),136.23,7,Compute,16.69,78.78,42.20,22.65,52.63
4.21,AllReduceAsyncDeviceOperation (in0:width_sharded),108.48,6,Other,,,,,
2.95,BinaryNgDeviceOperation (in0:dram_interleaved),76.18,11,Compute,,,,,
2.61,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),67.21,5,TM,,,,,
2.10,RotaryEmbeddingHfDeviceOperation (in0:dram_interleaved),54.26,2,Other,,,,,
1.73,TopKDeviceOperation (in0:dram_interleaved),44.66,2,Other,,,,,
1.48,LayerNormDeviceOperation (in0:l1_interleaved),38.20,6,Compute,,,,,
1.47,LayerNormDeviceOperation (in0:width_sharded),37.83,6,Compute,,,,,
1.34,FillPadDeviceOperation (in0:dram_interleaved),34.63,3,TM,,,,,
1.31,TypecastDeviceOperation (in0:dram_interleaved),33.81,6,TM,,,,,
1.30,AllGatherDeviceOperation (in0:dram_interleaved),33.59,3,DM,,,,,
1.11,ShardedToInterleavedDeviceOperation (in0:width_sharded),28.59,17,DM,,,,,
1.06,SamplingDeviceOperation (in0:dram_interleaved),27.31,1,Other,,,,,
1.05,InterleavedToShardedDeviceOperation (in0:dram_interleaved),27.21,22,DM,,,,,
1.05,TopkRoutePrepDeviceOperation (in0:dram_interleaved),27.06,1,Other,,,,,
0.97,UnaryDeviceOperation (in0:dram_interleaved),25.05,2,Compute,,,,,
0.92,BinaryNgDeviceOperation (in0:l1_interleaved),23.60,4,Compute,,,,,
0.82,TopkRouteFinishDeviceOperation (in0:dram_interleaved),21.26,1,Other,,,,,
0.73,SdpaDecodeDeviceOperation (in0:height_sharded),18.87,2,Compute,,,,,
0.67,SliceDeviceOperation (in0:dram_interleaved),17.15,14,TM,,,,,
0.66,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),17.08,2,TM,,,,,
0.64,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),16.42,4,DM,,,,,
0.61,ManualSeedDeviceOperation (in0:dram_interleaved),15.83,1,Other,,,,,
0.52,FillPadDeviceOperation (in0:l1_interleaved),13.47,2,TM,,,,,
0.46,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),11.89,8,TM,,,,,
0.43,SoftmaxDeviceOperation (in0:dram_interleaved),11.01,2,Compute,,,,,
0.42,UnaryDeviceOperation (in0:l1_interleaved),10.88,4,Compute,,,,,
0.39,SliceDeviceOperation (in0:l1_interleaved),10.09,6,TM,,,,,
0.35,EmbeddingsDeviceOperation (in0:dram_interleaved),9.09,5,Compute,,,,,
0.34,TransposeDeviceOperation (in0:dram_interleaved),8.87,4,TM,,,,,
0.34,PermuteDeviceOperation (in0:dram_interleaved),8.85,2,TM,,,,,
0.25,FastReduceNCDeviceOperation (in0:l1_interleaved),6.36,2,Compute,,,,,
0.24,ScatterDeviceOperation (in0:dram_interleaved),6.20,2,Other,,,,,
0.22,RotaryEmbeddingHfDeviceOperation (in0:height_sharded),5.60,2,Other,,,,,
0.22,CopyDeviceOperation (in0:width_sharded),5.60,3,DM,,,,,
0.20,BinaryNgDeviceOperation (in0:width_sharded),5.08,3,Compute,,,,,
0.19,ShardedToInterleavedDeviceOperation (in0:height_sharded),4.87,6,DM,,,,,
0.17,UntilizeDeviceOperation (in0:dram_interleaved),4.37,1,TM,,,,,
0.12,InterleavedToShardedDeviceOperation (in0:l1_interleaved),2.98,2,DM,,,,,
0.11,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),2.76,2,TM,,,,,
0.10,CopyDeviceOperation (in0:dram_interleaved),2.57,2,DM,,,,,
0.07,PlusOneDeviceOperation (in0:dram_interleaved),1.93,2,Other,,,,,
0.07,SliceDeviceOperation (in0:width_sharded),1.89,1,TM,,,,,
