Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
26.68,MatmulDeviceOperation (in0:dram_interleaved),691.37,4,Compute,1.61,11.07,7.68,4.42,7.08
11.25,LayerNormDeviceOperation (in0:dram_interleaved),291.55,9,Compute,,,,,
10.78,TopkLargeIndicesDeviceOperation (in0:dram_interleaved),279.48,1,Other,,,,,
9.54,SparseMatmulDeviceOperation (in0:l1_interleaved),247.21,4,Compute,6.73,15.62,11.21,5.09,14.42
5.27,MatmulDeviceOperation (in0:width_sharded),136.54,7,Compute,16.65,78.73,42.10,22.65,52.51
4.17,AllReduceAsyncDeviceOperation (in0:width_sharded),107.96,6,Other,,,,,
2.93,BinaryNgDeviceOperation (in0:dram_interleaved),76.02,11,Compute,,,,,
2.59,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),67.18,5,TM,,,,,
2.10,RotaryEmbeddingHfDeviceOperation (in0:dram_interleaved),54.34,2,Other,,,,,
1.72,TopKDeviceOperation (in0:dram_interleaved),44.67,2,Other,,,,,
1.47,LayerNormDeviceOperation (in0:l1_interleaved),38.18,6,Compute,,,,,
1.46,LayerNormDeviceOperation (in0:width_sharded),37.93,6,Compute,,,,,
1.40,AllGatherDeviceOperation (in0:dram_interleaved),36.40,3,DM,,,,,
1.33,FillPadDeviceOperation (in0:dram_interleaved),34.48,3,TM,,,,,
1.31,TypecastDeviceOperation (in0:dram_interleaved),33.99,6,TM,,,,,
1.29,SdpaDecodeDeviceOperation (in0:height_sharded),33.47,2,Compute,,,,,
1.10,ShardedToInterleavedDeviceOperation (in0:width_sharded),28.45,17,DM,,,,,
1.06,SamplingDeviceOperation (in0:dram_interleaved),27.38,1,Other,,,,,
1.06,InterleavedToShardedDeviceOperation (in0:dram_interleaved),27.37,22,DM,,,,,
1.02,TopkRoutePrepDeviceOperation (in0:dram_interleaved),26.49,1,Other,,,,,
0.97,UnaryDeviceOperation (in0:dram_interleaved),25.16,2,Compute,,,,,
0.91,BinaryNgDeviceOperation (in0:l1_interleaved),23.67,4,Compute,,,,,
0.83,TopkRouteFinishDeviceOperation (in0:dram_interleaved),21.52,1,Other,,,,,
0.66,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),17.09,2,TM,,,,,
0.66,SliceDeviceOperation (in0:dram_interleaved),17.03,14,TM,,,,,
0.64,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),16.50,4,DM,,,,,
0.63,ManualSeedDeviceOperation (in0:dram_interleaved),16.21,1,Other,,,,,
0.52,FillPadDeviceOperation (in0:l1_interleaved),13.46,2,TM,,,,,
0.46,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),11.99,8,TM,,,,,
0.42,SoftmaxDeviceOperation (in0:dram_interleaved),10.98,2,Compute,,,,,
0.42,UnaryDeviceOperation (in0:l1_interleaved),10.85,4,Compute,,,,,
0.39,SliceDeviceOperation (in0:l1_interleaved),10.02,6,TM,,,,,
0.35,EmbeddingsDeviceOperation (in0:dram_interleaved),9.08,5,Compute,,,,,
0.35,PermuteDeviceOperation (in0:dram_interleaved),8.96,2,TM,,,,,
0.34,TransposeDeviceOperation (in0:dram_interleaved),8.82,4,TM,,,,,
0.24,FastReduceNCDeviceOperation (in0:l1_interleaved),6.34,2,Compute,,,,,
0.24,ScatterDeviceOperation (in0:dram_interleaved),6.25,2,Other,,,,,
0.22,RotaryEmbeddingHfDeviceOperation (in0:height_sharded),5.59,2,Other,,,,,
0.21,CopyDeviceOperation (in0:width_sharded),5.53,3,DM,,,,,
0.19,BinaryNgDeviceOperation (in0:width_sharded),5.05,3,Compute,,,,,
0.19,ShardedToInterleavedDeviceOperation (in0:height_sharded),4.88,6,DM,,,,,
0.17,UntilizeDeviceOperation (in0:dram_interleaved),4.36,1,TM,,,,,
0.11,InterleavedToShardedDeviceOperation (in0:l1_interleaved),2.96,2,DM,,,,,
0.11,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),2.77,2,TM,,,,,
0.09,CopyDeviceOperation (in0:dram_interleaved),2.43,2,DM,,,,,
0.07,PlusOneDeviceOperation (in0:dram_interleaved),1.88,2,Other,,,,,
0.07,SliceDeviceOperation (in0:width_sharded),1.87,1,TM,,,,,
