Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
25.48,SparseMatmulDeviceOperation (in0:dram_interleaved),1950.88,16,Compute,0.94,14.23,7.23,6.51,7.31
18.29,BinaryNgDeviceOperation (in0:dram_interleaved),1400.37,29,Compute,,,,,
15.22,UnaryDeviceOperation (in0:dram_interleaved),1165.33,27,Compute,,,,,
12.31,MatmulDeviceOperation (in0:dram_interleaved),942.24,11,Compute,2.69,24.56,13.71,7.80,10.04
7.08,LayerNormDeviceOperation (in0:dram_interleaved),542.38,21,Compute,,,,,
6.58,FastReduceNCDeviceOperation (in0:dram_interleaved),503.85,8,Compute,,,,,
3.01,PermuteDeviceOperation (in0:dram_interleaved),230.78,16,TM,,,,,
2.36,SliceDeviceOperation (in0:dram_interleaved),180.58,41,TM,,,,,
1.65,ReduceScatterDeviceOperation (in0:dram_interleaved),126.20,6,DM,,,,,
1.58,AllGatherDeviceOperation (in0:dram_interleaved),120.61,7,DM,,,,,
1.14,RotaryEmbeddingHfDeviceOperation (in0:dram_interleaved),87.32,4,Other,,,,,
1.01,SDPAOperation (in0:dram_interleaved),76.95,2,Compute,,,,,
0.88,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),67.49,2,TM,,,,,
0.77,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),59.09,12,TM,,,,,
0.60,TopKDeviceOperation (in0:dram_interleaved),45.79,2,Other,,,,,
0.54,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),41.30,2,TM,,,,,
0.30,EmbeddingsDeviceOperation (in0:dram_interleaved),23.17,5,Compute,,,,,
0.23,TypecastDeviceOperation (in0:dram_interleaved),17.76,4,TM,,,,,
0.21,ReduceDeviceOperation (in0:dram_interleaved),15.94,8,Compute,,,,,
0.16,ScatterDeviceOperation (in0:dram_interleaved),12.39,2,Other,,,,,
0.16,SoftmaxDeviceOperation (in0:dram_interleaved),11.87,2,Compute,,,,,
0.14,UntilizeCodegenDeviceOperation (in0:dram_interleaved),10.66,3,Other,,,,,
0.12,ConcatDeviceOperation (in0:dram_interleaved),8.89,2,TM,,,,,
0.09,PagedFillCacheDeviceOperation (in0:dram_interleaved),7.01,4,Other,,,,,
0.06,TilizeDeviceOperation (in0:dram_interleaved),4.89,2,TM,,,,,
0.04,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),3.30,1,TM,,,,,
