Detected CSV format: v2.1 (with device arch and worker core count)
Using user-specified architecture: blackhole (CSV detected blackhole)
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'FULL_MODEL_REDUCED_DECODE'.
Using operations until 'FULL_MODEL_REDUCED_DECODE_END'.
Detected data from 4 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 4542    0.1 %         BinaryNgDeviceOperation                                           1         3 μs                  110                                                       BF16 => BF16
 4547    0.1 %         EmbeddingsDeviceOperation                                         1         1 μs          1 μs      1                                               UINT32, BF16 => BF16
 4557    0.1 %         ShardedToInterleavedDeviceOperation                               1         2 μs          1 μs      8                                                       BF16 => BF16
 4558    0.3 %         NLPCreateQKVHeadsDecodeDeviceOperation                            1         8 μs          2 μs      1                                                       BF16 => BF16
 4560    0.1 %         ShardedToInterleavedDeviceOperation                               1         1 μs          1 μs      1                                                       BF16 => BF16
 4562    0.2 %         LayerNormDeviceOperation                                          1         5 μs          1 μs      1                                                 BF16, BF16 => BF16
 4564    0.2 %         LayerNormDeviceOperation                                          1         5 μs          1 μs      1                                                       BF16 => BF16
 4569    0.1 %         InterleavedToShardedDeviceOperation                               1         1 μs          1 μs      1                                                       BF16 => BF16
 4571    0.2 %         RotaryEmbeddingHfDeviceOperation                                  1         3 μs          2 μs      1                                                 BF16, BF16 => BF16
 4572    0.2 %         PagedUpdateCacheDeviceOperation                                   1         4 μs          2 μs      1                                                 BF16, BF16 => BF16
 4573    0.2 %         PagedUpdateCacheDeviceOperation                                   1         4 μs          1 μs      1                                                 BF16, BF16 => BF16
 4576    0.1 %         NLPConcatHeadsDecodeDeviceOperation                               1         1 μs          1 μs      4                                                       BF16 => BF16
 4577    0.1 %         ShardedToInterleavedDeviceOperation                               1         2 μs          1 μs      4                                                       BF16 => BF16
 4581    0.1 %         InterleavedToShardedDeviceOperation                               1         2 μs          1 μs     88                                                       BF16 => BF16
 4584    0.1 %         SliceDeviceOperation                                              1         2 μs          1 μs     88                                                       BF16 => BF16
 4585    0.2 %         LayerNormDeviceOperation                                          1         6 μs          0 μs     22                                                 BF16, BF16 => BF16
 4591    0.1 %         ShardedToInterleavedDeviceOperation                               1         1 μs          1 μs      2                                                       BF16 => BF16
 4594    0.1 %         BinaryNgDeviceOperation                                           1         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 4605    0.1 %         TypecastDeviceOperation                                           1         2 μs          1 μs      4                                                       FP32 => BF16
 4606    0.2 %         FillPadDeviceOperation                                            1         5 μs          1 μs      4                                                       BF16 => BF16
 4609    0.1 %         SliceDeviceOperation                                              1         1 μs          1 μs      1                                                   UINT16 => UINT16
 4615    0.1 %         ShardedToInterleavedDeviceOperation                               1         2 μs          1 μs     22                                                       BF16 => BF16
 4617    3.8 %   SLOW  SparseMatmulDeviceOperation active=8/128 x 32 x 2816 x 384        1       107 μs          1 μs      6   81 GB/s  15.8 %   5.2 TFLOPs   15.6 %   LoFi BF16 x BFP8 => BF16
 4624    0.3 %         BinaryNgDeviceOperation                                           1         7 μs          1 μs    110                                                 BF16, BF16 => BF16
 4632    0.1 %         BinaryNgDeviceOperation                                           1         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 4643    0.4 %         NLPCreateQKVHeadsDecodeDeviceOperation                            1         9 μs          1 μs      1                                                       BF16 => BF16
 4644    0.1 %         ShardedToInterleavedDeviceOperation                               1         1 μs          1 μs      1                                                       BF16 => BF16
 4650    0.1 %         TransposeDeviceOperation                                          1         2 μs          1 μs     64                                                       BF16 => BF16
 4651    0.1 %         TransposeDeviceOperation                                          1         2 μs          1 μs     16                                                       BF16 => BF16
 4654    0.1 %         TransposeDeviceOperation                                          1         2 μs          1 μs     64                                                       BF16 => BF16
 4657    0.1 %         InterleavedToShardedDeviceOperation                               1         1 μs          1 μs      1                                                       BF16 => BF16
 4659    0.2 %         PagedUpdateCacheDeviceOperation                                   1         4 μs          1 μs      1                                                 BF16, BF16 => BF16
 4660    0.2 %         PagedUpdateCacheDeviceOperation                                   1         4 μs          1 μs      1                                                 BF16, BF16 => BF16
 4667    0.1 %         ShardedToInterleavedDeviceOperation                               1         2 μs          1 μs      8                                                       BF16 => BF16
 4670    0.1 %         ShardedToInterleavedDeviceOperation                               1         1 μs          1 μs     88                                                       BF16 => BF16
 4675    0.1 %         InterleavedToShardedDeviceOperation                               1         3 μs          1 μs      2                                                       BF16 => BF16
 4677    0.1 %         ShardedToInterleavedDeviceOperation                               1         1 μs          1 μs      2                                                       BF16 => BF16
 4678    0.1 %         SliceDeviceOperation                                              1         2 μs          1 μs     17                                                       BF16 => BF16
 4680    0.1 %         BinaryNgDeviceOperation                                           1         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 4688    1.0 %         LayerNormDeviceOperation                                          1        26 μs          1 μs      1                                                       BF16 => BF16
 4690    0.1 %         BinaryNgDeviceOperation                                           1         4 μs          0 μs    110                                                       BF16 => BF16
 4691    0.1 %         TypecastDeviceOperation                                           1         2 μs          0 μs     88                                                       BF16 => FP32
 4695    0.9 %         TopKDeviceOperation                                               1        22 μs          2 μs      1                                                       BF16 => BF16
 4701    0.1 %         UntilizeWithUnpaddingDeviceOperation                              1         1 μs          1 μs      1                                                   UINT16 => UINT16
 4706    1.3 %         LayerNormDeviceOperation                                          1        34 μs          1 μs      1                                                 BF16, BF16 => BF16
 4707    0.1 %         CopyDeviceOperation                                               1         2 μs          1 μs     88                                                       BF16 => BF16
 4709    0.1 %         UnaryDeviceOperation                                              1         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 4710    3.8 %   SLOW  SparseMatmulDeviceOperation active=8/128 x 32 x 2816 x 384        1       107 μs          1 μs      6   81 GB/s  15.8 %   5.2 TFLOPs   15.6 %   LoFi BF16 x BFP8 => BF16
 4712    0.1 %         SliceDeviceOperation                                              1         2 μs          1 μs     48                                                       BF16 => BF16
 4713    0.2 %         BinaryNgDeviceOperation                                           1         5 μs          0 μs    110                                                 BF16, BF16 => BF16
 4715    0.6 %   SLOW  SparseMatmulDeviceOperation active=8/128 x 32 x 192 x 2816        1        17 μs          0 μs     44  261 GB/s  50.9 %  16.7 TFLOPs    6.9 %   LoFi BF16 x BFP8 => BF16
 4720    0.1 %         SliceDeviceOperation                                              1         2 μs          1 μs     88                                                       BF16 => BF16
 4724    1.2 %         LayerNormDeviceOperation                                          1        34 μs          1 μs      1                                                 BF16, BF16 => BF16
 4727    0.1 %         BinaryNgDeviceOperation                                           1         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 4732    0.9 %         BinaryNgDeviceOperation                                           1        25 μs          1 μs    110                                                       BF16 => BF16
 4738    0.5 %         AllGatherDeviceOperation                                          0        12 μs          1 μs      2                                                       BF16 => BF16
 4744    0.1 %         EmbeddingsDeviceOperation                                         0         1 μs          1 μs      1                                               UINT32, BF16 => BF16
 4746    0.1 %         SliceDeviceOperation                                              0         1 μs          1 μs      1                                                     INT32 => INT32
 4748    0.3 %         LayerNormDeviceOperation                                          0         7 μs          1 μs     22                                                 BF16, BF16 => BF16
 4750    0.1 %         InterleavedToShardedDeviceOperation                               0         1 μs          1 μs      8                                                       BF16 => BF16
 4751    1.5 %   FLOP  MatmulDeviceOperation 32 x 2816 x 2048                            0        42 μs          1 μs      8  272 GB/s  53.1 %   8.7 TFLOPs   78.7 %  HiFi4 BF16 x BF16 => BF16
 4761    0.1 %         InterleavedToShardedDeviceOperation                               0         1 μs          1 μs      1                                                       BF16 => BF16
 4763    0.1 %         InterleavedToShardedDeviceOperation                               0         1 μs          1 μs      1                                                       BF16 => BF16
 4765    0.2 %         RotaryEmbeddingHfDeviceOperation                                  0         3 μs          1 μs      1                                                 BF16, BF16 => BF16
 4770    0.1 %         InterleavedToShardedDeviceOperation                               0         1 μs          2 μs      1                                                       BF16 => BF16
 4777    0.6 %         AllReduceAsyncDeviceOperation                                     0        17 μs          1 μs     90                                                 BF16, BF16 => BF16
 4785    0.5 %   SLOW  MatmulDeviceOperation 32 x 2816 x 1088                            0        13 μs          1 μs      8  228 GB/s  44.5 %  14.6 TFLOPs   33.0 %   LoFi BF16 x BFP8 => BF16
 4787    0.1 %         SliceDeviceOperation                                              0         2 μs          1 μs     17                                                       BF16 => BF16
 4792    0.2 %         ShardedToInterleavedDeviceOperation                               0         3 μs          1 μs      1                                                       BF16 => BF16
 4794    0.7 %         AllReduceAsyncDeviceOperation                                     0        18 μs          1 μs     90                                                 BF16, BF16 => BF16
 4798    0.1 %         TypecastDeviceOperation                                           0         2 μs          1 μs     88                                                       BF16 => FP32
 4803    0.1 %         SliceDeviceOperation                                              0         1 μs          1 μs      1                                                       BF16 => BF16
 4805    0.2 %         SoftmaxDeviceOperation                                            0         5 μs          1 μs      1                                                       BF16 => BF16
 4806    0.1 %         UntilizeWithUnpaddingDeviceOperation                              0         1 μs          1 μs      1                                                   UINT16 => UINT16
 4809    0.1 %         UntilizeWithUnpaddingDeviceOperation                              0         1 μs          1 μs      1                                                   UINT16 => UINT16
 4813    0.1 %         SliceDeviceOperation                                              0         2 μs          1 μs     48                                                       BF16 => BF16
 4817    0.6 %   SLOW  SparseMatmulDeviceOperation active=8/128 x 32 x 192 x 2816        0        17 μs          0 μs     44  256 GB/s  50.0 %  16.4 TFLOPs    6.7 %   LoFi BF16 x BFP8 => BF16
 4824    0.6 %         AllReduceAsyncDeviceOperation                                     0        17 μs          0 μs     90                                                 BF16, BF16 => BF16
 4826    0.3 %         LayerNormDeviceOperation                                          0         7 μs          1 μs     22                                                 BF16, BF16 => BF16
 4829    0.1 %         BinaryNgDeviceOperation                                           0         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 4831    0.1 %         EmbeddingsDeviceOperation                                         0         1 μs          1 μs      1                                               UINT32, BF16 => BF16
 4832    0.8 %         TilizeWithValPaddingDeviceOperation                               0        20 μs          1 μs      1                                                       BF16 => BF16
 4836    1.3 %         LayerNormDeviceOperation                                          0        34 μs          1 μs      1                                                 BF16, BF16 => BF16
 4837    2.3 %   SLOW  MatmulDeviceOperation 32 x 2816 x 3072                            0        65 μs          1 μs     96  140 GB/s  27.3 %   8.6 TFLOPs    1.6 %   LoFi BF16 x BFP8 => BF16
 4848    1.0 %         RotaryEmbeddingHfDeviceOperation                                  0        27 μs          1 μs      1                                                 BF16, BF16 => BF16
 4856    0.7 %         SdpaDecodeDeviceOperation                                         0        18 μs          1 μs     32                                                 BF16, BF16 => BF16
 4864    0.7 %         AllReduceAsyncDeviceOperation                                     0        19 μs          1 μs     90                                                 BF16, BF16 => BF16
 4869    1.3 %         LayerNormDeviceOperation                                          0        34 μs          1 μs      1                                                 BF16, BF16 => BF16
 4876    0.1 %         InterleavedToShardedDeviceOperation                               0         1 μs          2 μs      1                                                       BF16 => BF16
 4880    0.7 %         AllReduceAsyncDeviceOperation                                     0        19 μs          1 μs     90                                                 BF16, BF16 => BF16
 4882    1.2 %         LayerNormDeviceOperation                                          0        34 μs          1 μs      1                                                 BF16, BF16 => BF16
 4892    0.1 %         SliceDeviceOperation                                              0         1 μs          1 μs      1                                                   UINT16 => UINT16
 4897    0.1 %         UntilizeWithUnpaddingDeviceOperation                              0         1 μs          1 μs      1                                                       BF16 => BF16
 4900    0.1 %         UntilizeWithUnpaddingDeviceOperation                              0         1 μs          1 μs      1                                                   UINT16 => UINT16
 4906    0.1 %         SliceDeviceOperation                                              0         2 μs          1 μs     48                                                       BF16 => BF16
 4914    0.1 %         FastReduceNCDeviceOperation                                       0         3 μs          1 μs     88                                                       BF16 => BF16
 4916    0.1 %         InterleavedToShardedDeviceOperation                               0         1 μs          0 μs     88                                                       BF16 => BF16
 4917    0.7 %         AllReduceAsyncDeviceOperation                                     0        18 μs          1 μs     90                                                 BF16, BF16 => BF16
 4921    1.3 %         LayerNormDeviceOperation                                          0        34 μs          1 μs      1                                                 BF16, BF16 => BF16
 4929    0.1 %         PlusOneDeviceOperation                                            0         1 μs          1 μs      1                                                     INT32 => INT32
 4934    0.1 %         SliceDeviceOperation                                              3         2 μs          1 μs     88                                                       BF16 => BF16
 4935    0.1 %         SliceDeviceOperation                                              3         1 μs          1 μs      1                                                     INT32 => INT32
 4936    0.1 %         SliceDeviceOperation                                              3         1 μs          1 μs      1                                                   UINT32 => UINT32
 4938    0.4 %         TilizeWithValPaddingDeviceOperation                               3        11 μs          1 μs      1                                                       BF16 => BF16
 4944    0.1 %         ShardedToInterleavedDeviceOperation                               3         1 μs          1 μs     22                                                       BF16 => BF16
 4953    0.2 %         LayerNormDeviceOperation                                          3         5 μs          2 μs      1                                                 BF16, BF16 => BF16
 4957    0.1 %         InterleavedToShardedDeviceOperation                               3         1 μs          1 μs      1                                                       BF16 => BF16
 4969    0.9 %   FLOP  MatmulDeviceOperation 32 x 1024 x 2816                            3        25 μs          1 μs      8  232 GB/s  45.3 %   7.4 TFLOPs   67.1 %  HiFi4 BF16 x BF16 => BF16
 4970    0.1 %         ShardedToInterleavedDeviceOperation                               3         2 μs          1 μs      8                                                       BF16 => BF16
 4976    0.1 %         BinaryNgDeviceOperation                                           3         1 μs          1 μs    110                                                 BF16, BF16 => BF16
 4979    0.1 %         InterleavedToShardedDeviceOperation                               3         2 μs          1 μs      2                                                       BF16 => BF16
 4983    0.1 %         SliceDeviceOperation                                              3         2 μs          1 μs     17                                                       BF16 => BF16
 4985    0.1 %         InterleavedToShardedDeviceOperation                               3         1 μs          1 μs      1                                                       BF16 => BF16
 4986    0.3 %   SLOW  MatmulDeviceOperation 32 x 544 x 2816                             3         9 μs          1 μs      8  172 GB/s  33.5 %  11.0 TFLOPs   24.8 %   LoFi BF16 x BFP8 => BF16
 4990    0.1 %         CopyDeviceOperation                                               3         2 μs          1 μs     88                                                       BF16 => BF16
 4991    0.2 %         LayerNormDeviceOperation                                          3         6 μs          1 μs     22                                                 BF16, BF16 => BF16
 4992    0.1 %         ShardedToInterleavedDeviceOperation                               3         1 μs          1 μs     22                                                       BF16 => BF16
 4994    1.4 %   SLOW  MatmulDeviceOperation 32 x 2816 x 128                             3        38 μs          1 μs      4   48 GB/s   9.4 %   0.6 TFLOPs   11.1 %  HiFi4 FP32 x FP32 => FP32
 4997    0.8 %         TopKDeviceOperation                                               3        22 μs          2 μs      1                                                       BF16 => BF16
 5003    0.2 %         ScatterDeviceOperation                                            3         3 μs          2 μs      1                                               BF16, UINT16 => BF16
 5009    0.1 %         SliceDeviceOperation                                              3         2 μs          1 μs     48                                                       BF16 => BF16
 5013    0.2 %         PermuteDeviceOperation                                            3         4 μs          1 μs      8                                                       BF16 => BF16
 5016    0.1 %         FastReduceNCDeviceOperation                                       3         3 μs          1 μs     88                                                       BF16 => BF16
 5020    0.1 %         CopyDeviceOperation                                               3         2 μs          1 μs     88                                                       BF16 => BF16
 5030    0.1 %         SliceDeviceOperation                                              3         1 μs          1 μs      1                                                     INT32 => INT32
 5035    0.1 %         ShardedToInterleavedDeviceOperation                               3         1 μs          1 μs      1                                                       BF16 => BF16
