Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
35.26,ReshapeViewDeviceOperation (in0:dram_interleaved),14689.27,96,TM,,,,,
25.36,MatmulDeviceOperation (in0:dram_interleaved),10566.43,189,Compute,5.41,163.43,26.59,21.93,26.89
24.46,BinaryNgDeviceOperation (in0:dram_interleaved),10191.75,100,Compute,,,,,
4.03,SoftmaxDeviceOperation (in0:dram_interleaved),1677.43,24,Compute,,,,,
3.44,PermuteDeviceOperation (in0:dram_interleaved),1433.77,24,TM,,,,,
3.37,TransposeDeviceOperation (in0:dram_interleaved),1404.71,72,TM,,,,,
2.40,LayerNormDeviceOperation (in0:dram_interleaved),1000.23,50,Compute,,,,,
1.49,UnaryDeviceOperation (in0:dram_interleaved),621.57,24,Compute,,,,,
0.07,EmbeddingsDeviceOperation (in0:dram_interleaved),30.51,6,Compute,,,,,
0.06,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),26.94,4,TM,,,,,
0.03,TypecastDeviceOperation (in0:dram_interleaved),12.60,6,TM,,,,,
0.02,UntilizeDeviceOperation (in0:dram_interleaved),9.42,2,TM,,,,,
