ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
2276,0.05813019539724655,,EmbeddingsDeviceOperation,3,3.293,,4,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,216067.0,
2278,0.07232293062329763,,EmbeddingsDeviceOperation,3,3.487,0.61,4,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,218115.0,
2287,0.1678591035628355,,NlpCreateHeadsDeviceOperation,3,8.87,0.639,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,227331.0,
2295,0.5859622550914674,SLOW,MatmulDeviceOperation 128 x 768 x 2048,3,32.613,0.581,32.0,70.3326894183301,13.736853402017598,12.346401251034862,13.954898694113119,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,2,235523.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
2302,0.5468792752525654,,SDPAOperation,3,28.418,2.562,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,242691.0,
2303,0.08033723633552049,,NLPConcatHeadsDeviceOperation,3,4.009,0.542,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,243715.0,
2304,0.15008287921876404,SLOW,MatmulDeviceOperation 512 x 192 x 768,3,8.026,0.476,64.0,140.85422377273858,27.510590580613005,18.81322501868926,10.632112301686185,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,3,1,3,244739.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=3 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
2310,0.3193012372746418,SLOW,MatmulDeviceOperation 128 x 2048 x 768,3,17.544,0.544,32.0,130.74327405380757,25.53579571363429,22.951047879616965,25.9411258043269,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,3,250883.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
2311,0.05059251139037611,,BinaryNgDeviceOperation,3,2.328,0.538,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,251907.0,
2323,0.5883806689297372,SLOW,MatmulDeviceOperation 128 x 768 x 2048,3,32.773,0.558,32.0,69.98932047722211,13.669789155707443,12.286125286058647,13.886769935956767,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,2,264195.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
2330,0.5457318526285687,,SDPAOperation,3,28.342,2.573,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,271363.0,
2332,0.1316888119233098,SLOW,MatmulDeviceOperation 512 x 192 x 768,3,6.984,0.476,64.0,161.86941580756013,31.615120274914087,21.620123711340202,12.218403970981289,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,3,1,3,273411.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=3 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
2335,0.05244604024452459,,BinaryNgDeviceOperation,3,2.42,0.551,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,276483.0,
2358,0.506984273248989,,SDPAOperation,3,28.175,0.545,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,300035.0,
2360,0.13747888301055453,SLOW,MatmulDeviceOperation 512 x 192 x 768,3,7.292,0.496,64.0,155.03236423477784,30.27975863960505,20.706931431705975,11.702322179557505,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,3,1,3,302083.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=3 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
2364,0.3653040581690312,,LayerNormDeviceOperation,3,20.127,0.567,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,306179.0,
2374,0.13726705114150897,SLOW,MatmulDeviceOperation 512 x 192 x 768,3,7.28,0.496,64.0,155.28791208791208,30.32967032967033,20.741063736263733,11.72161172161172,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,3,1,3,316419.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=3 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
2382,0.3636270558724208,,LayerNormDeviceOperation,3,20.046,0.553,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,324611.0,
2387,0.07888971856370933,,NLPConcatHeadsDeviceOperation,3,3.926,0.543,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,329731.0,
2391,0.051828197293141774,,BinaryNgDeviceOperation,3,2.393,0.543,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,333827.0,
2393,0.5883983215854909,SLOW,MatmulDeviceOperation 128 x 768 x 2048,3,32.761,0.571,32.0,70.01495680840024,13.674796251640672,12.290625560880315,13.89185650960322,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,2,335875.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
2399,0.16854755713723352,,NlpCreateHeadsDeviceOperation,3,8.921,0.627,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,342019.0,
