Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
32.77,MatmulDeviceOperation (in0:dram_interleaved),1679.71,98,Compute,7.04,26.68,17.40,5.68,17.51
19.11,LayerNormDeviceOperation (in0:dram_interleaved),979.60,50,Compute,,,,,
14.19,ReduceScatterMinimalAsyncDeviceOperation (in0:dram_interleaved),727.40,24,Other,,,,,
13.37,SDPAOperation (in0:dram_interleaved),685.32,24,Compute,,,,,
9.79,AllGatherAsyncDeviceOperation (in0:dram_interleaved),501.91,24,Other,,,,,
4.17,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),213.87,24,TM,,,,,
3.66,BinaryNgDeviceOperation (in0:dram_interleaved),187.78,76,Compute,,,,,
1.80,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),92.38,24,TM,,,,,
0.53,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),27.03,4,TM,,,,,
0.41,EmbeddingsDeviceOperation (in0:dram_interleaved),20.98,6,Compute,,,,,
0.19,UntilizeDeviceOperation (in0:dram_interleaved),9.66,2,TM,,,,,
