Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
33.10,MatmulDeviceOperation (in0:dram_interleaved),1660.74,98,Compute,7.97,26.63,17.66,5.63,17.71
18.75,LayerNormDeviceOperation (in0:dram_interleaved),940.65,50,Compute,,,,,
14.20,ReduceScatterMinimalAsyncDeviceOperation (in0:dram_interleaved),712.52,24,Other,,,,,
13.55,SDPAOperation (in0:dram_interleaved),679.99,24,Compute,,,,,
10.01,AllGatherAsyncDeviceOperation (in0:dram_interleaved),502.40,24,Other,,,,,
4.23,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),212.09,24,TM,,,,,
3.29,BinaryNgDeviceOperation (in0:dram_interleaved),165.30,76,Compute,,,,,
1.81,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),91.00,24,TM,,,,,
0.54,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),26.87,4,TM,,,,,
0.35,EmbeddingsDeviceOperation (in0:dram_interleaved),17.48,6,Compute,,,,,
0.17,UntilizeDeviceOperation (in0:dram_interleaved),8.54,2,TM,,,,,
