ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
435,0.17921866302379785,,UntilizeWithUnpaddingDeviceOperation,0,10.805,,6,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,149504.0,
436,0.0695477884367223,,EmbeddingsDeviceOperation,0,3.637,0.556,16,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,150528.0,
437,0.08684765567724255,,UntilizeDeviceOperation,0,4.767,0.469,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,151552.0,
438,0.06800523076331062,,EmbeddingsDeviceOperation,0,3.522,0.578,16,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,152576.0,
439,0.06933216209527765,,UntilizeWithUnpaddingDeviceOperation,0,2.659,1.521,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,153600.0,
440,0.1443369556347144,,EmbeddingsDeviceOperation,0,8.093,0.609,16,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,154624.0,
441,0.04475075917058831,,BinaryNgDeviceOperation,0,2.171,0.527,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,155648.0,
442,0.046558703110393396,,BinaryNgDeviceOperation,0,2.286,0.521,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,156672.0,
443,0.12997292396617122,,LayerNormDeviceOperation,0,7.335,0.501,16,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,157696.0,
444,0.1194238198770333,SLOW,MatmulDeviceOperation 512 x 128 x 768,0,6.644,0.556,64.0,152.89102950030102,29.86152919927754,15.151007826610474,8.562445648538365,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,4,1,3,158720.0,If possible place input 0 in L1 (currently in DEV_1_DRAM_INTERLEAVED) • in0_block_w=4 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
445,0.4566634178964556,SLOW,MatmulDeviceOperation 512 x 768 x 2304,0,26.957,0.575,72.0,182.3348295433468,35.612271395184926,67.21591156285936,33.765709174693846,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,4,1,2,159744.0,If possible place input 0 in L1 (currently in DEV_1_DRAM_INTERLEAVED) • in0_block_w=4 and output subblock 1x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
446,0.5444565121477247,,NlpCreateHeadsDeviceOperation,0,32.192,0.633,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,160768.0,
447,0.4967865040468089,,SDPAOperation,0,29.478,0.473,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,161792.0,
448,0.19988561851918443,,NLPConcatHeadsDeviceOperation,0,11.386,0.665,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,162816.0,
449,0.22430115502737794,SLOW,MatmulDeviceOperation 512 x 768 x 768,0,13.056,0.467,64.0,165.64705882352942,32.35294117647059,46.26070588235294,26.1437908496732,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,4,1,3,163840.0,If possible place input 0 in L1 (currently in DEV_1_DRAM_INTERLEAVED) • in0_block_w=4 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
450,0.15939762625254028,,BinaryNgDeviceOperation,0,9.069,0.541,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,164864.0,
451,0.33649319914519094,,LayerNormDeviceOperation,0,19.783,0.504,16,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,165888.0,
