ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
2887,0.1578529772320025,,NlpCreateHeadsDeviceOperation,3,8.806,,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,282627.0,
2890,0.13512329575003804,SLOW,MatmulDeviceOperation 512 x 192 x 768,3,7.073,0.465,64.0,159.832602855931,31.21730524529902,21.348076346670435,12.064659031999621,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,3,1,3,285699.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=3 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
2898,0.31588521062711195,SLOW,MatmulDeviceOperation 128 x 2048 x 768,3,17.053,0.569,32.0,134.50771125315194,26.271037354131238,23.611867941124725,26.688037947053957,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,3,293891.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
2899,0.052701311953450763,,BinaryNgDeviceOperation,3,2.382,0.558,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,294915.0,
2907,0.07663200972823198,,NLPConcatHeadsDeviceOperation,3,3.616,0.659,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,303107.0,
2911,0.05556941056316236,,BinaryNgDeviceOperation,3,2.564,0.536,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,307203.0,
2915,0.6085567481318707,SLOW,MatmulDeviceOperation 128 x 768 x 2048,3,33.183,0.766,32.0,69.1245517282946,13.50088900943254,12.134321309104058,13.71518883497909,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,2,311299.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
2919,0.18472347608173814,,LayerNormDeviceOperation,3,9.601,0.704,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_BLOCK_SHARDED,,,,315395.0,
2924,0.5569668243896831,,SDPAOperation,3,28.493,2.578,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,320515.0,
2929,0.05712893918219305,,BinaryNgDeviceOperation,3,2.619,0.568,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,325635.0,
2934,0.31613616925546173,SLOW,MatmulDeviceOperation 128 x 2048 x 768,3,17.085,0.551,32.0,134.25577992390987,26.221832016388646,23.567643195785777,26.63805157220434,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,3,330755.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
2936,0.03744661247304715,,InterleavedToShardedDeviceOperation,3,1.487,0.602,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,332803.0,
2937,0.18389889773144602,,LayerNormDeviceOperation,3,9.613,0.646,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_BLOCK_SHARDED,,,,333827.0,
2943,0.07828116642881613,,NLPConcatHeadsDeviceOperation,3,3.776,0.591,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,339971.0,
2946,0.05551563371423027,,BinaryNgDeviceOperation,3,2.561,0.536,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,343043.0,
2948,0.03800230657867878,,InterleavedToShardedDeviceOperation,3,1.628,0.492,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,345091.0,
2950,0.037984380962368086,,ShardedToInterleavedDeviceOperation,3,1.372,0.747,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_BLOCK_SHARDED,,,,347139.0,
2951,0.6050612529512847,SLOW,MatmulDeviceOperation 128 x 768 x 2048,3,33.073,0.681,32.0,69.3544583194751,13.54579264052248,12.174679768995857,13.760805222118075,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,2,348163.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
2952,0.31660223527953996,SLOW,MatmulDeviceOperation 128 x 2048 x 768,3,17.045,0.617,32.0,134.57084188911705,26.283367556468175,23.62295007333529,26.700563866888306,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,3,349187.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
2962,0.1308211478354706,SLOW,MatmulDeviceOperation 512 x 192 x 768,3,6.831,0.467,64.0,165.49494949494948,32.32323232323232,22.104368906455864,12.492070463084955,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,3,1,3,359427.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=3 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
2967,0.18597826922348695,,LayerNormDeviceOperation,3,9.75,0.625,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_BLOCK_SHARDED,,,,364547.0,
2979,0.0814719261321203,,NLPConcatHeadsDeviceOperation,3,3.987,0.558,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,376835.0,
2983,0.05481653467811306,,BinaryNgDeviceOperation,3,2.504,0.554,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,380931.0,
2986,0.03830704205596064,,ShardedToInterleavedDeviceOperation,3,1.438,0.699,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_BLOCK_SHARDED,,,,384003.0,
3000,0.05521089823694841,,BinaryNgDeviceOperation,3,2.536,0.544,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,398339.0,
3009,0.18459799676756325,,LayerNormDeviceOperation,3,9.617,0.681,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_BLOCK_SHARDED,,,,407555.0,
3015,0.08204554585406262,,NLPConcatHeadsDeviceOperation,3,4.044,0.533,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,413699.0,
3019,0.056662873158114906,,BinaryNgDeviceOperation,3,2.621,0.54,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,417795.0,
3022,0.04009960368703039,,ShardedToInterleavedDeviceOperation,3,1.344,0.893,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_BLOCK_SHARDED,,,,420867.0,
3023,0.6089152604580846,SLOW,MatmulDeviceOperation 128 x 768 x 2048,3,33.215,0.754,32.0,69.05795574288726,13.487881981032668,12.122630859551409,13.701975345810963,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,2,421891.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
3037,0.05664494754180422,,BinaryNgDeviceOperation,3,2.626,0.534,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,436227.0,
3041,0.6057962032200231,SLOW,MatmulDeviceOperation 128 x 768 x 2048,3,33.178,0.617,32.0,69.13496895533184,13.50292362408825,12.136149978901681,13.717255745105525,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,2,440323.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
3043,0.050872899089759616,,BinaryNgDeviceOperation,3,2.283,0.555,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,442371.0,
3050,0.5513381808681241,,SDPAOperation,3,30.276,0.481,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,449539.0,
3051,0.08231443009872308,,NLPConcatHeadsDeviceOperation,3,4.053,0.539,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,450563.0,
3054,0.055372228783744704,,BinaryNgDeviceOperation,3,2.527,0.562,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,453635.0,
3068,0.5148595516758546,,SDPAOperation,3,28.249,0.473,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,467971.0,
