Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
36.44,MatmulDeviceOperation (in0:dram_interleaved),1681.37,98,Compute,7.01,26.95,17.49,5.86,17.49
14.85,SDPAOperation (in0:dram_interleaved),685.26,24,Compute,,,,,
13.57,ReduceScatterMinimalAsyncDeviceOperation (in0:dram_interleaved),625.99,24,Other,,,,,
10.18,LayerNormDeviceOperation (in0:block_sharded),469.75,48,Compute,,,,,
9.51,AllGatherAsyncDeviceOperation (in0:dram_interleaved),438.87,24,Other,,,,,
4.72,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),217.84,24,TM,,,,,
4.09,BinaryNgDeviceOperation (in0:dram_interleaved),188.81,76,Compute,,,,,
2.03,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),93.53,24,TM,,,,,
1.62,InterleavedToShardedDeviceOperation (in0:dram_interleaved),74.61,48,DM,,,,,
1.43,ShardedToInterleavedDeviceOperation (in0:block_sharded),66.05,48,DM,,,,,
0.59,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),27.07,4,TM,,,,,
0.46,EmbeddingsDeviceOperation (in0:dram_interleaved),21.15,6,Compute,,,,,
0.31,LayerNormDeviceOperation (in0:dram_interleaved),14.49,2,Compute,,,,,
0.21,UntilizeDeviceOperation (in0:dram_interleaved),9.61,2,TM,,,,,
