ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
1045,0.048588912629224545,,UntilizeWithUnpaddingDeviceOperation,1,10.878,,6,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,267265.0,
1047,0.3050006178581853,,EmbeddingsDeviceOperation,3,2.647,65.636,4,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,268291.0,
1053,0.24759887891737223,,UntilizeDeviceOperation,1,4.135,51.297,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,269313.0,
1057,0.12204848765222755,,EmbeddingsDeviceOperation,1,2.644,24.68,4,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,270337.0,
1062,0.1365072401968865,,UntilizeWithUnpaddingDeviceOperation,0,2.656,27.905,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,271360.0,
1066,0.10820614161086273,,EmbeddingsDeviceOperation,0,3.286,20.939,4,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,272384.0,
1068,0.5433176655158104,,BinaryNgDeviceOperation,2,1.43,120.207,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,273410.0,
1073,0.20902880532357246,,BinaryNgDeviceOperation,1,1.425,45.372,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,274433.0,
1076,0.27562750796208485,,LayerNormDeviceOperation,2,6.336,55.371,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,275458.0,
1082,0.28784843689695877,SLOW,MatmulDeviceOperation 128 x 128 x 768,0,3.547,60.896,32.0,92.38229489709613,18.043416972089087,7.094960248096983,8.019296432039596,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,4,1,3,276480.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=4 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
