Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
37.36,MatmulDeviceOperation (in0:dram_interleaved),1669.24,98,Compute,8.02,26.60,17.53,5.59,17.62
15.21,SDPAOperation (in0:dram_interleaved),679.40,24,Compute,,,,,
14.09,ReduceScatterMinimalAsyncDeviceOperation (in0:dram_interleaved),629.37,24,Other,,,,,
9.76,AllGatherAsyncDeviceOperation (in0:dram_interleaved),436.19,24,Other,,,,,
9.49,LayerNormDeviceOperation (in0:block_sharded),423.83,48,Compute,,,,,
4.51,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),201.58,24,TM,,,,,
3.76,BinaryNgDeviceOperation (in0:dram_interleaved),167.78,76,Compute,,,,,
2.05,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),91.81,24,TM,,,,,
1.18,InterleavedToShardedDeviceOperation (in0:dram_interleaved),52.77,48,DM,,,,,
1.13,ShardedToInterleavedDeviceOperation (in0:block_sharded),50.46,48,DM,,,,,
0.60,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),26.93,4,TM,,,,,
0.39,EmbeddingsDeviceOperation (in0:dram_interleaved),17.40,6,Compute,,,,,
0.28,LayerNormDeviceOperation (in0:dram_interleaved),12.67,2,Compute,,,,,
0.19,UntilizeDeviceOperation (in0:dram_interleaved),8.29,2,TM,,,,,
