ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
355,0.06817752480549284,,CloneOperation,3,1.44,,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,228355.0
356,2.012846728875502,,LayerNormDeviceOperation,3,41.331,1.183,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,229379.0
357,3.4865228657475646,DRAM,MatmulDeviceOperation 32 x 2880 x 5120,3,73.113,0.527,80.0,410.3675133013281,80.14990494166564,12.907668950802181,5.83571549063322,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,230403.0
358,0.20988261629357624,,BinaryNgDeviceOperation,3,3.867,0.566,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,231427.0
359,2.1660094321711747,,NLPCreateQKVHeadsDecodeDeviceOperation,3,44.733,1.016,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,232451.0
360,0.19833031347931215,,RotaryEmbeddingLlamaDeviceOperation,3,2.706,1.483,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,233475.0
361,0.15751848960269074,,RotaryEmbeddingLlamaDeviceOperation,3,1.836,1.491,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,234499.0
362,0.46038767445042533,,PagedUpdateCacheDeviceOperation,3,8.216,1.508,1,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,235523.0
363,0.4497822817029042,,PagedUpdateCacheDeviceOperation,3,8.062,1.438,1,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,236547.0
364,1.1546147898830235,,SdpaDecodeDeviceOperation,3,21.629,2.758,64,,,,,"BF16, BFP8 => BF16",BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_L1_HEIGHT_SHARDED,,,,237571.0
