ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
101,0.0032402891826438353,,CloneOperation,3,4.467,,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,101379.0
102,0.08636273774506599,,LayerNormDeviceOperation,3,41.463,77.595,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,102403.0
103,0.09581013562166175,DRAM,MatmulDeviceOperation 128 x 2880 x 5120,3,79.595,52.487,80.0,396.2459953514668,77.39179596708335,47.42601419687166,21.441882865339114,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,4,2,103427.0
104,0.04849335402688733,,NlpCreateHeadsDeviceOperation,3,66.146,0.706,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,104451.0
105,0.04619678909466203,,RotaryEmbeddingLlamaDeviceOperation,3,63.116,0.57,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,105475.0
106,0.009767292107521659,,RotaryEmbeddingLlamaDeviceOperation,3,12.937,0.528,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,106499.0
107,0.0018315939525801847,,TypecastDeviceOperation,3,1.966,0.559,64,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,107523.0
108,0.0017561540432461892,,TypecastDeviceOperation,3,1.865,0.556,64,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,108547.0
109,0.004553959142296395,,PagedFillCacheDeviceOperation,3,5.731,0.547,32,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,109571.0
110,0.004532923013732109,,PagedFillCacheDeviceOperation,3,5.712,0.537,32,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,110595.0
