Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
40.93,SparseMatmulDeviceOperation (in0:dram_interleaved),629.02,1,Compute,,,,,
19.36,SparseMatmulDeviceOperation (in0:l1_interleaved),297.53,1,Compute,,,,,
11.32,TypecastDeviceOperation (in0:l1_interleaved),173.97,6,TM,,,,,
10.14,TransposeDeviceOperation (in0:l1_interleaved),155.81,4,TM,,,,,
7.13,UnaryDeviceOperation (in0:l1_interleaved),109.62,6,Compute,,,,,
5.02,MatmulDeviceOperation (in0:dram_interleaved),77.10,1,Compute,2.77,2.77,2.77,,2.77
2.35,BinaryNgDeviceOperation (in0:l1_interleaved),36.09,8,Compute,,,,,
1.45,TopKDeviceOperation (in0:l1_interleaved),22.25,1,Other,,,,,
0.43,SoftmaxDeviceOperation (in0:l1_interleaved),6.58,1,Compute,,,,,
0.40,SliceDeviceOperation (in0:l1_interleaved),6.12,4,TM,,,,,
0.37,TilizeWithValPaddingDeviceOperation (in0:l1_interleaved),5.66,1,TM,,,,,
0.37,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),5.62,4,TM,,,,,
0.31,FillPadDeviceOperation (in0:l1_interleaved),4.79,1,TM,,,,,
0.20,ReduceDeviceOperation (in0:l1_interleaved),3.08,1,Compute,,,,,
0.14,ScatterDeviceOperation (in0:l1_interleaved),2.15,1,Other,,,,,
0.09,CloneOperation (in0:dram_interleaved),1.35,1,DM,,,,,
