Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
55.94,SparseMatmulDeviceOperation (in0:dram_interleaved),1115.96,2,Compute,11.46,11.48,11.47,0.01,11.47
21.70,SparseMatmulDeviceOperation (in0:l1_interleaved),432.89,2,Compute,5.89,5.94,5.91,0.03,5.91
7.67,MatmulDeviceOperation (in0:dram_interleaved),153.01,2,Compute,2.79,2.79,2.79,0.00,2.79
2.54,FillPadDeviceOperation (in0:l1_interleaved),50.67,10,TM,,,,,
2.22,TopKDeviceOperation (in0:l1_interleaved),44.31,2,Other,,,,,
2.11,BinaryNgDeviceOperation (in0:l1_interleaved),42.17,16,Compute,,,,,
1.77,TypecastDeviceOperation (in0:l1_interleaved),35.33,18,TM,,,,,
1.75,ReshapeViewDeviceOperation (in0:l1_interleaved),34.82,8,TM,,,,,
1.25,UnaryDeviceOperation (in0:l1_interleaved),24.99,10,Compute,,,,,
1.10,TilizeWithValPaddingDeviceOperation (in0:l1_interleaved),21.88,6,TM,,,,,
0.66,SoftmaxDeviceOperation (in0:l1_interleaved),13.17,2,Compute,,,,,
0.43,SliceDeviceOperation (in0:l1_interleaved),8.55,8,TM,,,,,
0.32,EmbeddingsDeviceOperation (in0:l1_interleaved),6.34,4,Compute,,,,,
0.21,ReduceDeviceOperation (in0:l1_interleaved),4.24,2,Compute,,,,,
0.19,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),3.79,4,TM,,,,,
0.14,CloneOperation (in0:dram_interleaved),2.73,2,DM,,,,,
