ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
990,0.06329333020219248,,CloneOperation,3,1.353,,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,364547.0
991,3.6159531002504597,SLOW,MatmulDeviceOperation 32 x 2880 x 128,3,76.136,1.161,4.0,12.104654828202163,2.364190396133235,0.3098791636019754,2.8020034324542045,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,365571.0
992,0.08691722654521332,,BinaryNgDeviceOperation,3,1.397,0.461,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,366595.0
993,0.25078754117808866,,FillPadDeviceOperation,3,4.716,0.645,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,367619.0
994,1.1043352890488973,,TopKDeviceOperation,3,22.17,1.437,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,368643.0
995,0.0906596259658899,,SliceDeviceOperation,3,0.485,1.453,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,369667.0
996,0.09112742589347446,,SliceDeviceOperation,3,0.483,1.465,1,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_0_L1_INTERLEAVED,,,,370691.0
997,0.37676606167661364,,SoftmaxDeviceOperation,3,6.601,1.453,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,371715.0
998,0.11161706272167868,,UntilizeWithUnpaddingDeviceOperation,3,0.951,1.435,1,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_0_L1_INTERLEAVED,,,,372739.0
999,0.09753628490138308,,TypecastDeviceOperation,3,0.623,1.462,1,,,,,UINT16 => UINT32,UINT32,UINT16,nan,False,DEV_0_L1_INTERLEAVED,,,,373763.0
1000,0.1922189902445003,,UnaryDeviceOperation,3,3.579,0.53,110,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_L1_INTERLEAVED,,,,374787.0
1001,26.294004769688055,SLOW,SparseMatmulDeviceOperation active=4/128 x 32 x 2880 x 5760,3,561.466,0.612,12.0,237.67722355405314,46.421332725401,7.563650871112408,11.398731178735666,LoFi BF16 x BF16 => BFP8,BFLOAT8_B,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,30,1,1,375811.0
1002,0.1940434099620801,,TypecastDeviceOperation,3,3.669,0.479,110,,,,,BFP8 => BF16,BFLOAT16,BFLOAT8_B,nan,False,DEV_0_L1_INTERLEAVED,,,,376835.0
1003,0.30856083223478314,,ReshapeViewDeviceOperation,3,6.145,0.451,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,377859.0
1004,0.27071581809319134,,FillPadDeviceOperation,3,5.304,0.483,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,378883.0
1005,0.11849372165717187,,TypecastDeviceOperation,3,2.054,0.479,110,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,379907.0
1006,0.12200222111405615,,EmbeddingsDeviceOperation,3,2.026,0.582,4,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,380931.0
1007,0.24933736140257645,,TilizeWithValPaddingDeviceOperation,3,4.862,0.468,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,381955.0
1008,0.14412915768880638,,BinaryNgDeviceOperation,3,2.633,0.448,110,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,382979.0
1009,0.1034305639889487,,SliceDeviceOperation,3,1.707,0.504,90,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_L1_INTERLEAVED,,,,384003.0
1010,0.09954782458999674,,SliceDeviceOperation,3,1.618,0.51,90,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_L1_INTERLEAVED,,,,385027.0
1011,0.12237646105612383,,UnaryDeviceOperation,3,2.117,0.499,110,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_L1_INTERLEAVED,,,,386051.0
1012,0.12410732078818675,,UnaryDeviceOperation,3,2.153,0.5,110,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_L1_INTERLEAVED,,,,387075.0
1013,0.1601279152121987,,BinaryNgDeviceOperation,3,2.91,0.513,110,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_L1_INTERLEAVED,,,,388099.0
1014,0.15114615660257494,,UnaryDeviceOperation,3,2.718,0.513,110,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_L1_INTERLEAVED,,,,389123.0
1015,0.15208175645774408,,BinaryNgDeviceOperation,3,1.402,1.849,110,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_L1_INTERLEAVED,,,,390147.0
