Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
55.70,SparseMatmulDeviceOperation (in0:dram_interleaved),1122.41,2,Compute,11.40,11.41,11.40,0.01,11.40
21.41,SparseMatmulDeviceOperation (in0:l1_interleaved),431.41,2,Compute,5.93,5.93,5.93,0.00,5.93
7.56,MatmulDeviceOperation (in0:dram_interleaved),152.38,2,Compute,2.80,2.80,2.80,0.00,2.80
2.59,FillPadDeviceOperation (in0:l1_interleaved),52.29,10,TM,,,,,
2.30,ReshapeViewDeviceOperation (in0:l1_interleaved),46.30,10,TM,,,,,
2.20,TopKDeviceOperation (in0:l1_interleaved),44.28,2,Other,,,,,
2.08,BinaryNgDeviceOperation (in0:l1_interleaved),41.86,16,Compute,,,,,
1.86,TypecastDeviceOperation (in0:l1_interleaved),37.39,18,TM,,,,,
1.25,UnaryDeviceOperation (in0:l1_interleaved),25.14,10,Compute,,,,,
1.07,TilizeWithValPaddingDeviceOperation (in0:l1_interleaved),21.65,6,TM,,,,,
0.66,SoftmaxDeviceOperation (in0:l1_interleaved),13.23,2,Compute,,,,,
0.43,SliceDeviceOperation (in0:l1_interleaved),8.57,8,TM,,,,,
0.35,EmbeddingsDeviceOperation (in0:l1_interleaved),7.07,4,Compute,,,,,
0.23,FastReduceNCDeviceOperation (in0:l1_interleaved),4.66,2,Compute,,,,,
0.19,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),3.81,4,TM,,,,,
0.14,CloneOperation (in0:dram_interleaved),2.74,2,DM,,,,,
