layer,layer_kind,batch1_fixed_route_pcc,batch2_fixed_route_pcc,independent_seed_batch1_pcc,independent_seed_batch2_pcc,final_decode_path
0,sliding_attention,0.9987860513849927,0.9986650172668255,,,full_local
1,full_attention,0.9997585820108925,0.9997418043126229,,,full_local
2,sliding_attention,0.9995552530677437,0.9995419935045923,,,full_local
3,full_attention,0.9995396490031540,0.9994775331385597,,,full_local
4,sliding_attention,0.9996547619952755,0.9996176021678918,,,full_local
5,full_attention,0.9985926372783659,0.9986728597741967,,,full_local
6,sliding_attention,0.9987769483232395,0.9989694668189859,,,full_local
7,full_attention,0.9991180749601453,0.9991299217798033,,,full_local
8,sliding_attention,0.9984055242000682,0.9984924366939397,,,full_local
9,full_attention,0.9992412367981160,0.9994808720926353,,,full_local
10,sliding_attention,0.9981891299364084,0.9985353957355885,,,full_local
11,full_attention,0.9981436343486604,0.9979980905914050,,,full_local
12,sliding_attention,0.9981013525575590,0.9981047841922819,,,full_local
13,full_attention,0.9985129085565904,0.9983528438576682,,,full_local
14,sliding_attention,0.9946009331774970,0.9941996832352180,,,indexed
15,full_attention,0.9918299677106510,0.9918154898954340,,,indexed
16,sliding_attention,0.9889430876623643,0.9888800218091089,,,indexed
17,full_attention,0.9937623597026917,0.9937293491904731,,,indexed
18,sliding_attention,0.9935680962880933,0.9934373312916759,,,indexed
19,full_attention,0.9916674106253080,0.9916040097631781,,,indexed
20,sliding_attention,0.9907742494027105,0.9907958866800297,,,indexed
21,full_attention,0.9953605695956705,0.9959536139574250,0.9963849780206335,0.9958941389257621,full_local
22,sliding_attention,0.9921221836124757,0.9933420482327425,,,indexed
23,full_attention,0.9963897045281667,0.9964583573838932,,,full_local
24,sliding_attention,0.9967478287051876,0.9967708652911252,,,full_local
25,full_attention,0.9966850774761294,0.9964286304268044,,,full_local
26,sliding_attention,0.9956272821157491,0.9970322328972098,0.9956932646802051,0.9965688054618425,full_local
27,full_attention,0.9985723411375108,0.9985917516678694,,,full_local
28,sliding_attention,0.9961390284488196,0.9951788284560413,0.9945157649748322,,indexed
29,full_attention,0.9986347978025761,0.9985508003014744,,,full_local
30,sliding_attention,0.9946478293828142,0.9949760778206432,,,indexed
31,full_attention,0.9966318754909480,0.9966728006311855,,,full_local
32,sliding_attention,0.9950043707076108,0.9945300026427656,,,indexed
33,full_attention,0.9955234577420101,0.9955717109845651,0.9955679421842956,0.9955467668916024,full_local
34,sliding_attention,0.9984660382725111,0.9985386320393658,,,full_local
35,full_attention,0.9982401831451645,0.9978186125107309,,,full_local
