ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
87,0.3561553034987312,,CloneOperation,3,1.44,,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,25603.0
88,19.19602886836599,SLOW,MatmulDeviceOperation 32 x 2880 x 128,3,76.537,1.076,4.0,12.041234958255483,2.351803702784274,0.3082556149313404,2.7873229070035843,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,26627.0
89,0.43258029570783396,,BinaryNgDeviceOperation,3,1.296,0.453,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,27651.0
90,1.3264311754608997,,FillPadDeviceOperation,3,4.727,0.636,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,28675.0
91,5.843172948026059,,TopKDeviceOperation,3,22.128,1.497,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,29699.0
92,0.4738844177108118,,SliceDeviceOperation,3,0.478,1.438,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,30723.0
93,0.476357718429553,,SliceDeviceOperation,3,0.462,1.464,1,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_0_L1_INTERLEAVED,,,,31747.0
94,1.9912544086585313,,SoftmaxDeviceOperation,3,6.613,1.438,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,32771.0
95,0.6502307589570586,,UntilizeWithUnpaddingDeviceOperation,3,2.098,0.531,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,33795.0
96,0.5940868326416336,,CopyDeviceOperation,3,0.92,1.482,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,34819.0
97,0.5844409598385429,,UntilizeWithUnpaddingDeviceOperation,3,0.908,1.455,1,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_0_L1_INTERLEAVED,,,,35843.0
98,0.509499948060685,,CopyDeviceOperation,3,0.586,1.474,1,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_0_L1_INTERLEAVED,,,,36867.0
99,0.5982914438634936,,UntilizeWithUnpaddingDeviceOperation,3,0.979,1.44,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,37891.0
100,0.5085106277731886,,CopyDeviceOperation,3,0.582,1.474,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,38915.0
101,60.06460261477352,,MoEComputeDeviceOperation,3,241.265,1.587,19,,,,,"BF16, UINT16 => UINT32",UINT32,BFLOAT16,UINT16,False,DEV_0_L1_INTERLEAVED,,,,39939.0
102,0.6660598835570022,,ReshapeViewDeviceOperation,3,2.153,0.54,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,40963.0
103,2.018460716564684,,BinaryNgDeviceOperation,3,7.626,0.535,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,41987.0
104,2.186645165439085,,TilizeWithValPaddingDeviceOperation,3,8.306,0.535,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,43011.0
105,0.9977295099401956,,FastReduceNCDeviceOperation,3,3.522,0.512,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,44035.0
106,0.5255764027325026,,SliceDeviceOperation,3,1.666,0.459,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,45059.0
