Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
62.78,MoEComputeDeviceOperation (in0:l1_interleaved),241.26,1,Other,,,,,
19.92,MatmulDeviceOperation (in0:dram_interleaved),76.54,1,Compute,2.79,2.79,2.79,,2.79
5.76,TopKDeviceOperation (in0:l1_interleaved),22.13,1,Other,,,,,
2.16,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),8.31,1,TM,,,,,
1.98,BinaryNgDeviceOperation (in0:dram_interleaved),7.63,1,Compute,,,,,
1.72,SoftmaxDeviceOperation (in0:l1_interleaved),6.61,1,Compute,,,,,
1.23,FillPadDeviceOperation (in0:l1_interleaved),4.73,1,TM,,,,,
0.92,FastReduceNCDeviceOperation (in0:dram_interleaved),3.52,1,Compute,,,,,
0.56,ReshapeViewDeviceOperation (in0:l1_interleaved),2.15,1,TM,,,,,
0.55,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),2.10,1,TM,,,,,
0.49,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),1.89,2,TM,,,,,
0.43,SliceDeviceOperation (in0:dram_interleaved),1.67,1,TM,,,,,
0.37,CloneOperation (in0:dram_interleaved),1.44,1,DM,,,,,
0.34,BinaryNgDeviceOperation (in0:l1_interleaved),1.30,1,Compute,,,,,
0.30,CopyDeviceOperation (in0:l1_interleaved),1.17,2,DM,,,,,
0.24,SliceDeviceOperation (in0:l1_interleaved),0.94,2,TM,,,,,
0.24,CopyDeviceOperation (in0:dram_interleaved),0.92,1,DM,,,,,
