Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
41.19,SparseMatmulDeviceOperation (in0:dram_interleaved),630.51,1,Compute,,,,,
19.42,SparseMatmulDeviceOperation (in0:l1_interleaved),297.33,1,Compute,,,,,
10.92,TypecastDeviceOperation (in0:l1_interleaved),167.15,6,TM,,,,,
10.14,TransposeDeviceOperation (in0:l1_interleaved),155.25,4,TM,,,,,
7.17,UnaryDeviceOperation (in0:l1_interleaved),109.70,6,Compute,,,,,
5.01,MatmulDeviceOperation (in0:dram_interleaved),76.67,1,Compute,2.78,2.78,2.78,,2.78
2.39,BinaryNgDeviceOperation (in0:l1_interleaved),36.54,8,Compute,,,,,
1.45,TopKDeviceOperation (in0:l1_interleaved),22.20,1,Other,,,,,
0.43,SoftmaxDeviceOperation (in0:l1_interleaved),6.61,1,Compute,,,,,
0.40,SliceDeviceOperation (in0:l1_interleaved),6.19,4,TM,,,,,
0.37,TilizeWithValPaddingDeviceOperation (in0:l1_interleaved),5.67,1,TM,,,,,
0.36,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),5.52,4,TM,,,,,
0.31,FillPadDeviceOperation (in0:l1_interleaved),4.76,1,TM,,,,,
0.20,ReduceDeviceOperation (in0:l1_interleaved),3.11,1,Compute,,,,,
0.14,ScatterDeviceOperation (in0:l1_interleaved),2.18,1,Other,,,,,
0.09,CloneOperation (in0:dram_interleaved),1.35,1,DM,,,,,
