ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
1807,0.02993628861691304,SLOW,MatmulDeviceOperation 192 x 2880 x 128,3,61.585,,24.0,30.727482341479256,6.001461394820167,2.298575302427539,3.464046981137182,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,1,1743875.0
1808,0.02605772002270423,,TopKDeviceOperation,3,22.854,30.752,6,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1744899.0
1809,0.008196568947931927,,SliceDeviceOperation,3,0.911,15.951,6,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1745923.0
1810,0.01646702465188838,,SliceDeviceOperation,3,0.916,32.96,6,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1746947.0
1811,0.02658513535353724,,SoftmaxDeviceOperation,3,6.695,47.996,6,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1747971.0
1812,0.028734170540277073,,UnaryDeviceOperation,3,1.191,57.921,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1748995.0
1813,0.016576396494687853,,UntilizeCodegenDeviceOperation,3,2.33,31.771,24,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1750019.0
1814,0.0209235626731575,,UntilizeWithUnpaddingDeviceOperation,3,9.59,33.454,6,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1751043.0
1815,0.015435040552940482,,UntilizeWithUnpaddingDeviceOperation,3,9.521,22.232,6,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1752067.0
1816,0.014738949535656739,,ScatterDeviceOperation,3,5.684,24.637,110,,,,,"BF16, UINT16 => BF16",BFLOAT16,BFLOAT16,UINT16,False,DEV_0_DRAM_INTERLEAVED,,,,1753091.0
1817,0.014197437389529577,,TilizeDeviceOperation,3,2.205,27.002,6,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1754115.0
1818,0.04775077437209091,,RepeatCodegenDeviceOperation,3,0.787,97.446,6,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1755139.0
1819,0.2160662628872113,,UnaryDeviceOperation,3,363.844,80.648,110,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,1756163.0
1820,35.728415792508564,SLOW,SparseMatmulDeviceOperation active=768/768 x 32 x 2880 x 2880,3,73499.987,0.59,12.0,176.22499769965947,34.41894486321474,5.546754025956494,8.35918515196472,LoFi BF16 x BF16 => BFP8,BFLOAT8_B,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,30,1,1,1757187.0
1821,0.20468673026527523,,PermuteDeviceOperation,3,420.587,0.495,110,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1758211.0
1822,0.04767445713067083,,TransposeDeviceOperation,3,97.476,0.6,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1759235.0
1823,1.8198332313696102,,BinaryNgDeviceOperation,3,3743.176,0.589,110,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1760259.0
1824,0.17884143466614155,,UnaryDeviceOperation,3,367.411,0.502,110,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,1761283.0
1825,0.1782279801523063,,BinaryNgDeviceOperation,3,366.099,0.552,110,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1762307.0
1826,0.2878803009664232,,UnaryDeviceOperation,3,591.664,0.564,110,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1763331.0
1827,0.26877474136913254,,BinaryNgDeviceOperation,3,552.344,0.58,110,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,1764355.0
1828,0.1770812771426887,,UnaryDeviceOperation,3,363.702,0.59,110,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,1765379.0
1829,35.725600804323456,SLOW,SparseMatmulDeviceOperation active=768/768 x 32 x 2880 x 2880,3,73494.141,0.645,12.0,176.23901529783168,34.42168267535775,5.5471952356038825,8.359850072946632,LoFi BF16 x BF16 => BFP8,BFLOAT8_B,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,30,1,1,1766403.0
1830,0.20352252776080978,,PermuteDeviceOperation,3,418.208,0.479,110,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1767427.0
1831,0.04850957191257969,,TransposeDeviceOperation,3,99.29,0.504,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1768451.0
1832,1.8194521312595888,,BinaryNgDeviceOperation,3,3742.391,0.59,110,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1769475.0
