Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
91.54,SparseMatmulDeviceOperation (in0:dram_interleaved),187851.32,3,Compute,6.02,8.36,7.58,1.35,7.85
6.55,BinaryNgDeviceOperation (in0:dram_interleaved),13444.84,9,Compute,,,,,
1.18,UnaryDeviceOperation (in0:dram_interleaved),2416.24,7,Compute,,,,,
0.41,PermuteDeviceOperation (in0:dram_interleaved),838.80,2,TM,,,,,
0.14,TransposeDeviceOperation (in0:dram_interleaved),297.23,4,TM,,,,,
0.10,FastReduceNCDeviceOperation (in0:dram_interleaved),201.26,1,Compute,,,,,
0.03,MatmulDeviceOperation (in0:dram_interleaved),61.59,1,Compute,3.46,3.46,3.46,,3.46
0.01,ReshapeViewDeviceOperation (in0:dram_interleaved),24.45,1,TM,,,,,
0.01,TopKDeviceOperation (in0:dram_interleaved),22.85,1,Other,,,,,
0.01,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),19.11,2,TM,,,,,
0.00,SoftmaxDeviceOperation (in0:dram_interleaved),6.70,1,Compute,,,,,
0.00,ScatterDeviceOperation (in0:dram_interleaved),5.68,1,Other,,,,,
0.00,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),5.59,1,TM,,,,,
0.00,UntilizeCodegenDeviceOperation (in0:dram_interleaved),2.33,1,Other,,,,,
0.00,TilizeDeviceOperation (in0:dram_interleaved),2.21,1,TM,,,,,
0.00,SliceDeviceOperation (in0:dram_interleaved),1.83,2,TM,,,,,
0.00,RepeatCodegenDeviceOperation (in0:dram_interleaved),0.79,1,Other,,,,,
