Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
87.15,UnifiedRoutedExpertFfnDeviceOperation (in0:dram_interleaved),28431.58,1,Other,,,,,
8.28,SortDeviceOperation (in0:dram_interleaved),2700.96,1,Other,,,,,
1.50,EmbeddingsDeviceOperation (in0:dram_interleaved),487.74,2,Compute,,,,,
0.46,UntilizeCodegenDeviceOperation (in0:dram_interleaved),148.83,2,Other,,,,,
0.43,AccumulationDeviceOperation (in0:dram_interleaved),138.97,2,Compute,,,,,
0.40,TypecastDeviceOperation (in0:dram_interleaved),131.23,6,TM,,,,,
0.32,ScatterDeviceOperation (in0:dram_interleaved),105.22,2,Other,,,,,
0.30,PostCombineReduceDeviceOperation (in0:dram_interleaved),98.11,1,Other,,,,,
0.25,ReshapeViewDeviceOperation (in0:dram_interleaved),80.08,2,TM,,,,,
0.19,MatmulDeviceOperation (in0:dram_interleaved),61.61,1,Compute,3.46,3.46,3.46,,3.46
0.15,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),48.43,6,TM,,,,,
0.13,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),40.86,2,TM,,,,,
0.10,MaskedBincountDeviceOperation (in0:dram_interleaved),34.07,1,Other,,,,,
0.09,PermuteDeviceOperation (in0:dram_interleaved),29.56,4,TM,,,,,
0.07,TopKDeviceOperation (in0:dram_interleaved),22.81,1,Other,,,,,
0.06,BinaryNgDeviceOperation (in0:dram_interleaved),19.87,6,Compute,,,,,
0.04,GatherDeviceOperation (in0:dram_interleaved),12.13,1,Other,,,,,
0.03,FillPadDeviceOperation (in0:dram_interleaved),9.56,2,TM,,,,,
0.02,PadDeviceOperation (in0:dram_interleaved),6.90,1,TM,,,,,
0.02,SoftmaxDeviceOperation (in0:dram_interleaved),6.74,1,Compute,,,,,
0.02,SliceDeviceOperation (in0:dram_interleaved),5.33,4,TM,,,,,
0.01,UnaryDeviceOperation (in0:dram_interleaved),2.66,2,Compute,,,,,
