ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
468,0.011385941818251746,,CloneOperation,3,4.121,,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,477187.0
469,0.4520475852243685,,LayerNormDeviceOperation,3,41.482,122.131,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,478211.0
470,0.39874557368403546,DRAM,MatmulDeviceOperation 128 x 2880 x 5120,3,79.316,65.005,80.0,397.63982046497546,77.66402743456553,47.59283877149629,21.51730630221729,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,4,2,479235.0
471,0.18498770892968391,,NlpCreateHeadsDeviceOperation,3,66.233,0.721,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,480259.0
472,0.17720736140233687,,RotaryEmbeddingLlamaDeviceOperation,3,63.684,0.454,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,481283.0
473,0.037628037278032156,,RotaryEmbeddingLlamaDeviceOperation,3,13.101,0.518,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,482307.0
474,0.006785700826407737,,TypecastDeviceOperation,3,1.887,0.569,64,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,483331.0
475,0.006727679768852949,,TypecastDeviceOperation,3,1.876,0.559,64,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,484355.0
476,0.016265236467859264,,PagedFillCacheDeviceOperation,3,5.333,0.554,32,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,485379.0
477,0.016480743253062764,,PagedFillCacheDeviceOperation,3,5.425,0.54,32,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,486403.0
478,0.08627178676896644,,SDPAOperation,3,30.674,0.551,64,,,,,"BF16, BFP8 => BF16",BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,487427.0
