Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
90.87,UnifiedRoutedExpertFfnDeviceOperation (in0:dram_interleaved),32311.73,1,Other,,,,,
3.78,SortDeviceOperation (in0:l1_interleaved),1343.24,1,Other,,,,,
1.33,EmbeddingsDeviceOperation (in0:dram_interleaved),472.81,2,Compute,,,,,
0.72,MatmulDeviceOperation (in0:dram_interleaved),254.98,3,Compute,2.73,21.52,12.23,9.39,12.29
0.39,UntilizeCodegenDeviceOperation (in0:dram_interleaved),140.28,2,Other,,,,,
0.39,AccumulationDeviceOperation (in0:dram_interleaved),138.99,2,Compute,,,,,
0.37,TypecastDeviceOperation (in0:dram_interleaved),132.84,7,TM,,,,,
0.27,PostCombineReduceDeviceOperation (in0:dram_interleaved),95.36,1,Other,,,,,
0.23,LayerNormDeviceOperation (in0:dram_interleaved),82.84,2,Compute,,,,,
0.23,ScatterDeviceOperation (in0:dram_interleaved),81.30,2,Other,,,,,
0.22,RotaryEmbeddingLlamaDeviceOperation (in0:dram_interleaved),76.78,2,Compute,,,,,
0.19,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),66.23,1,TM,,,,,
0.15,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),54.29,1,TM,,,,,
0.11,ReshapeViewDeviceOperation (in0:l1_interleaved),39.60,2,TM,,,,,
0.10,BinaryNgDeviceOperation (in0:dram_interleaved),36.59,8,Compute,,,,,
0.09,MaskedBincountDeviceOperation (in0:l1_interleaved),33.62,1,Other,,,,,
0.09,SDPAOperation (in0:dram_interleaved),30.67,1,Compute,,,,,
0.08,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),30.22,4,TM,,,,,
0.08,PermuteDeviceOperation (in0:dram_interleaved),29.60,4,TM,,,,,
0.06,TopKDeviceOperation (in0:l1_interleaved),22.52,1,Other,,,,,
0.06,TilizeWithValPaddingDeviceOperation (in0:l1_interleaved),20.74,1,TM,,,,,
0.03,PagedFillCacheDeviceOperation (in0:dram_interleaved),10.76,2,Other,,,,,
0.03,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),10.28,1,TM,,,,,
0.02,GatherDeviceOperation (in0:dram_interleaved),8.36,1,Other,,,,,
0.02,SoftmaxDeviceOperation (in0:l1_interleaved),6.72,1,Compute,,,,,
0.02,BinaryNgDeviceOperation (in0:l1_interleaved),6.36,2,Compute,,,,,
0.02,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),5.83,2,TM,,,,,
0.01,FillPadDeviceOperation (in0:l1_interleaved),4.66,1,TM,,,,,
0.01,CloneOperation (in0:dram_interleaved),4.12,1,DM,,,,,
0.01,UnaryDeviceOperation (in0:dram_interleaved),2.60,2,Compute,,,,,
0.01,TypecastDeviceOperation (in0:l1_interleaved),1.86,2,TM,,,,,
0.00,SliceDeviceOperation (in0:l1_interleaved),1.67,2,TM,,,,,
