Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_PREFILL'.
Using operations until 'PERF_PREFILL_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID   Total %  Bound  OP Code                                  Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
468    0.0 %         CloneOperation                                 3         4 μs                  110                                                       BF16 => BF16
469    0.4 %         LayerNormDeviceOperation                       3        41 μs        103 μs      4                                                 BF16, BF16 => BF16
470    0.4 %   DRAM  MatmulDeviceOperation 128 x 2880 x 5120        3        79 μs         55 μs     80  398 GB/s  77.7 %  47.6 TFLOPs   21.5 %  HiFi2 BF16 x BF16 => BF16
471    0.2 %         NlpCreateHeadsDeviceOperation                  3        67 μs          1 μs      4                                                       BF16 => BF16
472    0.2 %         RotaryEmbeddingLlamaDeviceOperation            3        63 μs          0 μs    110                                                 BF16, BF16 => BF16
473    0.0 %         RotaryEmbeddingLlamaDeviceOperation            3        13 μs          1 μs    110                                                 BF16, BF16 => BF16
474    0.0 %         TypecastDeviceOperation                        3         2 μs          1 μs     64                                                       BF16 => BFP8
475    0.0 %         TypecastDeviceOperation                        3         2 μs          1 μs     64                                                       BF16 => BFP8
476    0.0 %         PagedFillCacheDeviceOperation                  3         5 μs          1 μs     32                                                 BFP8, BFP8 => BFP8
477    0.0 %         PagedFillCacheDeviceOperation                  3         5 μs          1 μs     32                                                 BFP8, BFP8 => BFP8
478    0.1 %         SDPAOperation                                  3        43 μs          1 μs     64                                                 BF16, BFP8 => BF16
479    0.1 %         NLPConcatHeadsDeviceOperation                  3        55 μs          1 μs      4                                                       BF16 => BF16
480    0.0 %         TypecastDeviceOperation                        3         5 μs          0 μs    110                                                       BF16 => BFP8
481    0.3 %   SLOW  MatmulDeviceOperation 128 x 4096 x 2880        3        97 μs          1 μs     90  255 GB/s  49.8 %  31.0 TFLOPs   12.5 %  HiFi2 BFP8 x BF16 => BF16
482    0.0 %         BinaryNgDeviceOperation                        3         7 μs          1 μs    110                                                 BF16, BF16 => BF16
483    0.1 %         BinaryNgDeviceOperation                        3         7 μs         17 μs    110                                                 BF16, BF16 => BF16
484    0.2 %         LayerNormDeviceOperation                       3        41 μs         15 μs      4                                                 BF16, BF16 => BF16
485    0.2 %   SLOW  MatmulDeviceOperation 128 x 2880 x 128         3        78 μs         14 μs     16   19 GB/s   3.7 %   1.2 TFLOPs    2.7 %  HiFi2 BF16 x BF16 => BF16
486    0.0 %         BinaryNgDeviceOperation                        3         2 μs          0 μs    110                                                 BF16, BF16 => BF16
487    0.1 %         TopKDeviceOperation                            3        23 μs         13 μs      4                                                       BF16 => BF16
488    0.0 %         SliceDeviceOperation                           3         1 μs          9 μs      4                                                       BF16 => BF16
489    0.1 %         SliceDeviceOperation                           3         1 μs         22 μs      4                                                   UINT16 => UINT16
490    0.1 %         SoftmaxDeviceOperation                         3         7 μs         34 μs      4                                                       BF16 => BF16
491    0.2 %         MaskedBincountDeviceOperation                  3        34 μs         36 μs     64                                            UINT16, INT32 => UINT32
492    0.0 %         TilizeWithValPaddingDeviceOperation            3        10 μs          2 μs      1                                                   UINT32 => UINT32
493    0.0 %         TypecastDeviceOperation                        3         1 μs          7 μs      4                                                    UINT32 => INT32
494    0.2 %         BinaryNgDeviceOperation                        3         3 μs         57 μs    110                                                     INT32 => INT32
495    0.1 %         UnaryDeviceOperation                           3         1 μs         37 μs    110                                                     INT32 => INT32
496    0.1 %         UnaryDeviceOperation                           3         1 μs         27 μs    110                                                     INT32 => INT32
497    0.1 %         PermuteDeviceOperation                         3         9 μs         32 μs    110                                                     INT32 => INT32
498    0.2 %         AccumulationDeviceOperation                    3        69 μs         14 μs      1                                                     INT32 => INT32
499    0.0 %         PermuteDeviceOperation                         3         5 μs          1 μs      4                                                     INT32 => INT32
500    0.0 %         PermuteDeviceOperation                         3        10 μs          1 μs    110                                                     INT32 => INT32
501    0.2 %         AccumulationDeviceOperation                    3        70 μs          1 μs      1                                                     INT32 => INT32
502    0.0 %         PermuteDeviceOperation                         3         5 μs          1 μs      4                                                     INT32 => INT32
503    0.0 %         BinaryNgDeviceOperation                        3         3 μs          1 μs    110                                              INT32, INT32 => INT32
504    0.0 %         BinaryNgDeviceOperation                        3         3 μs          1 μs    110                                              INT32, INT32 => INT32
505    0.0 %         BinaryNgDeviceOperation                        3         3 μs          1 μs    110                                              INT32, INT32 => INT32
506    0.0 %         UntilizeWithUnpaddingDeviceOperation           3         3 μs          1 μs      1                                                     INT32 => INT32
507    0.0 %         UntilizeWithUnpaddingDeviceOperation           3         3 μs          2 μs      1                                                     INT32 => INT32
508    0.0 %         TypecastDeviceOperation                        3         1 μs         13 μs      1                                                    INT32 => UINT32
509    0.0 %         TypecastDeviceOperation                        3         1 μs          7 μs      1                                                    INT32 => UINT32
510    0.1 %         TypecastDeviceOperation                        3         1 μs         21 μs      4                                                   UINT16 => UINT32
511    0.1 %         UntilizeWithUnpaddingDeviceOperation           3         9 μs         17 μs      4                                                   UINT32 => UINT32
512    0.1 %         ReshapeViewDeviceOperation                     3        37 μs         15 μs    110                                                   UINT32 => UINT32
513    0.0 %         TypecastDeviceOperation                        3         1 μs          1 μs      1                                                   UINT32 => UINT16
514    0.1 %         TilizeWithValPaddingDeviceOperation            3        21 μs          1 μs      1                                                   UINT16 => UINT16
515    0.0 %         FillPadDeviceOperation                         3         5 μs          1 μs     16                                                   UINT16 => UINT16
516    3.7 %         SortDeviceOperation                            3     1,343 μs         14 μs      1                                                   UINT16 => UINT16
