Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
91.00,UnifiedRoutedExpertFfnDeviceOperation (in0:dram_interleaved),33119.31,1,Other,,,,,
3.71,SortDeviceOperation (in0:l1_interleaved),1350.29,1,Other,,,,,
1.31,EmbeddingsDeviceOperation (in0:dram_interleaved),476.58,2,Compute,,,,,
0.70,MatmulDeviceOperation (in0:dram_interleaved),256.21,3,Compute,2.72,21.42,12.17,9.35,12.23
0.38,AccumulationDeviceOperation (in0:dram_interleaved),139.72,2,Compute,,,,,
0.38,UntilizeCodegenDeviceOperation (in0:dram_interleaved),139.38,2,Other,,,,,
0.37,TypecastDeviceOperation (in0:dram_interleaved),133.31,7,TM,,,,,
0.26,PostCombineReduceDeviceOperation (in0:dram_interleaved),95.92,1,Other,,,,,
0.23,LayerNormDeviceOperation (in0:dram_interleaved),83.16,2,Compute,,,,,
0.22,ScatterDeviceOperation (in0:dram_interleaved),81.80,2,Other,,,,,
0.21,RotaryEmbeddingLlamaDeviceOperation (in0:dram_interleaved),77.34,2,Compute,,,,,
0.19,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),67.38,1,TM,,,,,
0.15,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),54.59,1,TM,,,,,
0.12,SDPAOperation (in0:dram_interleaved),43.42,1,Compute,,,,,
0.11,ReshapeViewDeviceOperation (in0:l1_interleaved),39.80,2,TM,,,,,
0.10,BinaryNgDeviceOperation (in0:dram_interleaved),36.75,8,Compute,,,,,
0.09,MaskedBincountDeviceOperation (in0:l1_interleaved),33.67,1,Other,,,,,
0.08,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),30.43,4,TM,,,,,
0.08,PermuteDeviceOperation (in0:dram_interleaved),29.63,4,TM,,,,,
0.06,TopKDeviceOperation (in0:l1_interleaved),22.69,1,Other,,,,,
0.06,TilizeWithValPaddingDeviceOperation (in0:l1_interleaved),20.83,1,TM,,,,,
0.03,PagedFillCacheDeviceOperation (in0:dram_interleaved),10.90,2,Other,,,,,
0.03,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),10.33,1,TM,,,,,
0.02,GatherDeviceOperation (in0:dram_interleaved),8.41,1,Other,,,,,
0.02,SoftmaxDeviceOperation (in0:l1_interleaved),6.73,1,Compute,,,,,
0.02,BinaryNgDeviceOperation (in0:l1_interleaved),6.39,2,Compute,,,,,
0.02,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),5.79,2,TM,,,,,
0.01,FillPadDeviceOperation (in0:l1_interleaved),4.67,1,TM,,,,,
0.01,CloneOperation (in0:dram_interleaved),4.02,1,DM,,,,,
0.01,UnaryDeviceOperation (in0:dram_interleaved),2.61,2,Compute,,,,,
0.01,TypecastDeviceOperation (in0:l1_interleaved),1.85,2,TM,,,,,
0.00,SliceDeviceOperation (in0:l1_interleaved),1.67,2,TM,,,,,
