Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
92.66,UnifiedRoutedExpertFfnDeviceOperation (in0:dram_interleaved),41084.19,1,Other,,,,,
3.03,SortDeviceOperation (in0:l1_interleaved),1343.24,1,Other,,,,,
1.07,EmbeddingsDeviceOperation (in0:dram_interleaved),474.72,2,Compute,,,,,
0.58,MatmulDeviceOperation (in0:dram_interleaved),255.78,3,Compute,2.73,21.32,12.16,9.30,12.25
0.31,UntilizeCodegenDeviceOperation (in0:dram_interleaved),139.56,2,Other,,,,,
0.31,AccumulationDeviceOperation (in0:dram_interleaved),138.99,2,Compute,,,,,
0.30,TypecastDeviceOperation (in0:dram_interleaved),134.20,7,TM,,,,,
0.21,PostCombineReduceDeviceOperation (in0:dram_interleaved),95.28,1,Other,,,,,
0.19,LayerNormDeviceOperation (in0:dram_interleaved),82.73,2,Compute,,,,,
0.18,ScatterDeviceOperation (in0:dram_interleaved),81.32,2,Other,,,,,
0.17,RotaryEmbeddingLlamaDeviceOperation (in0:dram_interleaved),76.90,2,Compute,,,,,
0.15,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),66.72,1,TM,,,,,
0.12,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),54.70,1,TM,,,,,
0.09,ReshapeViewDeviceOperation (in0:l1_interleaved),39.59,2,TM,,,,,
0.08,BinaryNgDeviceOperation (in0:dram_interleaved),36.83,8,Compute,,,,,
0.08,MaskedBincountDeviceOperation (in0:l1_interleaved),33.80,1,Other,,,,,
0.07,SDPAOperation (in0:dram_interleaved),31.41,1,Compute,,,,,
0.07,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),30.32,4,TM,,,,,
0.07,PermuteDeviceOperation (in0:dram_interleaved),29.59,4,TM,,,,,
0.05,TopKDeviceOperation (in0:l1_interleaved),22.56,1,Other,,,,,
0.05,TilizeWithValPaddingDeviceOperation (in0:l1_interleaved),20.76,1,TM,,,,,
0.02,PagedFillCacheDeviceOperation (in0:dram_interleaved),10.90,2,Other,,,,,
0.02,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),10.28,1,TM,,,,,
0.02,GatherDeviceOperation (in0:dram_interleaved),8.37,1,Other,,,,,
0.02,SoftmaxDeviceOperation (in0:l1_interleaved),6.71,1,Compute,,,,,
0.01,BinaryNgDeviceOperation (in0:l1_interleaved),6.32,2,Compute,,,,,
0.01,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),5.77,2,TM,,,,,
0.01,FillPadDeviceOperation (in0:l1_interleaved),4.64,1,TM,,,,,
0.01,CloneOperation (in0:dram_interleaved),4.06,1,DM,,,,,
0.01,UnaryDeviceOperation (in0:dram_interleaved),2.60,2,Compute,,,,,
0.00,TypecastDeviceOperation (in0:l1_interleaved),1.85,2,TM,,,,,
0.00,SliceDeviceOperation (in0:l1_interleaved),1.67,2,TM,,,,,
