ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
1911,0.09939662858745066,,CloneOperation,3,1.379,,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1815555.0
1912,3.0575815697459445,,LayerNormDeviceOperation,3,41.473,0.947,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1816579.0
1913,5.326405121629327,DRAM,MatmulDeviceOperation 32 x 2880 x 5120,3,73.364,0.533,80.0,408.96352434436506,79.8756883485088,12.863507987568832,5.815749777365828,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,1817603.0
1914,0.3319948305103682,,BinaryNgDeviceOperation,3,4.047,0.559,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1818627.0
1915,3.3118034037038404,,NLPCreateQKVHeadsDecodeDeviceOperation,3,44.707,1.24,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1819651.0
1916,0.30323539990384696,,RotaryEmbeddingLlamaDeviceOperation,3,2.719,1.488,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,1820675.0
1917,0.24391456935455624,,RotaryEmbeddingLlamaDeviceOperation,3,1.89,1.494,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,1821699.0
1918,0.6992361812377512,,PagedUpdateCacheDeviceOperation,3,8.193,1.508,1,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1822723.0
1919,0.685397056735365,,PagedUpdateCacheDeviceOperation,3,8.073,1.436,1,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1823747.0
1920,1.7874094240113139,,SdpaDecodeDeviceOperation,3,22.059,2.739,64,,,,,"BF16, BFP8 => BF16",BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_L1_HEIGHT_SHARDED,,,,1824771.0
