Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
58.91,SparseMatmulDeviceOperation (in0:l1_interleaved),776.16,2,Compute,5.95,11.41,8.68,3.86,9.89
5.57,MatmulDeviceOperation (in0:dram_interleaved),73.36,1,Compute,5.82,5.82,5.82,,5.82
5.29,MatmulDeviceOperation (in0:width_sharded),69.64,1,Compute,6.13,6.13,6.13,,6.13
4.86,MatmulDeviceOperation (in0:l1_interleaved),64.06,1,Compute,3.33,3.33,3.33,,3.33
3.39,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),44.71,1,Other,,,,,
3.15,LayerNormDeviceOperation (in0:dram_interleaved),41.47,1,Compute,,,,,
3.04,LayerNormDeviceOperation (in0:l1_interleaved),40.11,1,Compute,,,,,
1.92,FillPadDeviceOperation (in0:l1_interleaved),25.26,5,TM,,,,,
1.90,BinaryNgDeviceOperation (in0:l1_interleaved),25.08,9,Compute,,,,,
1.68,TopKDeviceOperation (in0:l1_interleaved),22.18,1,Other,,,,,
1.67,SdpaDecodeDeviceOperation (in0:height_sharded),22.06,1,Compute,,,,,
1.59,TypecastDeviceOperation (in0:l1_interleaved),20.93,11,TM,,,,,
1.33,ReshapeViewDeviceOperation (in0:l1_interleaved),17.58,4,TM,,,,,
1.23,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),16.27,2,DM,,,,,
0.96,UnaryDeviceOperation (in0:l1_interleaved),12.69,5,Compute,,,,,
0.83,TilizeWithValPaddingDeviceOperation (in0:l1_interleaved),10.91,3,TM,,,,,
0.50,SoftmaxDeviceOperation (in0:l1_interleaved),6.60,1,Compute,,,,,
0.48,BinaryNgDeviceOperation (in0:dram_interleaved),6.31,2,Compute,,,,,
0.35,RotaryEmbeddingLlamaDeviceOperation (in0:height_sharded),4.61,2,Compute,,,,,
0.32,SliceDeviceOperation (in0:l1_interleaved),4.28,4,TM,,,,,
0.24,EmbeddingsDeviceOperation (in0:l1_interleaved),3.16,2,Compute,,,,,
0.20,BinaryNgDeviceOperation (in0:width_sharded),2.68,1,Compute,,,,,
0.16,ReduceDeviceOperation (in0:l1_interleaved),2.15,1,Compute,,,,,
0.15,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),1.92,2,TM,,,,,
0.10,CloneOperation (in0:dram_interleaved),1.38,1,DM,,,,,
0.10,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),1.30,1,TM,,,,,
0.05,InterleavedToShardedDeviceOperation (in0:dram_interleaved),0.64,1,DM,,,,,
