Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
92.76,UnifiedRoutedExpertFfnDeviceOperation (in0:dram_interleaved),41755.84,1,Other,,,,,
2.98,SortDeviceOperation (in0:l1_interleaved),1343.17,1,Other,,,,,
1.05,EmbeddingsDeviceOperation (in0:dram_interleaved),474.90,2,Compute,,,,,
0.57,MatmulDeviceOperation (in0:dram_interleaved),255.45,3,Compute,2.72,21.51,12.22,9.40,12.27
0.31,UntilizeCodegenDeviceOperation (in0:dram_interleaved),139.19,2,Other,,,,,
0.31,AccumulationDeviceOperation (in0:dram_interleaved),139.02,2,Compute,,,,,
0.29,TypecastDeviceOperation (in0:dram_interleaved),132.64,7,TM,,,,,
0.21,PostCombineReduceDeviceOperation (in0:dram_interleaved),95.32,1,Other,,,,,
0.18,LayerNormDeviceOperation (in0:dram_interleaved),82.78,2,Compute,,,,,
0.18,ScatterDeviceOperation (in0:dram_interleaved),81.35,2,Other,,,,,
0.17,RotaryEmbeddingLlamaDeviceOperation (in0:dram_interleaved),76.44,2,Compute,,,,,
0.15,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),66.43,1,TM,,,,,
0.12,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),54.63,1,TM,,,,,
0.10,SDPAOperation (in0:dram_interleaved),42.86,1,Compute,,,,,
0.09,ReshapeViewDeviceOperation (in0:l1_interleaved),39.59,2,TM,,,,,
0.08,BinaryNgDeviceOperation (in0:dram_interleaved),36.37,8,Compute,,,,,
0.07,MaskedBincountDeviceOperation (in0:l1_interleaved),33.61,1,Other,,,,,
0.07,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),30.21,4,TM,,,,,
0.07,PermuteDeviceOperation (in0:dram_interleaved),29.57,4,TM,,,,,
0.05,TopKDeviceOperation (in0:l1_interleaved),22.57,1,Other,,,,,
0.05,TilizeWithValPaddingDeviceOperation (in0:l1_interleaved),20.76,1,TM,,,,,
0.02,PagedFillCacheDeviceOperation (in0:dram_interleaved),10.79,2,Other,,,,,
0.02,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),10.28,1,TM,,,,,
0.02,GatherDeviceOperation (in0:dram_interleaved),8.36,1,Other,,,,,
0.01,SoftmaxDeviceOperation (in0:l1_interleaved),6.71,1,Compute,,,,,
0.01,BinaryNgDeviceOperation (in0:l1_interleaved),6.32,2,Compute,,,,,
0.01,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),5.71,2,TM,,,,,
0.01,FillPadDeviceOperation (in0:l1_interleaved),4.67,1,TM,,,,,
0.01,CloneOperation (in0:dram_interleaved),4.08,1,DM,,,,,
0.01,UnaryDeviceOperation (in0:dram_interleaved),2.61,2,Compute,,,,,
0.00,TypecastDeviceOperation (in0:l1_interleaved),1.84,2,TM,,,,,
0.00,SliceDeviceOperation (in0:l1_interleaved),1.65,2,TM,,,,,
