Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
46.00,MoEComputeDeviceOperation (in0:l1_interleaved),229.21,1,Other,,,,,
20.79,MatmulDeviceOperation (in0:width_sharded),103.59,3,Compute,12.11,60.36,31.27,25.61,42.01
9.06,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),45.14,1,Other,,,,,
4.45,TopKDeviceOperation (in0:l1_interleaved),22.17,1,Other,,,,,
3.27,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),16.28,2,DM,,,,,
2.99,SdpaDecodeDeviceOperation (in0:height_sharded),14.91,1,Compute,,,,,
2.35,LayerNormDeviceOperation (in0:width_sharded),11.69,2,Compute,,,,,
1.63,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),8.13,1,TM,,,,,
1.33,SoftmaxDeviceOperation (in0:l1_interleaved),6.62,1,Compute,,,,,
1.10,DeepseekMoEFastReduceNCFusedDeviceOperation (in0:l1_interleaved),5.46,1,Other,,,,,
0.92,RotaryEmbeddingLlamaDeviceOperation (in0:height_sharded),4.59,2,Compute,,,,,
0.89,BinaryNgDeviceOperation (in0:l1_interleaved),4.44,2,Compute,,,,,
0.84,FillPadDeviceOperation (in0:l1_interleaved),4.18,1,TM,,,,,
0.58,TypecastDeviceOperation (in0:l1_interleaved),2.88,2,TM,,,,,
0.49,BinaryNgDeviceOperation (in0:width_sharded),2.45,1,Compute,,,,,
0.45,BinaryNgDeviceOperation (in0:dram_interleaved),2.25,1,Compute,,,,,
0.43,UntilizeWithUnpaddingDeviceOperation (in0:width_sharded),2.16,1,TM,,,,,
0.43,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),2.13,2,TM,,,,,
0.37,InterleavedToShardedDeviceOperation (in0:dram_interleaved),1.84,2,DM,,,,,
0.31,CopyDeviceOperation (in0:dram_interleaved),1.52,2,DM,,,,,
0.30,InterleavedToShardedDeviceOperation (in0:l1_interleaved),1.49,1,DM,,,,,
0.29,CloneOperation (in0:dram_interleaved),1.46,1,DM,,,,,
0.28,ReshardDeviceOperation (in0:width_sharded),1.42,1,DM,,,,,
0.26,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),1.32,1,TM,,,,,
0.19,SliceDeviceOperation (in0:l1_interleaved),0.94,2,TM,,,,,
