Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
89.68,UnifiedRoutedExpertFfnDeviceOperation (in0:dram_interleaved),28284.08,1,Other,,,,,
4.26,SortDeviceOperation (in0:l1_interleaved),1343.24,1,Other,,,,,
1.50,EmbeddingsDeviceOperation (in0:dram_interleaved),474.50,2,Compute,,,,,
0.77,MatmulDeviceOperation (in0:dram_interleaved),241.58,3,Compute,3.17,22.18,10.53,10.21,10.46
0.44,UntilizeCodegenDeviceOperation (in0:dram_interleaved),140.29,2,Other,,,,,
0.44,AccumulationDeviceOperation (in0:dram_interleaved),138.98,2,Compute,,,,,
0.42,TypecastDeviceOperation (in0:dram_interleaved),133.84,7,TM,,,,,
0.30,PostCombineReduceDeviceOperation (in0:dram_interleaved),95.27,1,Other,,,,,
0.26,LayerNormDeviceOperation (in0:dram_interleaved),82.71,2,Compute,,,,,
0.26,ScatterDeviceOperation (in0:dram_interleaved),81.25,2,Other,,,,,
0.24,RotaryEmbeddingLlamaDeviceOperation (in0:dram_interleaved),76.13,2,Compute,,,,,
0.21,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),66.83,1,TM,,,,,
0.17,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),54.39,1,TM,,,,,
0.13,ReshapeViewDeviceOperation (in0:l1_interleaved),39.63,2,TM,,,,,
0.12,BinaryNgDeviceOperation (in0:dram_interleaved),36.83,8,Compute,,,,,
0.11,MaskedBincountDeviceOperation (in0:l1_interleaved),33.44,1,Other,,,,,
0.10,SDPAOperation (in0:dram_interleaved),31.15,1,Compute,,,,,
0.10,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),30.29,4,TM,,,,,
0.09,PermuteDeviceOperation (in0:dram_interleaved),29.62,4,TM,,,,,
0.07,TopKDeviceOperation (in0:l1_interleaved),22.52,1,Other,,,,,
0.07,TilizeWithValPaddingDeviceOperation (in0:l1_interleaved),20.76,1,TM,,,,,
0.04,FillPadDeviceOperation (in0:dram_interleaved),12.36,3,TM,,,,,
0.03,PagedFillCacheDeviceOperation (in0:dram_interleaved),10.77,2,Other,,,,,
0.03,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),10.27,1,TM,,,,,
0.03,GatherDeviceOperation (in0:dram_interleaved),8.39,1,Other,,,,,
0.02,SoftmaxDeviceOperation (in0:l1_interleaved),6.67,1,Compute,,,,,
0.02,BinaryNgDeviceOperation (in0:l1_interleaved),6.16,2,Compute,,,,,
0.02,CloneOperation (in0:dram_interleaved),5.90,3,DM,,,,,
0.02,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),5.74,2,TM,,,,,
0.01,FillPadDeviceOperation (in0:l1_interleaved),4.64,1,TM,,,,,
0.01,SliceDeviceOperation (in0:dram_interleaved),4.51,1,TM,,,,,
0.01,UnaryDeviceOperation (in0:dram_interleaved),2.60,2,Compute,,,,,
0.01,TypecastDeviceOperation (in0:l1_interleaved),1.87,2,TM,,,,,
0.01,SliceDeviceOperation (in0:l1_interleaved),1.67,2,TM,,,,,
