Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
46.15,MoEComputeDeviceOperation (in0:l1_interleaved),231.22,1,Other,,,,,
20.80,MatmulDeviceOperation (in0:width_sharded),104.18,3,Compute,12.09,60.21,31.13,25.58,41.77
8.97,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),44.96,1,Other,,,,,
4.43,TopKDeviceOperation (in0:l1_interleaved),22.17,1,Other,,,,,
3.27,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),16.38,2,DM,,,,,
2.97,SdpaDecodeDeviceOperation (in0:height_sharded),14.88,1,Compute,,,,,
2.34,LayerNormDeviceOperation (in0:width_sharded),11.72,2,Compute,,,,,
1.62,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),8.14,1,TM,,,,,
1.32,SoftmaxDeviceOperation (in0:l1_interleaved),6.61,1,Compute,,,,,
1.11,DeepseekMoEFastReduceNCFusedDeviceOperation (in0:l1_interleaved),5.58,1,Other,,,,,
0.91,RotaryEmbeddingLlamaDeviceOperation (in0:height_sharded),4.56,2,Compute,,,,,
0.89,BinaryNgDeviceOperation (in0:l1_interleaved),4.45,2,Compute,,,,,
0.83,FillPadDeviceOperation (in0:l1_interleaved),4.18,1,TM,,,,,
0.57,TypecastDeviceOperation (in0:l1_interleaved),2.85,2,TM,,,,,
0.50,BinaryNgDeviceOperation (in0:width_sharded),2.48,1,Compute,,,,,
0.44,BinaryNgDeviceOperation (in0:dram_interleaved),2.23,1,Compute,,,,,
0.43,UntilizeWithUnpaddingDeviceOperation (in0:width_sharded),2.18,1,TM,,,,,
0.43,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),2.14,2,TM,,,,,
0.37,InterleavedToShardedDeviceOperation (in0:dram_interleaved),1.83,2,DM,,,,,
0.31,InterleavedToShardedDeviceOperation (in0:l1_interleaved),1.54,1,DM,,,,,
0.30,CopyDeviceOperation (in0:dram_interleaved),1.52,2,DM,,,,,
0.30,ReshardDeviceOperation (in0:width_sharded),1.50,1,DM,,,,,
0.28,CloneOperation (in0:dram_interleaved),1.42,1,DM,,,,,
0.26,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),1.31,1,TM,,,,,
0.19,SliceDeviceOperation (in0:l1_interleaved),0.96,2,TM,,,,,
