Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
90.92,UnifiedRoutedExpertFfnDeviceOperation (in0:dram_interleaved),32672.11,1,Other,,,,,
3.74,SortDeviceOperation (in0:l1_interleaved),1343.18,1,Other,,,,,
1.32,EmbeddingsDeviceOperation (in0:dram_interleaved),474.84,2,Compute,,,,,
0.67,MatmulDeviceOperation (in0:dram_interleaved),241.47,3,Compute,3.19,22.14,10.52,10.18,10.46
0.39,UntilizeCodegenDeviceOperation (in0:dram_interleaved),139.54,2,Other,,,,,
0.39,AccumulationDeviceOperation (in0:dram_interleaved),139.02,2,Compute,,,,,
0.37,TypecastDeviceOperation (in0:dram_interleaved),131.66,7,TM,,,,,
0.27,PostCombineReduceDeviceOperation (in0:dram_interleaved),95.33,1,Other,,,,,
0.23,LayerNormDeviceOperation (in0:dram_interleaved),82.79,2,Compute,,,,,
0.23,ScatterDeviceOperation (in0:dram_interleaved),81.36,2,Other,,,,,
0.21,RotaryEmbeddingLlamaDeviceOperation (in0:dram_interleaved),75.98,2,Compute,,,,,
0.18,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),66.27,1,TM,,,,,
0.15,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),54.51,1,TM,,,,,
0.12,SDPAOperation (in0:dram_interleaved),42.85,1,Compute,,,,,
0.11,ReshapeViewDeviceOperation (in0:l1_interleaved),39.65,2,TM,,,,,
0.10,BinaryNgDeviceOperation (in0:dram_interleaved),37.57,8,Compute,,,,,
0.09,MaskedBincountDeviceOperation (in0:l1_interleaved),33.66,1,Other,,,,,
0.08,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),30.33,4,TM,,,,,
0.08,PermuteDeviceOperation (in0:dram_interleaved),29.70,4,TM,,,,,
0.06,TopKDeviceOperation (in0:l1_interleaved),22.47,1,Other,,,,,
0.06,TilizeWithValPaddingDeviceOperation (in0:l1_interleaved),20.75,1,TM,,,,,
0.03,FillPadDeviceOperation (in0:dram_interleaved),12.46,3,TM,,,,,
0.03,PagedFillCacheDeviceOperation (in0:dram_interleaved),10.80,2,Other,,,,,
0.03,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),10.30,1,TM,,,,,
0.02,GatherDeviceOperation (in0:dram_interleaved),8.40,1,Other,,,,,
0.02,SoftmaxDeviceOperation (in0:l1_interleaved),6.72,1,Compute,,,,,
0.02,BinaryNgDeviceOperation (in0:l1_interleaved),6.18,2,Compute,,,,,
0.02,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),5.79,2,TM,,,,,
0.02,CloneOperation (in0:dram_interleaved),5.70,3,DM,,,,,
0.01,SliceDeviceOperation (in0:dram_interleaved),4.74,1,TM,,,,,
0.01,FillPadDeviceOperation (in0:l1_interleaved),4.63,1,TM,,,,,
0.01,UnaryDeviceOperation (in0:dram_interleaved),2.60,2,Compute,,,,,
0.01,TypecastDeviceOperation (in0:l1_interleaved),1.83,2,TM,,,,,
0.00,SliceDeviceOperation (in0:l1_interleaved),1.66,2,TM,,,,,
