Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
36.42,SparseMatmulDeviceOperation (in0:l1_interleaved),253.13,2,Compute,10.25,16.78,13.51,4.62,15.17
8.33,MatmulDeviceOperation (in0:dram_interleaved),57.89,1,Compute,3.69,3.69,3.69,,3.69
7.70,MatmulDeviceOperation (in0:l1_interleaved),53.50,1,Compute,3.99,3.99,3.99,,3.99
5.99,LayerNormDeviceOperation (in0:dram_interleaved),41.66,1,Compute,,,,,
5.80,LayerNormDeviceOperation (in0:l1_interleaved),40.30,1,Compute,,,,,
4.02,MatmulDeviceOperation (in0:width_sharded),27.91,1,Compute,15.29,15.29,15.29,,15.29
3.47,FillPadDeviceOperation (in0:l1_interleaved),24.15,5,TM,,,,,
3.46,ReduceScatterDeviceOperation (in0:l1_interleaved),24.04,2,DM,,,,,
3.34,BinaryNgDeviceOperation (in0:l1_interleaved),23.21,9,Compute,,,,,
3.18,TopKDeviceOperation (in0:l1_interleaved),22.11,1,Other,,,,,
2.78,TypecastDeviceOperation (in0:l1_interleaved),19.29,11,TM,,,,,
2.42,AllGatherDeviceOperation (in0:l1_interleaved),16.85,2,DM,,,,,
1.82,ReshapeViewDeviceOperation (in0:l1_interleaved),12.64,4,TM,,,,,
1.68,SdpaDecodeDeviceOperation (in0:height_sharded),11.65,1,Compute,,,,,
1.64,UnaryDeviceOperation (in0:l1_interleaved),11.37,5,Compute,,,,,
1.46,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),10.17,2,DM,,,,,
1.42,TilizeWithValPaddingDeviceOperation (in0:l1_interleaved),9.88,3,TM,,,,,
0.95,SoftmaxDeviceOperation (in0:l1_interleaved),6.61,1,Compute,,,,,
0.74,BinaryNgDeviceOperation (in0:width_sharded),5.12,2,Compute,,,,,
0.60,SliceDeviceOperation (in0:l1_interleaved),4.20,4,TM,,,,,
0.53,RotaryEmbeddingLlamaDeviceOperation (in0:height_sharded),3.70,2,Compute,,,,,
0.50,EmbeddingsDeviceOperation (in0:l1_interleaved),3.46,2,Compute,,,,,
0.40,NLPCreateQKVHeadsDecodeDeviceOperation (in0:width_sharded),2.79,1,Other,,,,,
0.31,ReduceDeviceOperation (in0:l1_interleaved),2.17,1,Compute,,,,,
0.31,BinaryNgDeviceOperation (in0:dram_interleaved),2.12,1,Compute,,,,,
0.28,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),1.96,2,TM,,,,,
0.20,CloneOperation (in0:dram_interleaved),1.40,1,DM,,,,,
0.18,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),1.22,1,TM,,,,,
0.07,InterleavedToShardedDeviceOperation (in0:dram_interleaved),0.50,1,DM,,,,,
