ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
168,0.008600544598252473,,CloneOperation,2,4.151,,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,84994.0,
169,0.2138388356772925,,FillPadDeviceOperation,3,4.572,98.636,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,86019.0,
171,0.07648911224613023,,CloneOperation,3,0.872,36.045,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,87043.0,
173,0.06938863854383891,,FillPadDeviceOperation,3,3.931,29.559,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,88067.0,
175,0.04476592787035484,,CloneOperation,3,0.881,20.725,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,89091.0,
177,0.03640779804396349,,FillPadDeviceOperation,3,3.944,13.628,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,90115.0,
179,0.2768728921245666,,LayerNormDeviceOperation,3,41.407,92.224,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,91139.0,
182,0.28773597459352296,SLOW,MatmulDeviceOperation 128 x 2880 x 2560,2,71.979,66.895,80.0,121.7777407299351,23.78471498631545,26.222048097361725,11.855309650499912,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,2,4,1,92162.0,If possible place input 0 in L1 (currently in DEV_1_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 4x1 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
183,0.07146470351311114,,NlpCreateHeadsDeviceOperation,3,33.841,0.651,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,93187.0,
186,0.10818743356838137,,RotaryEmbeddingLlamaDeviceOperation,2,34.864,17.352,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,94210.0,
188,0.020942978751899783,,RotaryEmbeddingLlamaDeviceOperation,2,9.584,0.524,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,95234.0,
190,0.053981833043331706,,TypecastDeviceOperation,2,1.179,24.875,32,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,96258.0,
192,0.038141996027277705,,TypecastDeviceOperation,2,1.143,17.266,32,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,97282.0,
194,0.07791666590264575,,PagedFillCacheDeviceOperation,2,3.087,34.519,16,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,,,,98306.0,
196,0.03730493989196236,,PagedFillCacheDeviceOperation,2,3.123,14.882,16,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,,,,99330.0,
197,0.19075349048005594,,SDPAOperation,3,27.953,64.113,64,,,,,"BF16, BFP8 => BF16",BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,,,,100355.0,
199,0.06869040112403378,,NLPConcatHeadsDeviceOperation,3,27.682,5.471,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,101379.0,
202,0.14281545136423626,,TypecastDeviceOperation,2,3.236,65.693,110,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,102402.0,
203,0.1999590360473977,SLOW,MatmulDeviceOperation 128 x 2048 x 2880,3,51.406,45.103,90.0,134.18013461463642,26.207057541921174,29.373019491888105,5.902178878096086,LoFi BFP8 x BFP8 => BF16,BFLOAT16,BFLOAT8_B,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,2,4,1,103427.0,If possible place input 0 in L1 (currently in DEV_1_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 4x1 look good 🤷 • HiFi2 is recommended for accuracy; LoFi discards the lowest 2 bits of the weights
206,0.1005979864801138,,BinaryNgDeviceOperation,2,6.816,41.737,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,104450.0,
207,0.22777043333536273,,ReduceScatterMinimalAsyncDeviceOperation,2,27.573,82.359,5,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,105474.0,
209,0.12457943756478572,,AllGatherAsyncDeviceOperation,2,26.5485,33.579,9,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,106498.0,
212,0.12334768045477343,,BinaryNgDeviceOperation,2,7.336,52.197,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,107522.0,
213,0.14920111227770627,,LayerNormDeviceOperation,3,41.556,30.455,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,108547.0,
215,0.18844537034455766,SLOW,MatmulDeviceOperation 128 x 2880 x 128,3,67.184,23.768,16.0,10.974041438437723,2.143367468444868,1.4046773041200287,3.175359212510915,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,109571.0,"If possible place input 0 in L1 (currently in DEV_1_DRAM_INTERLEAVED) • No program_config specified, try using one to override in0_block_w and out_subblock_h/w"
218,0.004015383144161237,,BinaryNgDeviceOperation,2,1.454,0.484,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_L1_INTERLEAVED,,,,110594.0,
220,0.119197622437356,,TopKDeviceOperation,2,22.506,35.024,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,111618.0,
222,0.02433056979457451,,SliceDeviceOperation,2,0.821,10.922,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,112642.0,
223,0.057290691083179746,,SliceDeviceOperation,3,0.816,26.835,4,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_1_L1_INTERLEAVED,,,,113667.0,
225,0.10682410946680342,,SoftmaxDeviceOperation,3,6.747,44.811,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,114691.0,
228,0.11867964215560146,,UnaryDeviceOperation,2,1.037,56.243,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,115714.0,
230,0.08273802636521706,,UntilizeCodegenDeviceOperation,2,2.322,37.611,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,116738.0,
231,0.08525748245567116,,UntilizeWithUnpaddingDeviceOperation,3,9.019,32.13,4,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_1_L1_INTERLEAVED,,,,117763.0,
234,0.05515868424347803,,UntilizeWithUnpaddingDeviceOperation,2,9.019,17.603,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,118786.0,
235,0.05219376511071502,,ScatterDeviceOperation,3,5.026,20.165,110,,,,,"BF16, UINT16 => BF16",BFLOAT16,BFLOAT16,UINT16,False,DEV_1_L1_INTERLEAVED,,,,119811.0,
237,0.05231393653608207,,TilizeDeviceOperation,3,2.1,23.149,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,120835.0,
240,0.19483517510028175,,RepeatCodegenDeviceOperation,2,0.778,93.258,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,121858.0,
242,0.6832077039497373,,UnaryDeviceOperation,2,243.28,86.466,110,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,,,,122882.0,
244,60.89911162341433,SLOW,SparseMatmulDeviceOperation active=512/512 x 32 x 2880 x 2880,2,29392.05,0.532,12.0,77.05907413739429,15.050600417459822,9.247088896487314,13.935741127277613,LoFi BF16 x BFP4 => BFP8,BFLOAT8_B,BFLOAT16,BFLOAT4_B,False,DEV_1_DRAM_INTERLEAVED,30,1,1,123906.0,"If possible place input 0 in L1 (currently in DEV_1_DRAM_INTERLEAVED) • Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy"
