ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
1960,0.0016411072108515061,,BinaryNgDeviceOperation,3,2.288,,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,248835.0,
1963,0.002404279445268466,,RotaryEmbeddingLlamaDeviceOperation,3,1.854,1.498,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,251907.0,
1964,0.003677428614526081,,PagedUpdateCacheDeviceOperation,3,3.619,1.508,1,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,252931.0,
1967,0.001434534275219848,,InterleavedToShardedDeviceOperation,3,0.494,1.506,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,256003.0,
1970,0.0022801922304619485,,BinaryNgDeviceOperation,3,2.641,0.538,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,259075.0,
1976,0.025942117833075734,,AllBroadcastDeviceOperation,3,35.462,0.706,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,265219.0,
1983,0.029223614987641127,,LayerNormDeviceOperation,3,40.099,0.644,1,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,272387.0,
1990,0.0013893464455504228,,SliceDeviceOperation,3,0.481,1.456,1,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_0_L1_INTERLEAVED,,,,279555.0,
1994,0.0018268793994924762,,UnaryDeviceOperation,3,2.021,0.526,110,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_L1_INTERLEAVED,,,,283651.0,
2001,0.0031452163984195163,,TilizeWithValPaddingDeviceOperation,3,3.862,0.523,45,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,290819.0,
2004,0.0023655470198375296,,UntilizeWithUnpaddingDeviceOperation,3,2.776,0.522,45,,,,,BFP8 => BF16,BFLOAT16,BFLOAT8_B,nan,False,DEV_0_L1_INTERLEAVED,,,,293891.0,
2010,0.0021819266326093887,,UnaryDeviceOperation,3,2.487,0.555,110,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_L1_INTERLEAVED,,,,300035.0,
2014,0.0020248451294728152,,ReshapeViewDeviceOperation,3,2.233,0.59,92,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,304131.0,
2015,0.0036408479905079743,,UnaryDeviceOperation,3,1.978,3.098,110,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_L1_INTERLEAVED,,,,305155.0,
2016,0.01786855893213843,SLOW,SparseMatmulDeviceOperation active=4/128 x 32 x 736 x 2880,3,22.09,2.822,30.0,191.91308284291534,37.483023992756905,24.564874603893163,14.808108244052109,LoFi BF16 x BFP4 => BFP8,BFLOAT8_B,BFLOAT16,BFLOAT4_B,False,DEV_0_L1_INTERLEAVED,23,1,3,306179.0,in0_block_w=23 and output subblock 1x3 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
2021,0.0018534182835840437,,EmbeddingsDeviceOperation,3,1.955,0.629,4,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,311299.0,
2022,0.020607802130670726,,TilizeWithValPaddingDeviceOperation,3,3.653,25.078,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,312323.0,
2027,0.007497593389436535,,BinaryNgDeviceOperation,3,7.342,3.111,110,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,317443.0,
2032,0.003756327999663172,,TypecastDeviceOperation,3,1.168,4.069,90,,,,,BFP8 => BF16,BFLOAT16,BFLOAT8_B,nan,False,DEV_0_L1_INTERLEAVED,,,,322563.0,
2033,0.02492216396339442,,AllBroadcastDeviceOperation,3,33.738,1.008,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,323587.0,
2038,0.00169561951330986,,TypecastDeviceOperation,3,1.859,0.505,90,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,328707.0,
2039,0.0019437939429228941,,BinaryNgDeviceOperation,3,2.205,0.505,110,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_L1_INTERLEAVED,,,,329731.0,
