Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
18.79,SparseMatmulDeviceOperation (in0:l1_interleaved),116.05,2,Compute,14.81,17.03,15.92,1.57,16.61
11.21,AllBroadcastDeviceOperation (in0:l1_interleaved),69.20,2,Other,,,,,
8.65,MatmulDeviceOperation (in0:l1_interleaved),53.44,1,Compute,3.99,3.99,3.99,,3.99
7.17,MatmulDeviceOperation (in0:dram_interleaved),44.25,1,Compute,4.82,4.82,4.82,,4.82
6.73,LayerNormDeviceOperation (in0:dram_interleaved),41.56,1,Compute,,,,,
6.49,LayerNormDeviceOperation (in0:l1_interleaved),40.10,1,Compute,,,,,
5.87,TilizeWithValPaddingDeviceOperation (in0:l1_interleaved),36.22,4,TM,,,,,
4.09,BinaryNgDeviceOperation (in0:l1_interleaved),25.28,9,Compute,,,,,
3.70,TypecastDeviceOperation (in0:l1_interleaved),22.84,13,TM,,,,,
3.59,TopKDeviceOperation (in0:l1_interleaved),22.20,1,Other,,,,,
3.18,FillPadDeviceOperation (in0:l1_interleaved),19.65,4,TM,,,,,
2.78,TypecastDeviceOperation (in0:dram_interleaved),17.17,4,TM,,,,,
2.37,MatmulDeviceOperation (in0:width_sharded),14.61,1,Compute,29.85,29.85,29.85,,29.85
1.80,ReshapeViewDeviceOperation (in0:l1_interleaved),11.13,4,TM,,,,,
1.70,SdpaDecodeDeviceOperation (in0:height_sharded),10.50,1,Compute,,,,,
1.66,UnaryDeviceOperation (in0:l1_interleaved),10.26,5,Compute,,,,,
1.19,ConcatDeviceOperation (in0:l1_interleaved),7.35,2,TM,,,,,
1.14,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),7.05,2,DM,,,,,
1.13,MorehSumOperation (in0:dram_interleaved),6.99,2,Other,,,,,
1.08,SoftmaxDeviceOperation (in0:l1_interleaved),6.67,1,Compute,,,,,
0.96,SliceDeviceOperation (in0:l1_interleaved),5.91,5,TM,,,,,
0.80,BinaryNgDeviceOperation (in0:width_sharded),4.93,2,Compute,,,,,
0.77,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),4.74,3,TM,,,,,
0.61,EmbeddingsDeviceOperation (in0:l1_interleaved),3.79,2,Compute,,,,,
0.61,RotaryEmbeddingLlamaDeviceOperation (in0:height_sharded),3.75,2,Compute,,,,,
0.42,BinaryNgDeviceOperation (in0:dram_interleaved),2.58,1,Compute,,,,,
0.26,CopyDeviceOperation (in0:dram_interleaved),1.63,1,DM,,,,,
0.25,NLPCreateQKVHeadsDecodeDeviceOperation (in0:width_sharded),1.55,1,Other,,,,,
0.25,CopyDeviceOperation (in0:l1_interleaved),1.54,1,DM,,,,,
0.24,CloneOperation (in0:dram_interleaved),1.45,1,DM,,,,,
0.22,ReduceDeviceOperation (in0:l1_interleaved),1.34,1,Compute,,,,,
0.20,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),1.22,1,TM,,,,,
0.08,InterleavedToShardedDeviceOperation (in0:dram_interleaved),0.49,1,DM,,,,,
