ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
1957,0.1980153931572671,,CloneOperation,3,1.423,,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,245763.0,
1960,0.4059106829513338,,BinaryNgDeviceOperation,3,2.267,0.65,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,248835.0,
1962,0.46811228572104463,,RotaryEmbeddingLlamaDeviceOperation,3,1.901,1.463,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,250883.0,
1964,0.7181710780637073,,PagedUpdateCacheDeviceOperation,3,3.645,1.516,1,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,252931.0,
1972,0.30446780058193984,,SliceDeviceOperation,3,1.618,0.57,90,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_L1_INTERLEAVED,,,,261123.0,
1973,0.30265880542308915,,CopyDeviceOperation,3,1.63,0.545,90,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_L1_INTERLEAVED,,,,262147.0,
1974,0.3171307666938944,,CopyDeviceOperation,3,1.724,0.555,90,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_DRAM_INTERLEAVED,,,,263171.0,
1975,0.3263148959619053,,TypecastDeviceOperation,3,1.781,0.564,90,,,,,BFP8 => BF16,BFLOAT16,BFLOAT8_B,nan,False,DEV_0_L1_INTERLEAVED,,,,264195.0,
1976,4.917127148703577,,AllBroadcastDeviceOperation,3,34.683,0.653,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,265219.0,
1989,0.274688957197783,,SliceDeviceOperation,3,0.512,1.462,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,278531.0,
1993,0.28888261152107275,,TypecastDeviceOperation,3,0.62,1.456,1,,,,,UINT16 => UINT32,UINT32,UINT16,nan,False,DEV_0_L1_INTERLEAVED,,,,282627.0,
2004,0.449048259816234,,UntilizeWithUnpaddingDeviceOperation,3,2.711,0.516,45,,,,,BFP8 => BF16,BFLOAT16,BFLOAT8_B,nan,False,DEV_0_L1_INTERLEAVED,,,,293891.0,
2009,0.4532228640289663,,BinaryNgDeviceOperation,3,2.713,0.544,110,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_L1_INTERLEAVED,,,,299011.0,
2013,0.3878207313628274,,BinaryNgDeviceOperation,3,2.236,0.551,110,,,,,"BF16, BFP8 => BF16",BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_L1_INTERLEAVED,,,,303107.0,
2014,0.38962972652167804,,ReshapeViewDeviceOperation,3,2.25,0.55,92,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,304131.0,
2018,0.5983599371582913,,ReshapeViewDeviceOperation,3,3.813,0.487,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,308227.0,
2020,0.33035034670087987,,TypecastDeviceOperation,3,1.886,0.488,90,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,310275.0,
2023,0.4423688930758623,,BinaryNgDeviceOperation,3,1.5,1.679,110,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,313347.0,
2026,0.49844774300023237,,TilizeWithValPaddingDeviceOperation,3,2.041,1.541,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,316419.0,
2027,1.4442739041316057,,BinaryNgDeviceOperation,3,7.353,3.026,110,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,317443.0,
2030,0.3218619848016577,,TypecastDeviceOperation,3,1.824,0.489,90,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,320515.0,
2033,4.862857293938058,,AllBroadcastDeviceOperation,3,33.895,1.051,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,323587.0,
2036,0.6355139146516084,,TypecastDeviceOperation,3,4.048,0.519,110,,,,,BFP8 => BF16,BFLOAT16,BFLOAT8_B,nan,False,DEV_0_DRAM_INTERLEAVED,,,,326659.0,
2046,0.46630329056219394,,RotaryEmbeddingLlamaDeviceOperation,2,1.86,1.491,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,251906.0,
2048,0.6851917047831224,,PagedUpdateCacheDeviceOperation,2,3.479,1.445,1,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,253954.0,
2050,0.2840122399395517,,InterleavedToShardedDeviceOperation,2,0.52,1.521,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,256002.0,
2063,0.5639890291401289,,MorehSumOperation,2,3.51,0.543,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,269314.0,
2065,0.39255194947059063,,BinaryNgDeviceOperation,2,2.321,0.5,110,,,,,"BF16, BFP8 => BFP8",BFLOAT8_B,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,271362.0,
2067,7.519018801025839,,MatmulDeviceOperation 32 x 2880 x 128,2,53.422,0.612,4.0,,,0.4416337838343753,3.9933610372755295,HiFi2 BFP8 x BF16 => BFP8,BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,273410.0,
2071,3.302668546166252,,TopKDeviceOperation,2,22.203,1.531,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,277506.0,
2077,0.3541455907134538,,UnaryDeviceOperation,2,2.027,0.518,110,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_L1_INTERLEAVED,,,,283650.0,
2078,13.133026546308187,SLOW,SparseMatmulDeviceOperation active=4/128 x 32 x 2880 x 1440,2,93.776,0.602,12.0,88.44907012455212,17.275209008701587,11.321480975942672,17.061934823408976,LoFi BFP8 x BFP4 => BFP8,BFLOAT8_B,BFLOAT8_B,BFLOAT4_B,False,DEV_0_L1_INTERLEAVED,30,1,1,284674.0,"Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible"
2081,0.7724409328292268,,FillPadDeviceOperation,2,5.021,0.53,45,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,287746.0,
2082,0.33048950017463763,,TypecastDeviceOperation,2,1.839,0.536,45,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,288770.0,
2084,0.6032303087398123,,TilizeWithValPaddingDeviceOperation,2,3.839,0.496,45,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,290818.0,
2088,0.3175482271151676,,SliceDeviceOperation,2,1.704,0.578,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,294914.0,
2089,3.7894273973708343,,TilizeWithValPaddingDeviceOperation,2,26.672,0.56,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,295938.0,
2091,0.33424664396609666,,UnaryDeviceOperation,2,1.855,0.547,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,297986.0,
