ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
1845,0.2076372779398975,,CloneOperation,3,1.414,,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,238595.0,
1848,0.4215888436813619,,BinaryNgDeviceOperation,3,2.246,0.625,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,241667.0,
1849,0.4215888436813619,,NLPCreateQKVHeadsDecodeDeviceOperation,3,1.562,1.309,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,242691.0,
1855,0.2969183705760062,,InterleavedToShardedDeviceOperation,3,0.495,1.527,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,248835.0,
1867,0.30881272666732984,,TypecastDeviceOperation,3,1.492,0.611,4,,,,,BFP8 => BF16,BFLOAT16,BFLOAT8_B,nan,False,DEV_0_L1_INTERLEAVED,,,,261123.0,
1868,0.7872301605627938,,FillPadDeviceOperation,3,4.545,0.816,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,262147.0,
1872,1.1925193310819713,,SoftmaxDeviceOperation,3,6.629,1.492,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,266243.0,
1885,0.4795921851143602,,UntilizeWithUnpaddingDeviceOperation,3,2.736,0.53,45,,,,,BFP8 => BF16,BFLOAT16,BFLOAT8_B,nan,False,DEV_0_L1_INTERLEAVED,,,,279555.0,
1893,0.49838820461669886,,BinaryNgDeviceOperation,3,2.823,0.571,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,287747.0,
1895,0.41468718027034696,,ReshapeViewDeviceOperation,3,2.184,0.64,92,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,289795.0,
1897,3.6311560176080517,SLOW,SparseMatmulDeviceOperation active=4/128 x 32 x 736 x 2880,3,21.79,2.938,30.0,194.55530059660396,37.99908214777421,24.903078476365305,15.011983070725613,LoFi BF16 x BFP4 => BFP8,BFLOAT8_B,BFLOAT16,BFLOAT4_B,False,DEV_0_L1_INTERLEAVED,23,1,3,291843.0,in0_block_w=23 and output subblock 1x3 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
1906,0.8154241898163019,,ReshapeViewDeviceOperation,3,1.232,4.321,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,301059.0,
1908,1.5430357260201155,,BinaryNgDeviceOperation,3,7.336,3.172,110,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,303107.0,
1910,0.8061730239674946,,FillPadDeviceOperation,3,5.001,0.489,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,305155.0,
1914,5.1317538558455436,,AllBroadcastDeviceOperation,3,33.953,0.994,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,309251.0,
1922,6.2941701869433,,LayerNormDeviceOperation,2,41.806,1.057,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,239618.0,
1923,6.566418781922486,SLOW,MatmulDeviceOperation 32 x 2880 x 1280,2,44.196,0.521,40.0,87.58077654086343,17.105620418137388,5.338256855824056,4.826982834042297,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,2,1,1,240642.0,"If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy"
1928,0.7406806435140334,,PagedUpdateCacheDeviceOperation,2,3.535,1.509,1,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,245762.0,
1930,1.632316818656224,,SdpaDecodeDeviceOperation,2,10.57,0.546,64,,,,,"BF16, BFP8 => BF16",BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_L1_HEIGHT_SHARDED,,,,247810.0,
1935,0.34229313640587067,,TypecastDeviceOperation,2,1.783,0.548,92,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,252930.0,
1941,7.946017244613674,,MatmulDeviceOperation 32 x 2880 x 128,2,53.499,0.613,4.0,,,0.4409981494981214,3.9876134756412887,HiFi2 BFP8 x BF16 => BFP8,BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,259074.0,
1949,0.35727121444679677,,UntilizeWithUnpaddingDeviceOperation,2,0.979,1.454,1,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_0_L1_INTERLEAVED,,,,267266.0,
1952,13.84165308054645,SLOW,SparseMatmulDeviceOperation active=4/128 x 32 x 2880 x 1440,2,93.659,0.602,12.0,88.5595618146681,17.296789416927364,11.335623912277518,17.08324880684184,LoFi BFP8 x BFP4 => BFP8,BFLOAT8_B,BFLOAT8_B,BFLOAT4_B,False,DEV_0_L1_INTERLEAVED,30,1,1,270338.0,"Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible"
1958,0.6378899118606186,,TilizeWithValPaddingDeviceOperation,2,3.844,0.5,45,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,276482.0,
1963,3.9957694271729496,,TilizeWithValPaddingDeviceOperation,2,26.642,0.569,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,281602.0,
1974,0.4832632826734106,,TypecastDeviceOperation,2,2.776,0.515,110,,,,,BFP8 => BF16,BFLOAT16,BFLOAT8_B,nan,False,DEV_0_L1_INTERLEAVED,,,,292866.0,
1975,0.6205623313819002,,ReshapeViewDeviceOperation,2,3.735,0.491,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,293890.0,
