ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
344,0.016717723660498073,,CloneOperation,2,4.413,,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,88066.0,
350,0.4758395272032273,,FillPadDeviceOperation,0,4.625,120.983,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,89088.0,
351,0.19679787592096404,,CloneOperation,3,0.896,51.053,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,90115.0,
357,0.25050067460920805,,FillPadDeviceOperation,1,3.936,62.189,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,91137.0,
360,0.2925393284638528,,CloneOperation,2,0.892,76.33,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,92162.0,
363,0.10512504681142569,,FillPadDeviceOperation,3,3.947,23.803,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,93187.0,
370,0.49628113990933376,,LayerNormDeviceOperation,0,41.456,89.548,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,94208.0,
374,0.4695623307143433,SLOW,MatmulDeviceOperation 128 x 2880 x 1280,0,59.919,64.032,40.0,79.29638345099215,15.487574892771905,15.749902368197064,14.241448177261523,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,2,4,1,95232.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 4x1 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
375,0.0891119450863123,,NlpCreateHeadsDeviceOperation,3,17.555,5.968,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,96259.0,
380,0.21774333119377026,,RotaryEmbeddingLlamaDeviceOperation,2,20.364,37.114,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,97282.0,
384,0.07994049505638576,,RotaryEmbeddingLlamaDeviceOperation,2,7.357,13.745,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,98306.0,
389,0.10863679161842359,,TypecastDeviceOperation,1,1.073,27.604,16,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,99329.0,
391,0.11468669070879643,,TypecastDeviceOperation,3,1.127,29.147,16,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,100355.0,
396,0.12649857885142798,,PagedFillCacheDeviceOperation,2,2.028,31.364,8,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,101378.0,
399,0.07046219353846911,,PagedFillCacheDeviceOperation,3,2.067,16.533,8,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,102403.0,
404,0.35009481805686143,,SDPAOperation,2,26.672,65.743,64,,,,,"BF16, BFP8 => BF16",BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,103426.0,
408,0.07801604374899102,,NLPConcatHeadsDeviceOperation,2,14.156,6.438,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,104450.0,
412,0.2820457652325861,,TypecastDeviceOperation,2,1.987,72.465,110,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,105474.0,
418,0.2934598829278231,SLOW,MatmulDeviceOperation 128 x 1024 x 2944,0,28.954,48.511,92.0,134.67541617738482,26.30379222214547,26.654415141258546,5.239473085021196,LoFi BFP8 x BFP8 => BF16,BFLOAT16,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,2,4,1,106496.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 4x1 look good 🤷 • HiFi2 is recommended for accuracy; LoFi discards the lowest 2 bits of the weights
419,0.22288025240012319,,BinaryNgDeviceOperation,3,8.021,50.813,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,107523.0,
423,0.4864827278885138,,ReduceScatterMinimalAsyncDeviceOperation,0,27.6215,100.796,6,,,,,BF16 => UINT8,UINT8,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,108544.0,
427,0.3074907619234201,,AllGatherAsyncDeviceOperation,0,27.84775,53.321,10,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,109568.0,
432,0.1540659650008602,,SliceDeviceOperation,2,4.244,36.425,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,110594.0,
438,0.30444971214583916,,BinaryNgDeviceOperation,0,7.444,72.922,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,111616.0,
440,0.2754086811960594,,LayerNormDeviceOperation,2,41.375,31.325,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,112642.0,
446,0.3365213750757682,SLOW,MatmulDeviceOperation 128 x 2880 x 128,0,67.293,21.539,16.0,10.95626588203825,2.139895680085596,1.402402032900896,3.1702158223490304,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,113664.0,"If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • No program_config specified, try using one to override in0_block_w and out_subblock_h/w"
449,0.007190174372903998,,BinaryNgDeviceOperation,1,1.416,0.482,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,114689.0,
454,0.20212799991605152,,TopKDeviceOperation,0,22.556,30.8,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,115712.0,
458,0.019979441329133662,,SliceDeviceOperation,0,0.822,4.452,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,116736.0,
460,0.09425644287261559,,SliceDeviceOperation,2,0.854,24.027,4,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_0_L1_INTERLEAVED,,,,117762.0,
464,0.18866062905426345,,SoftmaxDeviceOperation,2,6.724,43.077,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,118786.0,
467,0.18792191250910206,,UnaryDeviceOperation,3,1.029,48.577,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,119811.0,
473,0.16956764757932344,,UntilizeCodegenDeviceOperation,1,2.353,42.408,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,120833.0,
476,0.15924076910696502,,UntilizeWithUnpaddingDeviceOperation,2,9.036,32.999,4,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_0_L1_INTERLEAVED,,,,121858.0,
482,0.09356318580715646,,UntilizeWithUnpaddingDeviceOperation,0,9.037,15.661,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,122880.0,
485,0.10019648155370806,,ScatterDeviceOperation,1,5.097,21.352,110,,,,,"BF16, UINT16 => BF16",BFLOAT16,BFLOAT16,UINT16,False,DEV_0_L1_INTERLEAVED,,,,123905.0,
489,0.09569220477321126,,TilizeDeviceOperation,1,2.109,23.151,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,124929.0,
493,0.3451927708289701,,RepeatCodegenDeviceOperation,1,0.781,90.34,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,125953.0,
496,0.7820129112877763,,UnaryDeviceOperation,2,122.808,83.621,110,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,126978.0,
500,57.423418439603736,SLOW,SparseMatmulDeviceOperation active=512/512 x 32 x 2880 x 1440,2,15157.593,0.544,12.0,77.82554921483906,15.200302581023253,8.965503269549458,13.511380072020668,LoFi BF16 x BFP4 => BFP8,BFLOAT8_B,BFLOAT16,BFLOAT4_B,False,DEV_0_DRAM_INTERLEAVED,30,1,1,128002.0,"If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy"
505,0.5400472539926635,,PermuteDeviceOperation,1,142.071,0.486,110,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_DRAM_INTERLEAVED,,,,129025.0,
508,0.1817848827492999,,TransposeDeviceOperation,2,47.495,0.491,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,130050.0,
511,4.745606005076044,,BinaryNgDeviceOperation,3,1252.112,0.592,110,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,131075.0,
516,0.2522205582579427,,SliceDeviceOperation,2,66.115,0.464,110,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_DRAM_INTERLEAVED,,,,132098.0,
520,0.7113385735106967,,UntilizeCodegenDeviceOperation,2,187.227,0.546,110,,,,,BFP8 => BF16,BFLOAT16,BFLOAT8_B,nan,False,DEV_0_DRAM_INTERLEAVED,,,,133122.0,
525,1.7184971346037576,,SliceDeviceOperation,1,453.047,0.587,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,134145.0,
529,0.43231207538833427,,TilizeWithValPaddingDeviceOperation,1,113.564,0.554,103,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,135169.0,
531,0.2525880223855358,,UnaryDeviceOperation,3,66.137,0.539,110,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,136195.0,
535,0.4841320939589106,,UnaryDeviceOperation,3,127.215,0.582,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,137219.0,
540,0.25483069005084624,,BinaryNgDeviceOperation,2,66.67,0.598,110,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_DRAM_INTERLEAVED,,,,138242.0,
544,0.3904401062925978,,UnaryDeviceOperation,2,102.466,0.599,110,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_DRAM_INTERLEAVED,,,,139266.0,
548,0.37903356517731124,,BinaryNgDeviceOperation,2,99.508,0.546,110,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,140290.0,
551,0.4672893567292314,,BinaryNgDeviceOperation,3,122.801,0.55,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,141315.0,
558,0.5285876768177242,,BinaryNgDeviceOperation,0,138.968,0.564,110,,,,,"BF16, BFP8 => BF16",BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,142336.0,
559,0.02349876271608193,,TilizeWithValPaddingDeviceOperation,3,5.597,0.606,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,143363.0,
564,0.013304474392855026,,BinaryNgDeviceOperation,2,2.996,0.516,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,144386.0,
570,0.00858047679379745,,TransposeDeviceOperation,0,1.647,0.618,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,145408.0,
574,0.06475324054586304,,ReshapeViewDeviceOperation,0,16.574,0.519,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,146432.0,
577,0.9298963870491321,,UnaryDeviceOperation,1,244.96,0.506,110,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,147457.0,
579,9.875852244492673,SLOW,SparseMatmulDeviceOperation active=128/128 x 128 x 736 x 2880,3,2606.335,0.607,30.0,79.40755428599931,15.50928794648424,26.649557420669254,16.064789147297727,LoFi BF16 x BFP4 => BFP8,BFLOAT8_B,BFLOAT16,BFLOAT4_B,False,DEV_0_DRAM_INTERLEAVED,23,1,3,148483.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=23 and output subblock 1x3 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
586,0.37751824918723664,,TransposeDeviceOperation,0,99.135,0.519,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,149504.0,
589,9.452404767646275,,BinaryNgDeviceOperation,1,2494.58,0.584,110,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,150529.0,
594,0.9707985539112208,,BinaryNgDeviceOperation,0,255.756,0.507,110,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,151552.0,
597,0.6200483616886523,,FastReduceNCDeviceOperation,1,163.103,0.572,110,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_DRAM_INTERLEAVED,,,,152577.0,
599,0.15300334966282042,,ReduceScatterMinimalDirectDeviceOperation,0,39.7575,0.631,1,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_DRAM_INTERLEAVED,,,,153600.0,
603,0.06031999420240102,,AllGatherDeviceOperation,0,15.31675,0.606,2,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_DRAM_INTERLEAVED,,,,154624.0,
607,0.024919371456776872,,BinaryNgDeviceOperation,3,6.026,0.552,110,,,,,"BF16, BFP8 => BFP8",BFLOAT8_B,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,155651.0,
614,0.016013101725113384,,SliceDeviceOperation,0,3.747,0.48,110,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_DRAM_INTERLEAVED,,,,156672.0,
