ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
783,0.01757632206465042,,CloneOperation,3,1.397,,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,622595.0
784,0.02652175154780464,,InterleavedToShardedDeviceOperation,3,1.046,1.062,10,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,623619.0
785,0.11145929647153763,,LayerNormDeviceOperation,3,5.49,3.369,10,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,624643.0
786,0.028295739673155903,,ReshardDeviceOperation,3,1.725,0.524,15,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,625667.0
787,0.4181579385402443,SLOW,MatmulDeviceOperation 32 x 2880 x 5120,3,31.136,2.1,12,236.7934224049332,46.24871531346352,30.30955806783145,45.67774351947014,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,True,DEV_0_L1_WIDTH_SHARDED,6,,,626691.0
788,0.024659693089989138,,ShardedToInterleavedDeviceOperation,3,1.398,0.562,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,627715.0
789,0.05816416385460193,,BinaryNgDeviceOperation,3,4.064,0.559,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,628739.0
790,0.5824342715381975,,NLPCreateQKVHeadsDecodeDeviceOperation,3,44.949,1.344,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,629763.0
791,0.05272896619395125,,RotaryEmbeddingLlamaDeviceOperation,3,3.055,1.136,2,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,630787.0
792,0.04282734452975664,,RotaryEmbeddingLlamaDeviceOperation,3,2.22,1.184,2,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,631811.0
793,0.12195224751084933,,PagedUpdateCacheDeviceOperation,3,8.498,1.195,2,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,632835.0
794,0.12092056647341103,,PagedUpdateCacheDeviceOperation,3,8.561,1.05,2,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,633859.0
795,0.3239226828035001,,SdpaDecodeDeviceOperation,3,22.964,2.782,64,,,,,"BF16, BFP8 => BF16",BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_L1_HEIGHT_SHARDED,,,,634883.0
796,0.02557814084283057,,InterleavedToShardedDeviceOperation,3,1.429,0.604,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,635907.0
797,0.02686145140159531,,NLPConcatHeadsDecodeDeviceOperation,3,1.6,0.535,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,636931.0
798,0.024949067039514522,,ReshardDeviceOperation,3,1.339,0.644,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,637955.0
