Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
87.74,UnifiedRoutedExpertFfnDeviceOperation (in0:dram_interleaved),36010.61,1,Other,,,,,
6.82,SortDeviceOperation (in0:dram_interleaved),2797.93,1,Other,,,,,
1.22,EmbeddingsDeviceOperation (in0:dram_interleaved),501.33,2,Compute,,,,,
0.71,MatmulDeviceOperation (in0:dram_interleaved),289.54,3,Compute,3.11,32.39,15.33,15.23,16.72
0.39,UntilizeCodegenDeviceOperation (in0:dram_interleaved),158.53,2,Other,,,,,
0.37,TypecastDeviceOperation (in0:dram_interleaved),153.09,9,TM,,,,,
0.34,AccumulationDeviceOperation (in0:dram_interleaved),138.97,2,Compute,,,,,
0.31,ScatterDeviceOperation (in0:dram_interleaved),128.81,2,Other,,,,,
0.26,ReshapeViewDeviceOperation (in0:dram_interleaved),106.11,2,TM,,,,,
0.24,PostCombineReduceDeviceOperation (in0:dram_interleaved),99.54,1,Other,,,,,
0.21,LayerNormDeviceOperation (in0:dram_interleaved),84.18,2,Compute,,,,,
0.19,RotaryEmbeddingLlamaDeviceOperation (in0:dram_interleaved),76.21,2,Compute,,,,,
0.16,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),67.27,1,TM,,,,,
0.14,SDPAOperation (in0:dram_interleaved),59.15,1,Compute,,,,,
0.14,BinaryNgDeviceOperation (in0:dram_interleaved),56.86,10,Compute,,,,,
0.14,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),55.52,1,TM,,,,,
0.13,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),54.57,6,TM,,,,,
0.12,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),50.85,2,TM,,,,,
0.08,MaskedBincountDeviceOperation (in0:dram_interleaved),33.89,1,Other,,,,,
0.07,PermuteDeviceOperation (in0:dram_interleaved),29.72,4,TM,,,,,
0.06,TopKDeviceOperation (in0:dram_interleaved),22.82,1,Other,,,,,
0.05,PagedFillCacheDeviceOperation (in0:dram_interleaved),22.07,4,Other,,,,,
0.04,GatherDeviceOperation (in0:dram_interleaved),15.86,1,Other,,,,,
0.02,SliceDeviceOperation (in0:dram_interleaved),9.09,8,TM,,,,,
0.02,CloneOperation (in0:dram_interleaved),8.02,1,DM,,,,,
0.02,SoftmaxDeviceOperation (in0:dram_interleaved),6.72,1,Compute,,,,,
0.01,FillPadDeviceOperation (in0:dram_interleaved),4.77,1,TM,,,,,
0.01,UnaryDeviceOperation (in0:dram_interleaved),2.65,2,Compute,,,,,
