ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
682,0.024638997067055978,,CloneOperation,3,1.391,,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,583683.0,
683,0.039075217490960094,,InterleavedToShardedDeviceOperation,3,1.204,1.002,10,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,584707.0,
684,0.1547066861133479,,LayerNormDeviceOperation,3,5.465,3.269,10,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,585731.0,
685,1.026583547101579,SLOW,MatmulDeviceOperation 32 x 2880 x 5120,3,56.691,1.265,10.0,265.8848847259706,51.93064154804114,16.646705826321636,60.20943947598971,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_L1_WIDTH_SHARDED,9,1,8,586755.0,in0_block_w=9 and output subblock 1x8 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
686,0.8185071283045218,,NLPCreateQKVHeadsDecodeDeviceOperation,3,44.743,1.466,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,587779.0,
687,0.07397013066285102,,RotaryEmbeddingLlamaDeviceOperation,3,2.701,1.475,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,588803.0,
688,0.059285926084425844,,RotaryEmbeddingLlamaDeviceOperation,3,1.863,1.484,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,589827.0,
689,0.1718530190830892,,PagedUpdateCacheDeviceOperation,3,8.209,1.493,1,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,590851.0,
690,0.16758414899454827,,PagedUpdateCacheDeviceOperation,3,8.039,1.422,1,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,591875.0,
691,0.428304061165646,,SdpaDecodeDeviceOperation,3,21.464,2.716,64,,,,,"BF16, BFP8 => BF16",BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_L1_HEIGHT_SHARDED,,,,592899.0,
692,0.031015732469025892,,InterleavedToShardedDeviceOperation,3,0.604,1.147,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,593923.0,
693,0.03204309539489882,,NLPConcatHeadsDecodeDeviceOperation,3,1.287,0.522,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,594947.0,
694,0.03847297025855182,,ReshardDeviceOperation,3,1.493,0.679,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,595971.0,
695,0.7251410941273456,SLOW,MatmulDeviceOperation 32 x 4096 x 2880,3,40.363,0.575,32.0,292.25974283378343,57.081981022223324,18.70462354136214,21.141474452675308,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_L1_WIDTH_SHARDED,4,1,3,596995.0,in0_block_w=4 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
696,0.05409597199337812,,BinaryNgDeviceOperation,3,2.479,0.575,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,598019.0,
697,0.040563122418086406,,TypecastDeviceOperation,3,1.818,0.472,90,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,599043.0,
698,0.04775466289919693,,BinaryNgDeviceOperation,3,2.18,0.516,110,,,,,"BF16, BFP8 => BFP8",BFLOAT8_B,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,600067.0,
699,0.03666622856132701,,InterleavedToShardedDeviceOperation,3,1.533,0.537,10,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_L1_INTERLEAVED,,,,601091.0,
700,0.1216539409464705,,LayerNormDeviceOperation,3,6.246,0.622,10,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,602115.0,
701,0.14716088255435014,,MatmulDeviceOperation 32 x 2880 x 128,3,7.066,1.242,10.0,,,3.33894140956694,12.076611001037833,HiFi2 BFP8 x BF16 => BFP8,BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,9,1,1,603139.0,
702,0.047258694590154825,,BinaryNgDeviceOperation,3,2.115,0.553,110,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,604163.0,
703,0.02989980377368116,,TypecastDeviceOperation,3,1.037,0.651,4,,,,,BFP8 => BF16,BFLOAT16,BFLOAT8_B,nan,False,DEV_0_L1_INTERLEAVED,,,,605187.0,
704,0.09504878379714046,,FillPadDeviceOperation,3,4.136,1.23,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,606211.0,
705,0.41985488675803584,,TopKDeviceOperation,3,22.174,1.529,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,607235.0,
706,0.03360185293760258,,SliceDeviceOperation,3,0.461,1.436,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,608259.0,
707,0.03406239493885597,,SliceDeviceOperation,3,0.473,1.45,1,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_0_L1_INTERLEAVED,,,,609283.0,
708,0.14322856238980206,,SoftmaxDeviceOperation,3,6.621,1.465,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,610307.0,
709,0.04780780236088001,,UntilizeWithUnpaddingDeviceOperation,3,2.168,0.531,10,,,,,BFP8 => BF16,BFLOAT16,BFLOAT8_B,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,611331.0,
710,0.04422974527421911,,UntilizeWithUnpaddingDeviceOperation,3,1.049,1.448,1,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_0_L1_INTERLEAVED,,,,612355.0,
711,0.039411767414952954,,CopyDeviceOperation,3,0.747,1.478,1,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,613379.0,
712,0.04513311612283151,,UntilizeWithUnpaddingDeviceOperation,3,1.075,1.473,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,614403.0,
713,0.04050998295640332,,CopyDeviceOperation,3,0.807,1.48,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,615427.0,
714,4.314853436050732,,MoEComputeDeviceOperation,3,240.755,2.841,19,,,,,"BF16, UINT16 => UINT32",UINT32,BFLOAT16,UINT16,False,DEV_0_L1_INTERLEAVED,,,,616451.0,
715,0.15304164964727796,,TilizeWithValPaddingDeviceOperation,3,8.113,0.527,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,617475.0,
716,0.12381494572158254,,DeepseekMoEFastReduceNCFusedDeviceOperation,3,6.456,0.534,90,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,618499.0,
717,0.051633843602061955,,BinaryNgDeviceOperation,3,2.383,0.532,110,,,,,"BFP8, BF16 => BF16",BFLOAT16,BFLOAT8_B,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,619523.0,
718,0.14577925655059001,,CloneOperation,3,1.412,6.818,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,583683.0,
719,0.03863238864360107,,InterleavedToShardedDeviceOperation,3,1.196,0.985,10,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,584707.0,
720,0.15458269403608738,,LayerNormDeviceOperation,3,5.461,3.266,10,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,585731.0,
721,1.027628623181346,SLOW,MatmulDeviceOperation 32 x 2880 x 5120,3,56.761,1.254,10.0,265.5569845492504,51.866598544775464,16.626176423953066,60.13518671858024,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_L1_WIDTH_SHARDED,9,1,8,586755.0,in0_block_w=9 and output subblock 1x8 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
722,0.8140434135231429,,NLPCreateQKVHeadsDecodeDeviceOperation,3,44.454,1.503,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,587779.0,
723,0.07373985966222432,,RotaryEmbeddingLlamaDeviceOperation,3,2.705,1.458,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,588803.0,
724,0.059091081391587884,,RotaryEmbeddingLlamaDeviceOperation,3,1.854,1.482,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,589827.0,
