Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
46.57,MoEComputeDeviceOperation (in0:l1_interleaved),2408.21,10,Other,,,,,
20.08,MatmulDeviceOperation (in0:width_sharded),1038.43,30,Compute,12.04,60.30,31.18,21.18,41.91
8.62,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),445.86,10,Other,,,,,
4.29,TopKDeviceOperation (in0:l1_interleaved),221.71,10,Other,,,,,
4.15,SdpaDecodeDeviceOperation (in0:height_sharded),214.46,10,Compute,,,,,
3.14,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),162.50,20,DM,,,,,
2.26,LayerNormDeviceOperation (in0:width_sharded),116.99,20,Compute,,,,,
1.57,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),80.99,10,TM,,,,,
1.28,SoftmaxDeviceOperation (in0:l1_interleaved),66.32,10,Compute,,,,,
1.27,DeepseekMoEFastReduceNCFusedDeviceOperation (in0:l1_interleaved),65.72,10,Other,,,,,
0.89,RotaryEmbeddingLlamaDeviceOperation (in0:height_sharded),45.84,20,Compute,,,,,
0.87,BinaryNgDeviceOperation (in0:l1_interleaved),44.87,20,Compute,,,,,
0.80,FillPadDeviceOperation (in0:l1_interleaved),41.50,10,TM,,,,,
0.55,TypecastDeviceOperation (in0:l1_interleaved),28.54,20,TM,,,,,
0.48,BinaryNgDeviceOperation (in0:width_sharded),24.72,10,Compute,,,,,
0.43,BinaryNgDeviceOperation (in0:dram_interleaved),22.00,10,Compute,,,,,
0.42,UntilizeWithUnpaddingDeviceOperation (in0:width_sharded),21.65,10,TM,,,,,
0.41,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),21.35,20,TM,,,,,
0.35,InterleavedToShardedDeviceOperation (in0:dram_interleaved),18.03,20,DM,,,,,
0.30,CopyDeviceOperation (in0:dram_interleaved),15.31,20,DM,,,,,
0.29,InterleavedToShardedDeviceOperation (in0:l1_interleaved),15.22,10,DM,,,,,
0.28,ReshardDeviceOperation (in0:width_sharded),14.44,10,DM,,,,,
0.27,CloneOperation (in0:dram_interleaved),14.05,10,DM,,,,,
0.25,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),12.95,10,TM,,,,,
0.18,SliceDeviceOperation (in0:l1_interleaved),9.37,20,TM,,,,,
