Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
45.14,MoEComputeDeviceOperation (in0:l1_interleaved),2278.77,10,Other,,,,,
20.60,MatmulDeviceOperation (in0:width_sharded),1039.77,30,Compute,12.04,60.32,31.17,21.23,41.86
8.85,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),446.58,10,Other,,,,,
4.39,TopKDeviceOperation (in0:l1_interleaved),221.59,10,Other,,,,,
4.34,SdpaDecodeDeviceOperation (in0:height_sharded),219.18,10,Compute,,,,,
3.22,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),162.57,20,DM,,,,,
2.32,LayerNormDeviceOperation (in0:width_sharded),117.26,20,Compute,,,,,
1.60,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),80.95,10,TM,,,,,
1.32,SoftmaxDeviceOperation (in0:l1_interleaved),66.49,10,Compute,,,,,
1.29,DeepseekMoEFastReduceNCFusedDeviceOperation (in0:l1_interleaved),65.25,10,Other,,,,,
0.91,RotaryEmbeddingLlamaDeviceOperation (in0:height_sharded),45.69,20,Compute,,,,,
0.89,BinaryNgDeviceOperation (in0:l1_interleaved),44.76,20,Compute,,,,,
0.82,FillPadDeviceOperation (in0:l1_interleaved),41.45,10,TM,,,,,
0.55,TypecastDeviceOperation (in0:l1_interleaved),27.88,20,TM,,,,,
0.49,BinaryNgDeviceOperation (in0:width_sharded),24.63,10,Compute,,,,,
0.43,BinaryNgDeviceOperation (in0:dram_interleaved),21.91,10,Compute,,,,,
0.43,UntilizeWithUnpaddingDeviceOperation (in0:width_sharded),21.70,10,TM,,,,,
0.43,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),21.46,20,TM,,,,,
0.36,InterleavedToShardedDeviceOperation (in0:dram_interleaved),18.22,20,DM,,,,,
0.31,InterleavedToShardedDeviceOperation (in0:l1_interleaved),15.57,10,DM,,,,,
0.31,CopyDeviceOperation (in0:dram_interleaved),15.43,20,DM,,,,,
0.29,CloneOperation (in0:dram_interleaved),14.56,10,DM,,,,,
0.28,ReshardDeviceOperation (in0:width_sharded),14.29,10,DM,,,,,
0.26,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),13.06,10,TM,,,,,
0.19,SliceDeviceOperation (in0:l1_interleaved),9.46,20,TM,,,,,
