ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
468,0.011221401492692285,,CloneOperation,3,4.016,,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,477187.0,
469,0.5235247629171575,,LayerNormDeviceOperation,3,41.344,146.019,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,478211.0,
470,0.3866605477988673,SLOW,MatmulDeviceOperation 128 x 2880 x 5120,3,76.893,61.488,80.0,218.40219525834598,42.6566787613957,49.092551987827235,22.195345046579877,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,2,4,2,479235.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 4x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
471,0.1870811044675596,,NlpCreateHeadsDeviceOperation,3,66.251,0.703,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,480259.0,
472,0.17834931172237448,,RotaryEmbeddingLlamaDeviceOperation,3,63.357,0.472,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,481283.0,
473,0.03849533076813288,,RotaryEmbeddingLlamaDeviceOperation,3,13.246,0.531,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,482307.0,
474,0.007113966185357212,,TypecastDeviceOperation,3,1.979,0.567,64,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,483331.0,
475,0.006935139069935821,,TypecastDeviceOperation,3,1.917,0.565,64,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,484355.0,
476,0.017231669075058097,,PagedFillCacheDeviceOperation,3,5.632,0.535,32,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,485379.0,
477,0.01810065708905892,,PagedFillCacheDeviceOperation,3,5.95,0.528,32,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,486403.0,
478,0.19449963558386887,,SDPAOperation,3,42.953,26.656,64,,,,,"BF16, BFP8 => BF16",BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,487427.0,
479,0.15324924956877517,,NLPConcatHeadsDeviceOperation,3,54.193,0.653,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,488451.0,
480,0.015454574615558023,,TypecastDeviceOperation,3,5.061,0.47,110,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,489475.0,
481,0.27333724592159614,SLOW,MatmulDeviceOperation 128 x 4096 x 2880,3,97.354,0.47,90.0,134.12954783573352,26.197177311666703,31.019771966226347,6.2330753211456615,LoFi BFP8 x BFP8 => BF16,BFLOAT16,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,2,4,1,490499.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 4x1 look good 🤷 • HiFi2 is recommended for accuracy; LoFi discards the lowest 2 bits of the weights
482,0.021953822591654206,,BinaryNgDeviceOperation,3,7.29,0.567,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,491523.0,
483,0.09871815605996474,,BinaryNgDeviceOperation,3,7.348,27.982,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,492547.0,
484,0.18518386053988578,,LayerNormDeviceOperation,3,41.21,25.065,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,493571.0,
485,0.2630239508744031,SLOW,MatmulDeviceOperation 128 x 2880 x 128,3,67.506,26.627,16.0,10.921695849257842,2.1331437205581723,1.397977068705004,3.1602129193454407,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,494595.0,"If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • No program_config specified, try using one to override in0_block_w and out_subblock_h/w"
486,0.005484962930815477,,BinaryNgDeviceOperation,3,1.476,0.487,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,495619.0,
487,0.12302467288888162,,TopKDeviceOperation,3,22.548,21.481,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,496643.0,
488,0.016647686776260117,,SliceDeviceOperation,3,0.811,5.147,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,497667.0,
489,0.05899059469963135,,SliceDeviceOperation,3,0.833,20.279,4,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_0_L1_INTERLEAVED,,,,498691.0,
