Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'OPTIMIZED_FULL_MODEL_PROFILE_TEACHER_FORCING_DECODE'.
Using operations until 'OPTIMIZED_FULL_MODEL_PROFILE_TEACHER_FORCING_DECODE_END'.
Detected data from 4 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                      Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 3787    0.0 %         SliceDeviceOperation                                               3         1 μs                    1                                                   UINT32 => UINT32
 3788    0.1 %         EmbeddingsDeviceOperation                                          3         1 μs          1 μs      1                                               UINT32, BF16 => BF16
 3791    0.2 %         EmbeddingsDeviceOperation                                          3         2 μs          1 μs      1                                               UINT32, BF16 => BF16
 3792    0.2 %         EmbeddingsDeviceOperation                                          3         2 μs          1 μs      1                                               UINT32, BF16 => BF16
 3794    0.2 %         TransposeDeviceOperation                                           3         4 μs          1 μs     64                                                       BF16 => BF16
 3795    0.1 %         SliceDeviceOperation                                               3         2 μs          1 μs      2                                                       BF16 => BF16
 3796    0.1 %         SliceDeviceOperation                                               3         2 μs          1 μs      2                                                       BF16 => BF16
 3797    0.1 %         InterleavedToShardedDeviceOperation                                3         1 μs          1 μs      1                                                       BF16 => BF16
 3803    0.1 %         NLPCreateQKVHeadsDecodeDeviceOperation                             3         2 μs          1 μs      1                                                       BF16 => BF16
 3808    0.8 %         SdpaDecodeDeviceOperation                                          3        13 μs          6 μs     64                                                 BF16, BFP8 => BF16
 3821    0.1 %         BinaryNgDeviceOperation                                            3         2 μs          1 μs    110                                                 BFP8, BF16 => BFP8
 3832    0.2 %         ReshapeViewDeviceOperation                                         3         4 μs          1 μs     45                                                       BF16 => BF16
 3843    0.1 %         UnaryDeviceOperation                                               3         3 μs          1 μs    110                                                       BF16 => BF16
 3844    0.1 %         BinaryNgDeviceOperation                                            3         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 3846    0.1 %         BinaryNgDeviceOperation                                            3         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 3849    1.4 %   SLOW  SparseMatmulDeviceOperation active=4/128 x 32 x 736 x 2880         3        32 μs          1 μs     15  134 GB/s  26.1 %  17.1 TFLOPs   20.6 %   LoFi BF16 x BFP4 => BF16
 3851    0.1 %         EmbeddingsDeviceOperation                                          3         2 μs          1 μs      4                                               UINT32, BF16 => BF16
 3855    0.2 %         ReshapeViewDeviceOperation                                         3         1 μs          5 μs    110                                                       BF16 => BF16
 3857    0.3 %         BinaryNgDeviceOperation                                            3         4 μs          3 μs    110                                                 BF16, BF16 => BF16
 3858    0.2 %         FillPadDeviceOperation                                             3         4 μs          1 μs     90                                                       BF16 => BF16
 3859    0.2 %         ReduceDeviceOperation                                              3         2 μs          3 μs     90                                                       BF16 => BF16
 3860    1.6 %         AllBroadcastDeviceOperation                                        3        35 μs          1 μs      1                                                       BF16 => BF16
 3864    0.1 %         InterleavedToShardedDeviceOperation                                3         1 μs          1 μs     10                                                       BF16 => BF16
 3865    0.3 %         LayerNormDeviceOperation                                           3         6 μs          1 μs     10                                                 BF16, BF16 => BF16
 3874    0.1 %         InterleavedToShardedDeviceOperation                                3         1 μs          2 μs      1                                                       BF16 => BF16
 3881    0.1 %         SliceDeviceOperation                                               3         1 μs          1 μs     90                                                       BFP8 => BFP8
 3883    0.1 %         InterleavedToShardedDeviceOperation                                3         1 μs          1 μs     10                                                       BFP8 => BFP8
 3884    0.3 %         LayerNormDeviceOperation                                           3         6 μs          1 μs     10                                                 BFP8, BF16 => BFP8
 3891    0.1 %         SliceDeviceOperation                                               3         1 μs          1 μs      1                                                   UINT16 => UINT16
 3894    0.1 %         TypecastDeviceOperation                                            3         1 μs          1 μs      1                                                   UINT16 => UINT32
 3900    0.1 %         BinaryNgDeviceOperation                                            3         3 μs          0 μs    110                                                 BF16, BF16 => BF16
 3902    0.1 %         UntilizeWithUnpaddingDeviceOperation                               3         3 μs          1 μs     45                                                       BF16 => BF16
 3904    1.2 %         TilizeWithValPaddingDeviceOperation                                3        27 μs          1 μs      1                                                       BF16 => BF16
 3915    0.2 %         ReshapeViewDeviceOperation                                         3         4 μs          1 μs     90                                                       BF16 => BF16
 3923    0.2 %         FillPadDeviceOperation                                             3         4 μs          1 μs     90                                                       BF16 => BF16
 3924    0.1 %         ReduceDeviceOperation                                              3         2 μs          1 μs     90                                                       BF16 => BF16
 3925    1.4 %         AllBroadcastDeviceOperation                                        3        32 μs          1 μs      1                                                       BF16 => BF16
 3931   30.3 %   SLOW  MatmulDeviceOperation 32 x 2880 x 65536                            3       707 μs          1 μs     10  270 GB/s  52.7 %  17.1 TFLOPs   61.8 %  HiFi2 BF16 x BFP8 => BFP8
 3932    0.8 %         TypecastDeviceOperation                                            3        19 μs          1 μs    110                                                       BFP8 => BF16
