ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
168,0.018454022214436677,,CloneOperation,2,4.133,,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,84994.0,
170,0.37593428510633825,,FillPadDeviceOperation,2,4.61,79.585,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,86018.0,
172,0.13046408784989721,,CloneOperation,2,0.889,28.33,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,87042.0,
173,0.11017939805551401,,FillPadDeviceOperation,3,3.939,20.737,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,88067.0,
175,0.06984666573927727,,CloneOperation,3,0.881,14.762,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,89091.0,
177,0.06379206759681995,,FillPadDeviceOperation,3,3.948,10.339,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,90115.0,
179,0.9817914881682057,,LayerNormDeviceOperation,3,41.652,178.232,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,91139.0,
182,0.7401076472722394,SLOW,MatmulDeviceOperation 128 x 2880 x 2560,2,72.081,93.675,80.0,121.60541612907701,23.751057837710356,26.18494194031714,11.83853350166248,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,2,4,1,92162.0,If possible place input 0 in L1 (currently in DEV_1_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 4x1 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
184,0.15376714662975327,,NlpCreateHeadsDeviceOperation,2,33.75,0.688,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,93186.0,
185,0.17219884362980037,,RotaryEmbeddingLlamaDeviceOperation,3,35.21,3.356,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,94211.0,
187,0.045409486068429955,,RotaryEmbeddingLlamaDeviceOperation,3,9.627,0.543,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,95235.0,
190,0.1205249024036509,,TypecastDeviceOperation,2,1.15,25.843,32,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,96258.0,
192,0.07168626340497963,,TypecastDeviceOperation,2,1.153,14.902,32,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,97282.0,
194,0.15024422779907565,,PagedFillCacheDeviceOperation,2,3.095,30.554,16,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,,,,98306.0,
196,0.07016814882648739,,PagedFillCacheDeviceOperation,2,3.119,12.596,16,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,,,,99330.0,
198,0.3341950642835572,,SDPAOperation,2,15.497,59.35,64,,,,,"BF16, BFP8 => BF16",BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,,,,100354.0,
