ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
817,0.23110791037203132,,InterleavedToShardedDeviceOperation,3,1.059,,10,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,220163.0,
820,0.7941470121282551,,BinaryNgDeviceOperation,3,3.12,0.519,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_L1_WIDTH_SHARDED,,,,223235.0,
822,0.7291138135533114,,RotaryEmbeddingLlamaDeviceOperation,3,1.864,1.477,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_L1_HEIGHT_SHARDED,,,,225283.0,
823,0.7419895139423103,,RotaryEmbeddingLlamaDeviceOperation,3,1.904,1.496,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_L1_HEIGHT_SHARDED,,,,226307.0,
824,1.4412055147279463,,PagedUpdateCacheDeviceOperation,3,5.099,1.505,1,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,227331.0,
826,3.029281306774473,,SdpaDecodeDeviceOperation,3,11.165,2.716,64,,,,,"BF16, BFP8 => BF16",BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_1_L1_HEIGHT_SHARDED,,,,229379.0,
828,0.3843069217801201,,NLPConcatHeadsDecodeDeviceOperation,3,1.231,0.53,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_HEIGHT_SHARDED,,,,231427.0,
829,0.39674615774915295,,ReshardDeviceOperation,3,1.196,0.622,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_WIDTH_SHARDED,,,,232451.0,
831,0.45588708665455474,,ShardedToInterleavedDeviceOperation,3,1.48,0.609,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_WIDTH_SHARDED,,,,234499.0,
832,0.6453126449198269,,BinaryNgDeviceOperation,3,2.419,0.538,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,235523.0,
833,0.5141550867200244,,TypecastDeviceOperation,3,1.776,0.58,96,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,236547.0,
836,0.4294809892466079,,SliceDeviceOperation,3,1.398,0.57,90,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_1_L1_INTERLEAVED,,,,239619.0,
838,0.46614400052375726,,InterleavedToShardedDeviceOperation,3,1.515,0.621,10,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_1_L1_INTERLEAVED,,,,241667.0,
839,1.5036199267830934,,LayerNormDeviceOperation,3,6.27,0.62,10,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_1_L1_WIDTH_SHARDED,,,,242691.0,
