ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
167,0.019059108504289737,,CloneOperation,3,4.273,,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,84995.0,
169,0.43269484130415237,,FillPadDeviceOperation,3,4.627,92.382,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,86019.0,
172,0.16996639098162059,,CloneOperation,2,0.862,37.244,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,87042.0,
173,0.12041181679892483,,FillPadDeviceOperation,3,3.925,23.071,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,88067.0,
176,0.0816334668489377,,CloneOperation,2,0.869,17.433,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,89090.0,
177,0.07232470030354742,,FillPadDeviceOperation,3,3.928,12.287,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,90115.0,
179,0.8185648473454838,,LayerNormDeviceOperation,3,41.61,141.91,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,91139.0,
182,0.6073000043064753,SLOW,MatmulDeviceOperation 128 x 2880 x 2560,2,72.209,63.946,80.0,121.38985445027627,23.708955947319584,26.138525668545473,11.81754813573562,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,2,4,1,92162.0,If possible place input 0 in L1 (currently in DEV_1_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 4x1 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
183,0.1526691237736553,,NlpCreateHeadsDeviceOperation,3,33.516,0.712,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,93187.0,
186,0.18874449695004086,,RotaryEmbeddingLlamaDeviceOperation,2,35.069,7.247,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,94210.0,
188,0.04550902973771781,,RotaryEmbeddingLlamaDeviceOperation,2,9.643,0.56,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,95234.0,
190,0.07104011728242982,,TypecastDeviceOperation,2,1.176,14.751,32,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,96258.0,
192,0.07278411714790543,,TypecastDeviceOperation,2,1.135,15.183,32,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,97282.0,
193,0.17136248294554352,,PagedFillCacheDeviceOperation,3,3.066,35.353,16,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,,,,98307.0,
195,0.06793124795701677,,PagedFillCacheDeviceOperation,3,3.235,11.995,16,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,,,,99331.0,
198,0.39351951951777825,,SDPAOperation,2,27.764,60.462,64,,,,,"BF16, BFP8 => BF16",BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,,,,100354.0,
199,0.13098732493458382,,NLPConcatHeadsDeviceOperation,3,27.265,2.102,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,101379.0,
201,0.2581967268869226,,TypecastDeviceOperation,3,3.252,54.635,110,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,102403.0,
204,0.42043331795327654,SLOW,MatmulDeviceOperation 128 x 2048 x 2880,2,51.633,42.627,90.0,133.59022330679988,26.091840489609353,29.24388356283772,5.876230461282656,LoFi BFP8 x BFP8 => BF16,BFLOAT16,BFLOAT8_B,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,2,4,1,103426.0,If possible place input 0 in L1 (currently in DEV_1_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 4x1 look good 🤷 • HiFi2 is recommended for accuracy; LoFi discards the lowest 2 bits of the weights
205,0.1385119483950886,,BinaryNgDeviceOperation,3,7.179,23.875,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,104451.0,
207,0.4415352702897602,,ReduceScatterMinimalAsyncDeviceOperation,2,26.708,72.283,5,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,105474.0,
209,0.2692985572326228,,AllGatherAsyncDeviceOperation,2,26.586,33.79,9,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,106498.0,
212,0.18750451750604538,,BinaryNgDeviceOperation,2,7.086,34.952,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,107522.0,
214,0.3104185949815222,,LayerNormDeviceOperation,2,41.465,28.13,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,108546.0,
216,0.3964544348924149,SLOW,MatmulDeviceOperation 128 x 2880 x 128,2,67.222,21.662,16.0,10.967837910207967,2.1421558418374937,1.4038832525066198,3.17356421012962,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,109570.0,"If possible place input 0 in L1 (currently in DEV_1_DRAM_INTERLEAVED) • No program_config specified, try using one to override in0_block_w and out_subblock_h/w"
217,0.008697697538816988,,BinaryNgDeviceOperation,3,1.453,0.497,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_L1_INTERLEAVED,,,,110595.0,
220,0.2368226927299938,,TopKDeviceOperation,2,22.554,30.541,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,111618.0,
221,0.04955011382498355,,SliceDeviceOperation,3,0.817,10.292,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,112643.0,
224,0.1475753952663071,,SliceDeviceOperation,2,0.821,32.265,4,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_1_L1_INTERLEAVED,,,,113666.0,
225,0.21221935958942229,,SoftmaxDeviceOperation,3,6.765,40.814,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,114691.0,
227,0.2203104484793782,,UnaryDeviceOperation,3,1.036,48.357,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,115715.0,
230,0.15249516982287897,,UntilizeCodegenDeviceOperation,2,2.36,31.829,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,116738.0,
231,0.16842756757090677,,UntilizeWithUnpaddingDeviceOperation,3,9.018,28.743,4,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_1_L1_INTERLEAVED,,,,117763.0,
234,0.11324848231310938,,UntilizeWithUnpaddingDeviceOperation,2,9.009,16.381,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,118786.0,
235,0.10236966985301985,,ScatterDeviceOperation,3,5.038,17.913,110,,,,,"BF16, UINT16 => BF16",BFLOAT16,BFLOAT16,UINT16,False,DEV_1_L1_INTERLEAVED,,,,119811.0,
238,0.0925925657478471,,TilizeDeviceOperation,2,2.093,18.666,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,120834.0,
240,0.3558071950610102,,RepeatCodegenDeviceOperation,2,0.786,78.985,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,121858.0,
242,2.566190983641125,,UnaryDeviceOperation,2,496.434,78.899,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,122882.0,
243,41.69024987882881,SLOW,SparseMatmulDeviceOperation active=512/512 x 32 x 2880 x 2880,3,9346.196,0.644,45.0,247.3851479254233,48.31741170418424,29.080376572457926,11.686751130263763,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,False,DEV_1_DRAM_INTERLEAVED,30,1,2,123907.0,If possible place input 0 in L1 (currently in DEV_1_DRAM_INTERLEAVED) • in0_block_w=30 and output subblock 1x2 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
246,2.4364302570774,,PermuteDeviceOperation,2,545.72,0.521,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,124930.0,
248,0.4486896840601512,,TransposeDeviceOperation,2,100.008,0.587,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,125954.0,
250,2.7671122571455093,,BinaryNgDeviceOperation,2,619.786,0.593,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,126978.0,
252,1.1261912583991602,,SliceDeviceOperation,2,251.916,0.573,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,128002.0,
254,1.1271279335187252,,SliceDeviceOperation,2,252.119,0.58,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,129026.0,
256,1.1013069227227192,,UnaryDeviceOperation,2,246.318,0.592,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,130050.0,
257,1.1072927227725102,,UnaryDeviceOperation,3,247.661,0.591,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,131075.0,
259,1.1811384050559226,,BinaryNgDeviceOperation,3,264.213,0.595,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,132099.0,
262,1.4639384650834166,,UnaryDeviceOperation,2,327.646,0.565,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,133122.0,
264,1.4020822243304352,,BinaryNgDeviceOperation,2,313.759,0.584,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,134146.0,
265,1.0586971254979403,,BinaryNgDeviceOperation,3,236.794,0.563,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,135171.0,
268,1.405369507964337,,BinaryNgDeviceOperation,2,314.499,0.581,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,136194.0,
269,0.027569471019193742,,TilizeWithValPaddingDeviceOperation,3,5.599,0.582,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,137219.0,
272,0.015620172708172866,,BinaryNgDeviceOperation,2,2.976,0.526,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_L1_INTERLEAVED,,,,138242.0,
273,0.01001350306392007,,TransposeDeviceOperation,3,1.617,0.628,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,139267.0,
276,0.0760312575623971,,ReshapeViewDeviceOperation,2,16.53,0.516,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,140290.0,
277,2.209009998404753,,UnaryDeviceOperation,3,494.719,0.535,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,141315.0,
279,21.601512400251625,SLOW,SparseMatmulDeviceOperation active=128/128 x 128 x 1440 x 2880,3,4842.352,0.648,45.0,84.04563732665449,16.415163540362204,28.063934550813322,11.278265878509727,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,False,DEV_1_DRAM_INTERLEAVED,9,1,2,142339.0,If possible place input 0 in L1 (currently in DEV_1_DRAM_INTERLEAVED) • in0_block_w=9 and output subblock 1x2 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
282,0.43846654418375713,,TransposeDeviceOperation,2,97.833,0.47,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,143362.0,
283,2.7885085930909996,,BinaryNgDeviceOperation,3,624.595,0.581,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,144387.0,
286,2.3795160926695513,,BinaryNgDeviceOperation,2,532.913,0.568,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,145410.0,
287,1.2609788081045503,,FastReduceNCDeviceOperation,3,282.124,0.584,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,146435.0,
289,0.24175138800199011,,ReduceScatterDeviceOperation,2,53.635,0.565,5,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,147458.0,
291,0.11139520368368455,,AllGatherDeviceOperation,2,24.2905,0.684,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,148482.0,
293,0.03583451385992599,,BinaryNgDeviceOperation,3,7.484,0.55,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,149507.0,
296,0.02300206472188677,,SliceDeviceOperation,2,4.634,0.523,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,150530.0,
