ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
817,0.20596833311074506,,InterleavedToShardedDeviceOperation,3,1.041,,10,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,220163.0,
821,0.6895289537857316,,NLPCreateQKVHeadsDecodeDeviceOperation,3,2.793,0.692,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_WIDTH_SHARDED,,,,224259.0,
823,0.6669733438197134,,RotaryEmbeddingLlamaDeviceOperation,3,1.892,1.479,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_L1_HEIGHT_SHARDED,,,,226307.0,
824,1.321283889062013,,PagedUpdateCacheDeviceOperation,3,5.171,1.507,1,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,227331.0,
826,2.7450573041099684,,SdpaDecodeDeviceOperation,3,11.163,2.711,64,,,,,"BF16, BFP8 => BF16",BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_1_L1_HEIGHT_SHARDED,,,,229379.0,
829,0.36049404700074694,,ReshardDeviceOperation,3,1.189,0.633,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_WIDTH_SHARDED,,,,232451.0,
832,0.5670559487948083,,BinaryNgDeviceOperation,3,2.331,0.535,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,235523.0,
833,0.46713855376990304,,TypecastDeviceOperation,3,1.788,0.573,96,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,236547.0,
840,1.668323712574258,,MatmulDeviceOperation 32 x 2880 x 128,3,7.182,1.25,10.0,,,3.2850125313283205,11.881555741204862,HiFi2 BFP8 x BF16 => BFP8,BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_1_L1_WIDTH_SHARDED,9,1,1,243715.0,
844,4.6709898252434865,,TopKDeviceOperation,3,22.138,1.47,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,247811.0,
846,0.389381056255472,,SliceDeviceOperation,3,0.501,1.467,1,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_1_L1_INTERLEAVED,,,,249859.0,
847,1.5990740328540267,,SoftmaxDeviceOperation,3,6.609,1.473,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,250883.0,
848,0.4798013523473168,,UntilizeWithUnpaddingDeviceOperation,3,0.967,1.458,1,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_1_L1_INTERLEAVED,,,,251907.0,
850,0.643824165170379,,UnaryDeviceOperation,3,2.728,0.526,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,253955.0,
852,0.8448460925868216,,ReshapeViewDeviceOperation,3,3.75,0.52,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,256003.0,
854,0.8569153224809193,,TilizeWithValPaddingDeviceOperation,3,3.85,0.481,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,258051.0,
859,0.5243190035960369,,UnaryDeviceOperation,3,2.178,0.472,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_L1_INTERLEAVED,,,,263171.0,
862,0.7601636271003674,,BinaryNgDeviceOperation,3,2.033,1.809,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_L1_INTERLEAVED,,,,266243.0,
864,1.0547715502530084,,BinaryNgDeviceOperation,3,1.964,3.367,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_L1_INTERLEAVED,,,,268291.0,
866,0.9358599573619829,,UnaryDeviceOperation,3,2.275,2.455,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,270339.0,
867,10.863691898282113,SLOW,SparseMatmulDeviceOperation active=4/128 x 32 x 1440 x 2880,3,52.814,2.093,15.0,157.049267239747,30.673685007763083,20.10230620668762,24.235998030825158,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,False,DEV_1_L1_INTERLEAVED,9,1,6,271363.0,in0_block_w=9 and output subblock 1x6 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
868,0.8393061182092033,,ReshapeViewDeviceOperation,3,3.746,0.496,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,272387.0,
872,0.3699911459338072,,UntilizeWithUnpaddingDeviceOperation,3,0.924,0.946,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,276483.0,
873,0.542126064095525,,ReshapeViewDeviceOperation,3,2.21,0.53,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,277507.0,
874,0.6843846918636572,,TilizeWithValPaddingDeviceOperation,3,1.999,1.46,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,278531.0,
880,0.48910059505260495,,BinaryNgDeviceOperation,3,1.938,0.534,110,,,,,"BFP8, BF16 => BF16",BFLOAT16,BFLOAT8_B,BFLOAT16,False,DEV_1_L1_INTERLEAVED,,,,284675.0,
882,1.8234429951475764,,LayerNormDeviceOperation,2,5.488,3.728,10,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_L1_WIDTH_SHARDED,,,,221186.0,
883,5.802133879416522,SLOW,MatmulDeviceOperation 32 x 2880 x 2560,2,28.087,1.238,10.0,262.4986648627479,51.26927048100545,16.799914551215867,30.381789914669895,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_1_L1_WIDTH_SHARDED,9,1,8,222210.0,in0_block_w=9 and output subblock 1x8 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
884,0.6952667843911222,,BinaryNgDeviceOperation,2,3.023,0.491,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_L1_WIDTH_SHARDED,,,,223234.0,
886,0.6604440883032345,,RotaryEmbeddingLlamaDeviceOperation,2,1.85,1.488,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_L1_HEIGHT_SHARDED,,,,225282.0,
889,1.285867624290809,,PagedUpdateCacheDeviceOperation,2,5.053,1.446,1,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,228354.0,
891,0.4036267046550624,,InterleavedToShardedDeviceOperation,2,0.516,1.524,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,230402.0,
892,0.3472376797400169,,NLPConcatHeadsDecodeDeviceOperation,2,1.222,0.533,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_HEIGHT_SHARDED,,,,231426.0,
894,3.7185099447486483,DRAM,MatmulDeviceOperation 32 x 2048 x 3072,2,18.264,0.53,12,344.473061760841,67.27989487516426,22.046275952693826,33.224639444525565,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_1_L1_WIDTH_SHARDED,4,,,233474.0,Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
895,0.4123323786770343,,ShardedToInterleavedDeviceOperation,2,1.46,0.624,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_WIDTH_SHARDED,,,,234498.0,
898,2.7006385809751343,,ReduceScatterDeviceOperation,2,12.5815,1.068,5,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_1_L1_INTERLEAVED,,,,237570.0,
899,1.790005292654093,,AllGatherDeviceOperation,2,8.346,0.701,2,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_1_L1_INTERLEAVED,,,,238594.0,
900,0.40065886123848116,,SliceDeviceOperation,2,1.467,0.558,90,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_1_L1_INTERLEAVED,,,,239618.0,
