ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
168,0.013491807262860776,,CloneOperation,2,4.226,,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,84994.0,
170,0.3311335185290865,,FillPadDeviceOperation,2,4.593,99.127,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,86018.0,
172,0.11679703665511086,,CloneOperation,2,0.87,35.714,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,87042.0,
173,0.08544279171224396,,FillPadDeviceOperation,3,3.937,22.826,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,88067.0,
175,0.04971153120918247,,CloneOperation,3,0.864,14.707,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,89091.0,
178,0.04863882717692473,,FillPadDeviceOperation,2,3.937,11.298,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,90114.0,
179,0.5507122028464169,,LayerNormDeviceOperation,3,41.482,131.016,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,91139.0,
182,0.41252812954816737,SLOW,MatmulDeviceOperation 128 x 2880 x 2560,2,72.098,57.117,80.0,121.57674276678964,23.7454575716386,26.178767788288162,11.835742091782482,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,2,4,1,92162.0,If possible place input 0 in L1 (currently in DEV_1_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 4x1 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
184,0.11085246847634923,,NlpCreateHeadsDeviceOperation,2,34.024,0.698,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,93186.0,
186,0.1141887057195318,,RotaryEmbeddingLlamaDeviceOperation,2,35.304,0.463,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,94210.0,
187,0.03243333411817383,,RotaryEmbeddingLlamaDeviceOperation,3,9.624,0.535,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,95235.0,
190,0.030562487204771935,,TypecastDeviceOperation,2,1.157,8.416,32,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,96258.0,
192,0.05109710725084872,,TypecastDeviceOperation,2,1.144,14.861,32,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,97282.0,
193,0.10150781162391347,,PagedFillCacheDeviceOperation,3,3.101,28.694,16,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,,,,98307.0,
196,0.04470238648712176,,PagedFillCacheDeviceOperation,2,3.129,10.873,16,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,,,,99330.0,
198,0.284815690850529,,SDPAOperation,2,27.816,61.396,64,,,,,"BF16, BFP8 => BF16",BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,,,,100354.0,
200,0.0914831370367429,,NLPConcatHeadsDeviceOperation,2,28.021,0.634,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,101378.0,
201,0.18227348605265267,,TypecastDeviceOperation,3,3.778,53.315,110,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,102403.0,
203,0.29641749577084037,SLOW,MatmulDeviceOperation 128 x 2048 x 2880,3,51.464,41.382,90.0,134.02891341520288,26.177522151406812,29.339916057826827,5.895527114243109,LoFi BFP8 x BFP8 => BF16,BFLOAT16,BFLOAT8_B,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,2,4,1,103427.0,If possible place input 0 in L1 (currently in DEV_1_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 4x1 look good 🤷 • HiFi2 is recommended for accuracy; LoFi discards the lowest 2 bits of the weights
206,0.13016752620003774,,BinaryNgDeviceOperation,2,6.988,33.784,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,104450.0,
207,0.31947105474980814,,ReduceScatterMinimalAsyncDeviceOperation,2,26.948,73.119,5,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,105474.0,
209,0.17816145392899801,,AllGatherAsyncDeviceOperation,2,26.519,29.286,9,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,106498.0,
211,0.13418697374947972,,BinaryNgDeviceOperation,3,7.443,34.588,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,107523.0,
213,0.22171451466727218,,LayerNormDeviceOperation,3,41.664,27.783,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,108547.0,
